draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,sigma
3492,11752.61999436755,0.9980031880125215,0.08534834942478473,4.0,15.0,0.0,-11751.902212634814,-0.26749674043400073,1.007486422343215,0.2190293203849202,0.13665368171868325
3493,11756.74048246821,0.9923809538718475,0.08058346589575957,6.0,63.0,0.0,-11755.960195341668,-0.26557013099528776,1.0054269972673182,0.23026455776186663,0.13905031887216318
3494,11755.678673780376,0.7646025420904704,0.08507774914750185,5.0,31.0,0.0,-11754.290644891778,-0.26581908551708555,1.0063802856071076,0.2212123494713145,0.13937975429383
3495,11756.225334017909,0.9997185219802929,0.08659249051606914,3.0,15.0,0.0,-11753.06552747479,-0.2656321907196093,1.0072329376388058,0.22430810971451606,0.13885901837856007
3496,11754.334086339377,0.9980023973476184,0.08534834942478473,5.0,63.0,0.0,-11749.344000584006,-0.2844027749254088,1.0105834742596336,0.23137777162853554,0.1374081534286031
3497,11755.140796063502,0.7353253781773569,0.08058346589575957,2.0,3.0,0.0,-11754.941747423536,-0.26451192602890344,1.006140244318019,0.23051493660946848,0.13895522313467248
3498,11755.269540662777,0.9936805246855337,0.08507774914750185,5.0,31.0,0.0,-11754.489836419214,-0.270709918717018,1.0082333306626954,0.21904822072945715,0.1388523339066744
3499,11756.519047258793,0.9985573535840712,0.08659249051606914,5.0,31.0,0.0,-11755.513643731907,-0.25924242319528484,1.0039791520247734,0.2287532039484547,0.13927863661117523
3500,11756.442133032242,0.7271938747023425,0.08534834942478473,4.0,23.0,0.0,-11749.300795118948,-0.28039587119611553,1.0100475435819203,0.22712197729125977,0.13892743393499207
3501,11756.591158391935,0.951432002106117,0.08058346589575957,5.0,47.0,0.0,-11754.087269417076,-0.2771918788197105,1.0083884318525294,0.2321200068233107,0.13922676386659458
3502,11756.481383980401,0.9934004625313129,0.08507774914750185,2.0,7.0,0.0,-11755.11211134491,-0.2694646050247802,1.0086145309137984,0.21973850182005927,0.1390021103310905
3503,11756.2431814566,0.9385576259568167,0.08659249051606914,5.0,63.0,0.0,-11754.745692351771,-0.2696787353623577,1.007617432993226,0.22374100178469658,0.13797783749043727
3504,11754.840777184138,0.8498070748088521,0.08534834942478473,5.0,35.0,0.0,-11754.012670056416,-0.25924433274386155,1.0056104242056798,0.2245904976196683,0.14014220263646834
3505,11755.111489817105,0.9400742223032051,0.08058346589575957,3.0,15.0,0.0,-11754.289939713442,-0.2790217311942148,1.0080587675178752,0.23595389070002948,0.13933993635214764
3506,11754.893378338411,0.7567318941813318,0.08507774914750185,2.0,3.0,0.0,-11754.5753450182,-0.2686123679127283,1.0090156064368436,0.21959934233586517,0.138938470149031
3507,11754.709661579756,0.9844753458194625,0.08659249051606914,5.0,31.0,0.0,-11753.790684395179,-0.26867929036340443,1.0088730730680815,0.21466168775285302,0.13857582281258715
3508,11754.042093710745,0.9828485744927461,0.08534834942478473,5.0,31.0,0.0,-11750.741790717975,-0.26159567886772994,1.0073616692642475,0.218049688125769,0.13913475244412046
3509,11757.291698784109,0.9987450338730813,0.08058346589575957,5.0,31.0,0.0,-11751.736080492718,-0.26930030741041566,1.0076322783477065,0.22535131337955353,0.13998784164246586
3510,11756.301805920959,1.0,0.08507774914750185,4.0,31.0,0.0,-11753.301528397147,-0.27281134098657595,1.0092363011555745,0.2248528558811672,0.13911299921065365
3511,11756.096233361737,0.9284950251547615,0.08659249051606914,5.0,31.0,0.0,-11749.9062261705,-0.2573189188583723,1.0047817248092934,0.22327644588110623,0.14018794029933446
3512,11754.308901807759,0.98933723185429,0.08534834942478473,5.0,31.0,0.0,-11752.636902166563,-0.2696328991336498,1.0096867038783333,0.21694736024052014,0.13924100252216162
3513,11756.603959296459,0.8238383114710764,0.08058346589575957,4.0,31.0,0.0,-11753.491394978175,-0.279211725075514,1.0097643906100857,0.2277563349163782,0.138573853586814
3514,11756.853077978178,0.9992478447711106,0.08507774914750185,4.0,31.0,0.0,-11755.67126135925,-0.2682383572332719,1.0078672893576053,0.22367316697953615,0.13905457797552315
3515,11756.48470658054,0.9948632858447796,0.08659249051606914,5.0,63.0,0.0,-11755.307685366113,-0.26588366674752417,1.0052411687763558,0.2314313650720665,0.13954146066961617
3516,11757.06611035235,0.9994733775045348,0.08534834942478473,5.0,31.0,0.0,-11753.314519667376,-0.2762037061831761,1.0093560241993078,0.22505143251281154,0.13934401384908937
3517,11756.457540116444,0.999995044394045,0.08058346589575957,5.0,63.0,0.0,-11755.78091923219,-0.27564309803370396,1.0098101168111775,0.22133033738808944,0.13898913763465687
3518,11755.556508390975,0.9853095174805534,0.08507774914750185,4.0,31.0,0.0,-11754.788833780614,-0.26774914489753715,1.0064176377963077,0.22937284441251982,0.1415201341662221
3519,11754.605298842429,0.9762087312494498,0.08659249051606914,5.0,31.0,0.0,-11753.180952381676,-0.25062727369068544,1.0039439414740905,0.21489513916803843,0.13919752720834663
3520,11756.027669979447,0.9853364120976907,0.08534834942478473,5.0,31.0,0.0,-11754.561681659481,-0.25849692191922286,1.0038336418875662,0.22911514284776244,0.13855384704739904
3521,11755.855348200079,0.9756120120296988,0.08058346589575957,5.0,63.0,0.0,-11753.290981688066,-0.2605385125181886,1.0037240739025368,0.23165408545562374,0.13905227277509769
3522,11755.026408003667,0.954888611977239,0.08507774914750185,2.0,7.0,0.0,-11754.749649794463,-0.2673163846909196,1.006550130717223,0.22968621765208563,0.14169179105223167
3523,11754.684399884967,0.9596722688329736,0.08659249051606914,4.0,15.0,0.0,-11753.782594795197,-0.25036443603665326,1.0036791594340273,0.21667976383655904,0.13877456385588674
3524,11755.654819197804,0.9999711441405411,0.08534834942478473,5.0,31.0,0.0,-11754.917848376705,-0.2595786130358685,1.0056189926783745,0.21920185597967168,0.14094667719311735
3525,11753.349817737317,0.9532316635652508,0.08058346589575957,5.0,31.0,0.0,-11750.970746505101,-0.2776679537412656,1.0087138387747656,0.2345541024660426,0.13682088857194402
3526,11757.046826655427,0.9961299893586731,0.08507774914750185,4.0,31.0,0.0,-11753.025747837553,-0.27497446403755355,1.0090231621103323,0.2277010643141159,0.1388292860797827
3527,11756.916319215807,0.993270067967042,0.08659249051606914,5.0,31.0,0.0,-11754.030607286986,-0.2676330550006134,1.0063943678775913,0.22782950488430828,0.13862804108527574
3528,11755.99344090814,0.9779760940014535,0.08534834942478473,5.0,31.0,0.0,-11755.115798588065,-0.26353881087072895,1.0061584444832348,0.22177402586703193,0.14101861183215916
3529,11756.22365687869,0.9952690264546531,0.08058346589575957,5.0,31.0,0.0,-11752.222543804799,-0.2745638676021647,1.007746224807434,0.23504241863742373,0.13921338583971848
3530,11755.942362696067,0.7648944398339634,0.08507774914750185,4.0,19.0,0.0,-11754.543826190144,-0.2726076904497194,1.00886943805171,0.22566946111241273,0.13797197329412145
3531,11755.683399851487,0.9764153238068741,0.08659249051606914,5.0,31.0,0.0,-11754.20449542049,-0.2849692477564579,1.0118805075286794,0.22421450054010655,0.1393019863886136
3532,11756.184584753815,0.9994814646021161,0.08534834942478473,6.0,63.0,0.0,-11755.183023731428,-0.26235250903043356,1.0052609002092603,0.2261599300314588,0.137980730921632
3533,11756.766546135299,0.990704053711688,0.08058346589575957,3.0,11.0,0.0,-11756.061857543613,-0.27477405855688686,1.0081224726326297,0.23286028631402172,0.13934203100665743
3534,11755.250596193844,0.9805978402421093,0.08507774914750185,5.0,31.0,0.0,-11752.429514071782,-0.26828825400057754,1.0058168744526763,0.2365573134949639,0.13928799780248297
3535,11754.775648510642,0.9492681239665661,0.08659249051606914,6.0,63.0,0.0,-11753.654373001942,-0.29040876418830047,1.0135627910718477,0.22954811861647187,0.1396019966679831
3536,11756.893698385873,0.999626432366116,0.08534834942478473,5.0,31.0,0.0,-11755.875990286326,-0.2781786920486802,1.009787260237063,0.22739268612130703,0.1402889970776043
3537,11755.729792698354,0.8859832426388909,0.08058346589575957,5.0,31.0,0.0,-11754.49117095652,-0.2641019741369987,1.0071360885445633,0.21869970993828913,0.1408810008036897
3538,11753.411494232903,0.8921746428551179,0.08507774914750185,6.0,63.0,0.0,-11751.607930718297,-0.2605118655275761,1.00761041676511,0.21228338744328024,0.1396566041134715
3539,11755.01709899735,0.9987172803642824,0.08659249051606914,5.0,31.0,0.0,-11753.883798395911,-0.28553449848711226,1.0130134413317378,0.22361019757645803,0.13967206772067345
3540,11756.886628119699,0.9594412717299177,0.08534834942478473,5.0,63.0,0.0,-11755.152761887268,-0.25908651086584744,1.0048187377020377,0.22420990379011407,0.1393521654093168
3541,11756.371848887504,0.9919457445313797,0.08058346589575957,5.0,31.0,0.0,-11755.052228328226,-0.2634731481411046,1.0062146349004801,0.22183623989313614,0.14075174454416609
3542,11753.00021787434,0.9988141412665311,0.08507774914750185,4.0,15.0,0.0,-11751.430843964023,-0.2680434560157061,1.0094900064978594,0.21026418078464615,0.13931773512226292
3543,11756.540847628647,1.0,0.08659249051606914,5.0,31.0,0.0,-11753.961553733194,-0.2680247035247428,1.0073325611995978,0.22118317146631486,0.1393334168540799
