draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,sigma
3133,1182.6231230445876,0.9901359710589511,0.09198898111974162,5.0,31.0,0.0,-1181.659337897587,-0.32439224450793597,1.038853660214777,0.1883635603760881
3134,1181.5990341311342,0.8898203955204655,0.09908368378383055,4.0,27.0,0.0,-1181.0108346794952,-0.22564436322170517,1.0145931587187187,0.18122993781897653
3135,1182.2932080502167,0.9972676800593415,0.11300627256675011,4.0,31.0,0.0,-1181.9488478597336,-0.25862697751824687,1.0201376257204648,0.1770499320207029
3136,1181.3254494048533,0.9559093718571249,0.10032249343979786,5.0,63.0,0.0,-1177.8647284483288,-0.19765729390267428,1.005957856005146,0.18054385424310976
3137,1180.7928516244144,0.9617919056549307,0.09198898111974162,4.0,15.0,0.0,-1180.6542928555757,-0.3441378997476382,1.0438549401509445,0.19137717750444944
3138,1179.9244807939624,0.9058450172646061,0.09908368378383055,2.0,3.0,0.0,-1178.943229745581,-0.23634198487357805,1.0098041713161807,0.1802557730430228
3139,1183.8540704047057,0.8885362822374393,0.11300627256675011,4.0,15.0,0.0,-1181.124109257581,-0.2789349237848207,1.0274838427895656,0.1826907330561353
3140,1179.955856723844,1.0,0.10032249343979786,5.0,31.0,0.0,-1178.5687842320574,-0.15082409254866422,0.9921716441804741,0.1884506551930724
3141,1183.5201332379997,0.9998124051655864,0.09198898111974162,4.0,19.0,0.0,-1180.3318079182004,-0.2981866949818083,1.0330626628528503,0.1871449270075088
3142,1183.5067569419923,1.0,0.09908368378383055,2.0,3.0,0.0,-1179.980887886638,-0.22495767642023676,1.0113831200704881,0.18065184691800962
3143,1182.9750042417088,0.9997416055698679,0.11300627256675011,5.0,31.0,0.0,-1181.8817018061486,-0.21935735076523552,1.0090999953516615,0.17941387467154893
3144,1183.1341541736151,0.998338669907675,0.10032249343979786,4.0,23.0,0.0,-1178.7154807551656,-0.19821984934658726,1.002238115973125,0.18376848929249562
3145,1182.9096715955277,1.0,0.09198898111974162,5.0,31.0,0.0,-1182.473701213883,-0.19414148476789114,1.0029786988646163,0.18236764059565028
3146,1180.9805598762116,0.8295560389868573,0.09908368378383055,5.0,63.0,0.0,-1178.891888775857,-0.33385473540258737,1.0447739809556007,0.1840653872636103
3147,1183.879145768131,0.885922111904809,0.11300627256675011,5.0,31.0,0.0,-1181.5623711285734,-0.2598287972769432,1.0206857503430713,0.1809238805834548
3148,1182.708128213072,0.9997000390377404,0.10032249343979786,5.0,31.0,0.0,-1181.6345754974166,-0.18951253493783404,1.0011908954326407,0.18934717600328346
3149,1183.5802692259945,0.9943210158375504,0.09198898111974162,5.0,31.0,0.0,-1182.387234384555,-0.20651608692954354,1.0062440473652925,0.18753905668548565
3150,1181.4972632929575,0.9983519918075927,0.09908368378383055,5.0,31.0,0.0,-1178.9954401104644,-0.28834220456634385,1.0315332328421989,0.1785462067768199
3151,1181.2729269594588,0.9036726547679468,0.11300627256675011,3.0,11.0,0.0,-1180.0111873049482,-0.25627747505095966,1.020702530593527,0.17546222171681908
3152,1181.6687826529223,0.9729507127297444,0.10032249343979786,5.0,31.0,0.0,-1180.476739903797,-0.16594090529010874,0.9952686069746671,0.18750755700230046
3153,1183.250046381391,0.8782763699811021,0.09198898111974162,5.0,31.0,0.0,-1182.0927733389656,-0.24540147643575405,1.0144155818287097,0.1830009246808438
3154,1182.3380599589793,1.0,0.09908368378383055,2.0,3.0,0.0,-1181.5951790411675,-0.2950386718404103,1.029678740937285,0.17895015297791542
3155,1181.4567875021005,1.0,0.11300627256675011,3.0,7.0,0.0,-1181.0439456132722,-0.26102626783996824,1.0220103741494384,0.1757499398050371
3156,1179.2135676810321,0.702914202514178,0.10032249343979786,2.0,3.0,0.0,-1178.6290909881118,-0.16275244120876517,0.997106010619492,0.1871870402885475
3157,1183.4393549934389,0.9979521385856659,0.09198898111974162,3.0,15.0,0.0,-1182.700956623014,-0.24108018117438942,1.0179131968948616,0.1841428170665972
3158,1181.8957783874796,0.9621350960573422,0.09908368378383055,4.0,15.0,0.0,-1181.3673496387019,-0.2885682510055246,1.030714877443729,0.17795301748004927
3159,1182.0549844894858,0.9987950800820157,0.11300627256675011,2.0,7.0,0.0,-1181.0157532016374,-0.261344925323615,1.0206571210780604,0.1767429720292598
3160,1181.08648093006,1.0,0.10032249343979786,2.0,3.0,0.0,-1179.3073508883735,-0.17509157599710717,0.9941242110645891,0.18776783414976023
3161,1184.0846605936074,0.7890432085449737,0.09198898111974162,2.0,3.0,0.0,-1182.2401053760466,-0.24862294141308547,1.0163518594529233,0.18409185015983187
3162,1181.5752635817596,0.9942439170308252,0.09908368378383055,6.0,63.0,0.0,-1180.8358501392477,-0.30931453893150324,1.034872590641592,0.1776738652054808
3163,1182.7263494471724,0.9915726027404025,0.11300627256675011,4.0,15.0,0.0,-1181.726871167257,-0.26563795948642693,1.0234690480351238,0.17821044697441293
3164,1182.0820382931354,0.8720229437404959,0.10032249343979786,5.0,31.0,0.0,-1179.1450689631056,-0.1890427949086979,1.0011452908881846,0.19159599807980476
3165,1184.395220549968,0.9988057006484318,0.09198898111974162,5.0,39.0,0.0,-1181.1059831609878,-0.2488325698672769,1.0184473920377746,0.18593172559912102
3166,1182.359330886689,0.9880012538642325,0.09908368378383055,5.0,31.0,0.0,-1180.1093170117906,-0.26468679167940495,1.0221847003964142,0.1941291737121954
3167,1184.1459058151283,0.9616043335311426,0.11300627256675011,4.0,31.0,0.0,-1181.441397412029,-0.2345079719636922,1.0134337726708358,0.1827592193501528
3168,1183.6733536044928,0.8936614289558757,0.10032249343979786,5.0,63.0,0.0,-1180.708459213448,-0.2728715218185011,1.0228871632956618,0.18318328744187454
3169,1184.3103714174065,0.999928971042719,0.09198898111974162,4.0,31.0,0.0,-1184.262766495523,-0.25671583772685974,1.019394078655198,0.1871774308442366
3170,1184.0716226925554,0.9256413683847845,0.09908368378383055,4.0,31.0,0.0,-1179.6745078471915,-0.23226086599346127,1.0142035130238671,0.18420957898594106
3171,1183.2316629305717,0.5114829598082088,0.11300627256675011,3.0,15.0,0.0,-1178.2420107484304,-0.21281644860883214,1.0056375387885685,0.1868865543066733
3172,1182.0392770409862,0.9369483548031634,0.10032249343979786,5.0,31.0,0.0,-1180.816886393207,-0.2054201352318917,1.0072986353277935,0.17965885073963206
3173,1183.276207073866,0.837606883183332,0.09198898111974162,2.0,3.0,0.0,-1182.7332091770156,-0.259983101367699,1.018492421812121,0.18748891106034132
3174,1184.235550557249,0.9863510350298986,0.09908368378383055,4.0,31.0,0.0,-1183.0960863280127,-0.2365193806840969,1.0146300585069783,0.1832420397304977
3175,1183.8458611309156,0.9973680151747107,0.11300627256675011,5.0,31.0,0.0,-1182.906924399066,-0.2219389303207699,1.0094715273488897,0.18267817183416557
3176,1180.75836576154,0.7511037497886921,0.10032249343979786,6.0,63.0,0.0,-1177.9820965347656,-0.26654653694608504,1.0189585009446465,0.19192713496384586
3177,1183.776950640113,0.9678519148908213,0.09198898111974162,4.0,31.0,0.0,-1181.0611609565449,-0.228515280318333,1.0129605914917261,0.18886141325934674
3178,1183.687532882346,0.9996476167175741,0.09908368378383055,5.0,31.0,0.0,-1183.1200417956036,-0.27748597669835845,1.0261263164553256,0.18084067790884165
3179,1183.9059542768612,0.9928208239828306,0.11300627256675011,4.0,15.0,0.0,-1183.773378916512,-0.2213323243164837,1.010183574404021,0.18266199644568656
3180,1183.36655053801,0.9376434733410718,0.10032249343979786,2.0,3.0,0.0,-1180.1406793269944,-0.25921581631431423,1.0209118003621709,0.19166538467742822
3181,1182.6049659288526,0.9979472191755037,0.09198898111974162,5.0,47.0,0.0,-1181.5904784795616,-0.3093550984378895,1.0343435247016293,0.19089242506113457
3182,1181.857291183919,0.6373924129420958,0.09908368378383055,2.0,3.0,0.0,-1181.314487319738,-0.27106208967874584,1.0273845221554314,0.18090344701338104
3183,1183.9839358410552,0.941670332172797,0.11300627256675011,5.0,31.0,0.0,-1177.9674221151026,-0.2833404598669242,1.0265870876746812,0.18437230564394375
3184,1183.4177926791385,0.9267259765913257,0.10032249343979786,5.0,63.0,0.0,-1181.1205898625608,-0.29929983680122263,1.0333641562676017,0.1878249332207675
3185,1183.1328835423913,0.9996569760102206,0.09198898111974162,5.0,31.0,0.0,-1181.797784005559,-0.294873870762099,1.0318514529428546,0.19031029295571722
3186,1183.7572940337775,0.9985861602851908,0.09908368378383055,3.0,15.0,0.0,-1181.6188395319793,-0.27626844505948445,1.0241411402219045,0.18292356220827852
3187,1182.305054840919,0.995908903508808,0.11300627256675011,4.0,23.0,0.0,-1181.9094118351684,-0.2883248459005282,1.02939038088629,0.1778340669435085
3188,1183.9109601837833,0.9963399931186617,0.10032249343979786,5.0,31.0,0.0,-1183.165677345518,-0.28565464357594134,1.0288499114989327,0.1828178267784953
3189,1183.7939707506505,0.9995221749855568,0.09198898111974162,5.0,47.0,0.0,-1181.7294133445396,-0.2724779746864407,1.0253933461561848,0.18147328900273932
3190,1180.914294764757,0.7881308090176155,0.09908368378383055,5.0,43.0,0.0,-1180.5182866929404,-0.2370415381311141,1.0183938061147932,0.1808411967375687
3191,1183.4661804889463,0.9981466931327071,0.11300627256675011,4.0,23.0,0.0,-1180.5771964508572,-0.2667082460902772,1.0232872095015326,0.19117167301133395
3192,1183.9227098084616,0.949119067020395,0.10032249343979786,5.0,31.0,0.0,-1183.0661887226527,-0.250788951474824,1.01691597178392,0.18285226282396622
3193,1183.8338407140702,0.9939315031825751,0.09198898111974162,6.0,63.0,0.0,-1183.2840607676135,-0.27987390242117505,1.0275656089158043,0.1885779867372004
3194,1182.4141685174716,0.9918388874488376,0.09908368378383055,3.0,11.0,0.0,-1179.881159899158,-0.23881327186108087,1.0174955589045798,0.18021293605128252
3195,1182.7569503778798,0.8137194108814613,0.11300627256675011,4.0,27.0,0.0,-1180.7645541636339,-0.27767655977067984,1.0288512399300915,0.18787320924266235
3196,1182.8270922909671,0.6176246368166365,0.10032249343979786,3.0,11.0,0.0,-1179.1503253471863,-0.2520269564733001,1.0156431047844752,0.18566560840784818
3197,1182.5739207327651,0.7571630482718306,0.09198898111974162,4.0,19.0,0.0,-1180.7549203765893,-0.29420106469272317,1.03290786803663,0.19002716070139936
3198,1184.0989532323686,0.9807574891467268,0.09908368378383055,4.0,31.0,0.0,-1180.535029983962,-0.26271624186658504,1.0219385321261278,0.18186871733179583
3199,1183.6519575212371,0.987799816635806,0.11300627256675011,4.0,31.0,0.0,-1182.1785047463225,-0.25425304509914864,1.021432008279723,0.18708554034983527
3200,1183.8704267569215,0.9975448761574878,0.10032249343979786,4.0,19.0,0.0,-1182.4274214427658,-0.2880637917564138,1.0279076985461038,0.186577686244614
3201,1182.5786635729294,0.9372318534043256,0.09198898111974162,5.0,63.0,0.0,-1179.8093542781337,-0.20581026374649777,1.0080448644549462,0.1871298907209081
3202,1183.4736765968253,0.9351377974320965,0.09908368378383055,5.0,63.0,0.0,-1183.0006707998953,-0.23266821409227675,1.0147424624830985,0.18156363203641973
3203,1182.0709702387462,0.9414834625726894,0.11300627256675011,4.0,19.0,0.0,-1181.2984526793653,-0.2424168654831321,1.0135992046385485,0.19260935913848465
3204,1183.0883218881968,0.8914724052708539,0.10032249343979786,3.0,15.0,0.0,-1182.4645389348661,-0.2799969287100432,1.0241446952230433,0.18425366863530102
3205,1183.1182632082239,0.9451864826741673,0.09198898111974162,4.0,23.0,0.0,-1178.9385536264256,-0.2741885965069807,1.0223725358863598,0.18561073342601764
3206,1183.3846941404436,0.9995663469557355,0.09908368378383055,6.0,63.0,0.0,-1182.929049747464,-0.23320980286876328,1.013989209300271,0.19102579286721014
3207,1180.0197272723665,0.8602250397820475,0.11300627256675011,5.0,31.0,0.0,-1178.186444027129,-0.3170971115571559,1.0344591101264937,0.1781655831753399
3208,1183.2490989803537,1.0,0.10032249343979786,1.0,1.0,0.0,-1182.9018658558136,-0.2800833657948632,1.0243519652374289,0.184301299057163
3209,1182.3534848499614,0.9358059080364293,0.09198898111974162,2.0,7.0,0.0,-1181.9577104715079,-0.2749291592125644,1.0218707201501365,0.18535038780449165
3210,1184.131970061029,0.9999166114813247,0.09908368378383055,4.0,31.0,0.0,-1182.6485241037583,-0.23407819528094673,1.0141764586484139,0.18298879316925823
3211,1181.3877852842536,0.8173193356077441,0.11300627256675011,2.0,3.0,0.0,-1179.1942575525625,-0.3121754689547731,1.0372321691569737,0.17826652794672526
3212,1183.7586764885211,0.9826687879489959,0.10032249343979786,4.0,31.0,0.0,-1175.2591364789357,-0.2983442813891084,1.0318258179157902,0.1837108236734834
3213,1183.088190432068,0.9938669670551278,0.09198898111974162,4.0,23.0,0.0,-1181.2025410075448,-0.29023208949159834,1.0314919095270136,0.18212884578275873
3214,1183.7244060863309,0.9968381950535922,0.09908368378383055,5.0,31.0,0.0,-1183.484768982019,-0.23475507939557094,1.0141773459549566,0.1900358194378691
3215,1183.4491473215755,0.9993117686008294,0.11300627256675011,4.0,15.0,0.0,-1181.1214780477917,-0.2769929276722922,1.0271312662523084,0.18106864154477464
3216,1182.9591187352528,0.9622369822138884,0.10032249343979786,4.0,15.0,0.0,-1182.7645638568674,-0.3167281434344577,1.0362133150712376,0.18377215910090441
3217,1183.5796460954243,0.9996454910443093,0.09198898111974162,6.0,63.0,0.0,-1181.8320331894918,-0.28323056900065186,1.0262917032363155,0.1888372479413388
3218,1183.8333841611698,0.9995118254839489,0.09908368378383055,5.0,31.0,0.0,-1179.6913332203749,-0.27635889076039677,1.025838818683965,0.18950865011862975
3219,1183.1396335912182,0.9995522080262712,0.11300627256675011,3.0,15.0,0.0,-1181.943589043611,-0.28244952216038116,1.0267113510186643,0.17964901140533882
3220,1183.70197643575,0.9873968494154379,0.10032249343979786,5.0,41.0,0.0,-1181.3814452437932,-0.20931162110766896,1.00739140833371,0.1850670244705187
3221,1182.0400177398665,0.9959535006599947,0.09198898111974162,4.0,19.0,0.0,-1181.8763570862843,-0.29063131674376264,1.0314247801691825,0.19290887184577876
3222,1184.159655197288,0.9963309685745259,0.09908368378383055,5.0,31.0,0.0,-1183.6106533244606,-0.23210223748340186,1.0134281926875846,0.18316347500837923
3223,1184.4249434755923,0.9665262487074278,0.11300627256675011,4.0,31.0,0.0,-1182.696762597893,-0.2646588520429943,1.0220483827944904,0.18599165019799127
3224,1183.0212575654036,0.967727049103863,0.10032249343979786,4.0,19.0,0.0,-1182.2370314840532,-0.18823719976602987,1.0009962957535385,0.184968114151328
3225,1181.7378659755884,0.8936458990911285,0.09198898111974162,5.0,63.0,0.0,-1179.6259077325954,-0.31500527367642617,1.0389581474491192,0.1812322538296566
3226,1184.019267239408,0.9988064456225029,0.09908368378383055,5.0,31.0,0.0,-1183.7757157657152,-0.2222143187497989,1.0105973458089317,0.18345697592258933
3227,1184.190961950842,0.908659473757158,0.11300627256675011,4.0,27.0,0.0,-1183.0812590719934,-0.23220619060461845,1.0126311005364192,0.18725274442125112
3228,1182.9446725763462,0.999989416363163,0.10032249343979786,5.0,31.0,0.0,-1182.268414650482,-0.19937968490042202,1.0029292431159795,0.18952274076476208
3229,1181.6867550377574,0.8946639181167574,0.09198898111974162,2.0,3.0,0.0,-1180.4008080923375,-0.3252647601951895,1.0376149342709056,0.18175872828669895
3230,1178.2091816266366,0.9978514811953282,0.09908368378383055,5.0,31.0,0.0,-1176.7656504755923,-0.37773870348858213,1.0544800299678876,0.17971352302032814
3231,1184.4638391425951,0.9982810298462674,0.11300627256675011,4.0,31.0,0.0,-1183.9123758880135,-0.24732876955890906,1.01741337420294,0.18482521179029796
3232,1183.2374142576307,0.9998462437822864,0.10032249343979786,2.0,7.0,0.0,-1182.7824150536303,-0.2023740270874908,1.00507550184331,0.18890745062310696
3233,1182.4241722312781,0.9927305346353749,0.09198898111974162,2.0,3.0,0.0,-1181.4909052713801,-0.3238594655391157,1.0392486778494916,0.1816438418283471
3234,1184.4408023918058,0.9996852548236522,0.09908368378383055,5.0,31.0,0.0,-1177.8300874667218,-0.2433474892304315,1.0162504677155062,0.18582921347174242
3235,1181.9865423747697,0.9776018554984055,0.11300627256675011,4.0,31.0,0.0,-1180.8763427089511,-0.20793568364835205,1.0051700855785068,0.19322536731202955
3236,1183.7210637355658,0.9925155043550213,0.10032249343979786,5.0,63.0,0.0,-1181.988148491546,-0.2602498379546652,1.0218630673830462,0.19013174757831044
3237,1184.2826080999916,0.9999685071596368,0.09198898111974162,5.0,31.0,0.0,-1181.9160331112525,-0.24024860158167108,1.0154773302583173,0.18316944680161687
3238,1184.407069455831,0.7772040286023689,0.09908368378383055,4.0,27.0,0.0,-1180.8922141165958,-0.25344325869619905,1.0188181675642454,0.18385816966696722
3239,1182.9793802269714,0.9995343915957853,0.11300627256675011,5.0,31.0,0.0,-1181.2229738885267,-0.19170607874822715,1.0020334099761454,0.18302918839447047
3240,1182.875317020618,0.9865328077707249,0.10032249343979786,5.0,63.0,0.0,-1181.8186450762933,-0.32353252842385144,1.0394769948571863,0.1850220912551178
3241,1183.9091143293422,0.9236017841161157,0.09198898111974162,2.0,7.0,0.0,-1183.625396358258,-0.2442159917515605,1.0148913113131817,0.18362319758033202
3242,1184.2250143491617,0.9753788007390618,0.09908368378383055,4.0,23.0,0.0,-1184.0796452503857,-0.25127670286003273,1.017353461009302,0.18630892637952556
3243,1184.3550282633648,0.8637599274709805,0.11300627256675011,5.0,31.0,0.0,-1181.837915063612,-0.2543021750133916,1.0198458605585559,0.18356923265680922
3244,1183.596499392609,0.9996662796193024,0.10032249343979786,5.0,63.0,0.0,-1181.7545018204028,-0.2105674865294081,1.0069155292210252,0.18851440014005708
3245,1183.7371484433424,0.9411544794275041,0.09198898111974162,3.0,11.0,0.0,-1182.599251711499,-0.23181404396635244,1.0140165739961757,0.1817735968494867
3246,1184.358055721944,0.9996883611862128,0.09908368378383055,4.0,23.0,0.0,-1183.4171451917234,-0.24795000792571617,1.0171081773581665,0.18367686602225766
3247,1183.7019214334648,0.8769784975597645,0.11300627256675011,2.0,7.0,0.0,-1183.4022049769778,-0.2561863537750295,1.0178765537792935,0.18399025558549215
3248,1183.155289844435,0.9229636582149846,0.10032249343979786,5.0,31.0,0.0,-1181.8043875318338,-0.2547242030125478,1.0178651324347423,0.19101001232295547
3249,1183.9296782615554,0.8739093254097565,0.09198898111974162,4.0,23.0,0.0,-1181.9981694066516,-0.23792590692552576,1.0139603012743703,0.188993592418574
3250,1184.4184846990927,0.882939315194813,0.09908368378383055,2.0,7.0,0.0,-1183.4261552350235,-0.25071211541121197,1.018621876300666,0.18400993643805347
3251,1182.925338337259,0.9998042646227965,0.11300627256675011,5.0,31.0,0.0,-1182.668469362069,-0.2246118480746277,1.0088624277179044,0.1812816719494564
3252,1183.3058809084973,0.9991208960312906,0.10032249343979786,5.0,63.0,0.0,-1182.3206486390163,-0.20399466064873223,1.0064643693095963,0.18518474187974382
3253,1182.9517068609555,0.8727678346130253,0.09198898111974162,4.0,23.0,0.0,-1181.3297231498561,-0.27710707464363266,1.0237726748563318,0.18104150103511987
3254,1181.3378903197065,0.7287320492303648,0.09908368378383055,4.0,23.0,0.0,-1181.155760183014,-0.24210253149250852,1.0198152138378214,0.18964420516970767
3255,1183.2501840185184,0.8605496248318296,0.11300627256675011,2.0,7.0,0.0,-1181.472114665677,-0.21751925497078786,1.0077720409028852,0.1810713817873257
3256,1182.6641854636327,1.0,0.10032249343979786,4.0,19.0,0.0,-1182.5685040758588,-0.1908341071456815,0.9996141104747791,0.18642280048084747
3257,1182.0161447738244,0.9997920764146644,0.09198898111974162,5.0,63.0,0.0,-1180.2956035082439,-0.2163581505314708,1.0067299079987047,0.17874611073283184
3258,1183.7776754712584,1.0,0.09908368378383055,2.0,7.0,0.0,-1181.6323639563766,-0.2505650447747726,1.0169296407595385,0.18902343618740805
3259,1183.6868348825449,0.9861092059662804,0.11300627256675011,4.0,31.0,0.0,-1182.01356333493,-0.21894051861382313,1.0105682281551853,0.1874165721085205
3260,1183.3434978537998,0.964479498380009,0.10032249343979786,5.0,31.0,0.0,-1181.7265681754934,-0.22632843284745408,1.0126617487289702,0.19009723701711678
3261,1183.3935829758145,0.9556472324606815,0.09198898111974162,4.0,23.0,0.0,-1180.4956188672907,-0.2429860597282774,1.0185820803330556,0.18493047069637
3262,1183.1802395994573,0.9686100766473892,0.09908368378383055,4.0,23.0,0.0,-1180.957903311801,-0.2859203835882174,1.0295308761360193,0.18049025642893202
3263,1182.9458313293817,0.9713097595072049,0.11300627256675011,4.0,31.0,0.0,-1181.576540290618,-0.2030043744209394,1.006126346275338,0.182077563314212
3264,1181.8325809423216,0.999283882015189,0.10032249343979786,5.0,31.0,0.0,-1181.1151072377027,-0.17008411944837976,0.9939849603070112,0.18551480368851692
3265,1184.31350046156,1.0,0.09198898111974162,3.0,15.0,0.0,-1182.8507474639464,-0.2539116731231105,1.0194877356686032,0.18297352609340642
3266,1182.3924132895713,0.7413847384264148,0.09908368378383055,5.0,55.0,0.0,-1179.5674902096177,-0.3279013282151943,1.0394351474846348,0.1832123439992903
3267,1183.9761861161803,0.9743603841943943,0.11300627256675011,5.0,35.0,0.0,-1182.383978405567,-0.25746166266198106,1.0185695831943484,0.1851739468644262
3268,1183.8233200997413,0.9966977716722726,0.10032249343979786,5.0,47.0,0.0,-1180.8593345396498,-0.24913279868090513,1.019144035144595,0.18904832185981724
3269,1182.6710630931318,0.6319623617564832,0.09198898111974162,2.0,3.0,0.0,-1181.8554588261466,-0.2596088915165903,1.0178253046939605,0.18320605385691333
3270,1183.8457901482095,0.8705294383562366,0.09908368378383055,5.0,31.0,0.0,-1180.682301531783,-0.2323217433535674,1.0144946987195858,0.18317943415283638
3271,1182.0839400521947,0.9218951825352538,0.11300627256675011,4.0,19.0,0.0,-1180.2902253837765,-0.2604680544306048,1.019028814193429,0.1782351918314676
3272,1184.180196827596,0.9459323349302777,0.10032249343979786,5.0,31.0,0.0,-1182.7915830884792,-0.28019776507008415,1.026790157832134,0.18367357868200912
3273,1183.2826073896233,0.9969754414667674,0.09198898111974162,4.0,27.0,0.0,-1180.2032153427704,-0.2826474467835164,1.0254654434340713,0.188504463900012
3274,1182.7754117009529,0.9804102272906939,0.09908368378383055,5.0,31.0,0.0,-1182.4481516592393,-0.2036279713889655,1.0061440511759698,0.18098674402151094
3275,1184.1281633444744,0.8979565475017935,0.11300627256675011,4.0,27.0,0.0,-1180.1668672226942,-0.2793145665178385,1.027366886615854,0.18465049556608656
3276,1183.2350712241278,0.9622640091941687,0.10032249343979786,5.0,31.0,0.0,-1183.08934222421,-0.1996371241149971,1.0049015969873833,0.1870742590445875
3277,1183.79928218635,0.9395691646748275,0.09198898111974162,5.0,63.0,0.0,-1182.1745135251012,-0.23079709335606147,1.0113549233676362,0.18808401980667216
3278,1183.2642431108036,0.999675812279219,0.09908368378383055,5.0,31.0,0.0,-1181.4709046107569,-0.21578579209831233,1.009415370377244,0.1899173214954932
3279,1183.7968605249137,0.9124270102014655,0.11300627256675011,4.0,27.0,0.0,-1182.5215162019679,-0.22771638960332366,1.0133883586632875,0.18468936990533677
