"","alpha","beta[1]","beta[2]","sigma","lp__"
"81",-0.277424526291173,0.999147472882745,0.284595214605464,0.298327472158437,14035.2390446437
"82",-0.277364834392019,0.998782668952375,0.28488198814933,0.298541871757356,14036.4487394394
"83",-0.274243738225506,0.99821703085173,0.283864360285178,0.299370680872159,14037.3424712687
"84",-0.270304731205303,0.996179254091098,0.286412113256874,0.29769061011822,14036.1828535484
"85",-0.278175950617455,0.99826104658634,0.288344972403682,0.299102981815238,14036.823917015
"86",-0.26848913007602,0.997198794803756,0.281194316552739,0.29654518512863,14037.542588809
"87",-0.270073920145285,0.996778764527478,0.285048490649332,0.297860530784956,14036.8191916282
"88",-0.274216698387879,0.997472712294257,0.286967636537234,0.296239842346088,14037.22792897
"89",-0.275761450399174,0.998256471604748,0.285213017312632,0.29699904576435,14037.516685903
"90",-0.27192823306426,0.997827648677849,0.282680101261468,0.297429878971319,14037.8336781693
"91",-0.272043258087376,0.997122064636215,0.285229052526768,0.296262163846802,14037.7004932663
"92",-0.269129588454979,0.99630719745883,0.285174726591689,0.297816339767759,14036.8640789957
"93",-0.268511692134858,0.995942768751373,0.285733533095453,0.297741590631432,14036.0602218315
"94",-0.276810267204815,0.997947303039669,0.287656938077481,0.295564509272373,14037.2746849345
"95",-0.276454050580117,0.997845241664194,0.287593616165443,0.295061868408016,14037.1315515872
"96",-0.275199876634326,0.997411717671656,0.287789786940443,0.294723787525735,14036.9853401704
"97",-0.273998465491701,0.997947111925814,0.284820615688103,0.298543251111377,14037.6542862269
"98",-0.275776038444562,0.998528379454762,0.284883090685953,0.296588348861749,14036.6998583853
"99",-0.269683070253145,0.997739829730046,0.280586663123535,0.297806614866411,14037.5219640565
"100",-0.268165467073999,0.996949122966708,0.281812987442861,0.298217941617753,14037.5409324343
"101",-0.276823127397505,0.997382027389818,0.289638652452963,0.297555134146566,14037.3187471401
"102",-0.273554471605062,0.997257218589443,0.28673287435353,0.297434803745177,14037.7603176362
"103",-0.275830104315924,0.998635623548819,0.283629842081858,0.301709581451993,14035.113918489
"104",-0.261958641266341,0.995813121099921,0.279018076451581,0.296475639346753,14034.9463717985
"105",-0.267470178546547,0.99794487280788,0.277556163116904,0.304043567099865,14032.8601261498
"106",-0.270040490249638,0.997562691542303,0.281737889963887,0.304552029521683,14033.5452217028
"107",-0.263732074265213,0.996696519299414,0.277492056095111,0.303595993796402,14032.9487954107
"108",-0.267057832079093,0.997941596111949,0.277469646323901,0.301702333534647,14034.5056146196
"109",-0.268550592155279,0.997188310921535,0.281260394294231,0.298759035017788,14037.5264191572
"110",-0.26480965360026,0.99670635025437,0.27911973644901,0.300574701354649,14035.9214875717
"111",-0.276617300251023,0.997263289061483,0.290098137714651,0.296102633240441,14036.8129437355
"112",-0.268185611674617,0.997463976091675,0.280064119552689,0.294038397976626,14036.2408468419
"113",-0.274114125594789,0.99749595030919,0.286339380830142,0.292450083959778,14035.4877928686
"114",-0.274029350813394,0.997482725724718,0.286458999186673,0.292151330430775,14035.0829338292
"115",-0.278029571574153,0.998046159746135,0.288414812675029,0.294077773509496,14036.2296864894
"116",-0.273683102371567,0.997387157286821,0.286309868844052,0.297401255517379,14037.909461613
"117",-0.273269145914605,0.99697568975931,0.2871034897702,0.297333509575418,14037.5810800532
"118",-0.278579120640433,0.999366657463265,0.284196867648181,0.295055786795806,14034.559073096
"119",-0.278579120640433,0.999366657463265,0.284196867648181,0.295055786795806,14034.559073096
"120",-0.26234787263126,0.99509454965481,0.282585458691355,0.29628951755108,14032.5694156317
"121",-0.262292179706341,0.994945477084497,0.282571986498903,0.296162030600555,14032.6477951083
"122",-0.265343302745599,0.997611894914124,0.276328373775711,0.29783480364059,14036.1143303256
"123",-0.279344679174849,0.998669891585276,0.287811916854926,0.297690379546423,14036.7815124802
"124",-0.278134621967283,0.997816617349508,0.289614738846632,0.295411202643462,14036.8494546572
"125",-0.278134621967283,0.997816617349508,0.289614738846632,0.295411202643462,14036.8494546572
"126",-0.267257122679074,0.997666025820678,0.278260147126734,0.300236018561877,14036.2656507275
"127",-0.266192666075863,0.996484939052733,0.281175818509303,0.29640829523167,14036.7957066073
"128",-0.272081021088185,0.997398752189746,0.284556985205055,0.295076062212608,14037.3966178421
"129",-0.272586085308853,0.998154780904672,0.282429871719788,0.294244107136982,14036.4618863198
"130",-0.265802149706675,0.996140246561665,0.281633102895387,0.294479081972408,14035.1235216369
"131",-0.27589112428932,0.998409501412908,0.284446597676563,0.296664799686508,14036.7699146819
"132",-0.277246741149585,0.999269359397866,0.28314208158099,0.296956928932756,14035.3926072669
"133",-0.276307240963664,0.998698527814862,0.284124686497491,0.296740600686332,14036.7158040014
"134",-0.276855140058544,0.997976365434583,0.287070627997061,0.294523752102885,14036.334967164
"135",-0.276588972065424,0.997634036802133,0.288753146833708,0.298670031915051,14037.3305389926
