"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"18",-0.19597389042242,-0.105707175142447,-0.177193119445504,-0.0641465018840296,-0.0124863581345929,0.0037936886195591,0.0123717454295721,0.00551831483140103,0.965568177961324,0.938339599807015,0.972169819402718,0.946838541088532,0.950564287120665,0.958374899376037,0.974812446179483,0.994598868775239,0.23042512888576,0.19596067027604,0.178657169828945,0.152076894847792,0.120048723309192,0.0883326691032684,0.0534295942247356,0.0150340090517693,43329.5010089118
"19",-0.151765989675421,-0.165031997516375,-0.144155380316522,-0.0794073697961187,-0.0446766326621565,-0.011878265764385,0.0128334518596584,0.00888151516829869,0.953314097175669,0.956906756756977,0.960264940886284,0.950604590289898,0.960035328741974,0.964361772383245,0.973315482111216,0.993307627841848,0.231026193930267,0.199246104511623,0.179099195563627,0.151438083601185,0.120278657104387,0.0866268260702472,0.0528705048525403,0.0148703406391922,43333.7934895633
"20",-0.137985181504265,-0.138897052176018,-0.133194648072612,-0.0557530535806503,-0.0461194192071288,0.00825118319631533,0.0124570000649015,0.00362943185515999,0.946816549854437,0.950320104986996,0.956813082525604,0.941036161528201,0.961617258753774,0.956372168036193,0.97424354937224,0.995183927409911,0.231796340147492,0.196945461369325,0.174862364250456,0.153164378534095,0.121829519447035,0.0857488334876376,0.053691430580706,0.0148389372096795,43334.716851544
"21",-0.170264644620257,-0.117545962636034,-0.162064009701111,-0.060697855395244,-0.0270974001856366,-0.00453241188262213,0.0165118115278843,0.00484205483703749,0.958175410735084,0.942363433024823,0.967239244927957,0.943707766733909,0.953227273403377,0.961055709632692,0.972119512732324,0.994677614559383,0.22988962402012,0.193743775928257,0.17148622724822,0.155306213709835,0.119169706222817,0.087644508656428,0.0526555307644358,0.014831928266,43335.5260924425
"22",-0.146542715081744,-0.132613967919772,-0.161234130048644,-0.0452404470697495,-0.0300856811208622,-0.00313735449824913,0.0102205375901252,0.00521439749909359,0.952495418886126,0.948213007625277,0.965996289544765,0.938564238383177,0.955629729879497,0.959324322427308,0.973875912242767,0.994718710403912,0.229870256890047,0.196576426916434,0.175398988124936,0.152478800869474,0.119665608597497,0.0875273753271784,0.051810466532179,0.0149441711549554,43335.2436537687
"23",-0.188035710149156,-0.102137409333874,-0.157206584489487,-0.0626310164050781,-0.0427832304429064,0.00456992118852686,0.0045361539498255,0.00761529822086268,0.965262335526406,0.938288064453542,0.964959668889608,0.943907779712629,0.959663885727897,0.957259499251597,0.976575480636227,0.993622830383718,0.228880873665785,0.203021197895487,0.175990572990535,0.155087156405975,0.117543113868728,0.0853340869450778,0.0534900186821996,0.0149474540503598,43334.3898817661
"24",-0.163576172081254,-0.132963707136698,-0.134814664837302,-0.0615378073295549,-0.027431731814449,-0.00241548956346942,0.0150592023322411,0.0062031430653287,0.95884733722043,0.948623326207485,0.957910232908682,0.944548856064263,0.954705932386774,0.959738006567482,0.97311742074946,0.993990065947666,0.232084763037801,0.197964415870098,0.173870583076918,0.156421116941387,0.120664348893753,0.086696675700845,0.0541404513909469,0.0150623488121055,43337.9345554803
"25",-0.137158983418268,-0.128293635862933,-0.166973471986964,-0.061823626378717,-0.0444040097844954,0.00877574735109465,0.0126097631036071,0.00741450438349419,0.947365384176752,0.94568552164498,0.969318279949773,0.944922528311821,0.961175604516602,0.956870640148174,0.973567295216796,0.993777200277816,0.226402364126038,0.200629367974947,0.176189449017296,0.15459490743686,0.121027476195438,0.0870628900270058,0.0531666835530252,0.015188010416996,43337.5500868845
"26",-0.179584593217913,-0.119418608981858,-0.133173002798514,-0.0795477721526082,-0.0365899041904618,0.000834065259925672,0.0128116145732086,0.00739399525714826,0.963669103205279,0.942487071586129,0.956918675479698,0.94961989811374,0.957416649984228,0.958977116024485,0.973364088694653,0.993671341341027,0.227131151653573,0.195024528830792,0.175696668438471,0.153673217245131,0.121023495806032,0.0844427478836095,0.0546369935205949,0.0153429707687204,43333.7798552745
"27",-0.1811948155851,-0.149895308323439,-0.158148473948366,-0.0384343290614881,-0.0306241916357054,-0.000678639772724125,0.0112885688604372,0.00560275081642703,0.9619305646564,0.953387736655183,0.965019319411128,0.936257236008277,0.954601877412435,0.959281958695106,0.97467175171525,0.994483643671497,0.23051210846731,0.195063298193522,0.178197707422099,0.150143802547932,0.118361821484074,0.0871071300051276,0.0533747659812304,0.0153305754464872,43336.5994748061
