"","alpha","beta[1]","beta[2]","beta[3]","sigma","lp__"
"71",-0.262196136546674,0.911294796002159,0.0835349252585762,0.301709635032583,0.265406395859785,14816.6245625784
"72",-0.261430443748349,0.911389753976022,0.0835826166447725,0.298171446702391,0.267477593105642,14821.9249689251
"73",-0.261621794654888,0.909879239591173,0.0849550337468314,0.300612349491341,0.266538650696368,14821.9481641625
"74",-0.262987460262387,0.910422895813415,0.0838764440258577,0.302453114524397,0.270751539380522,14822.6054724473
"75",-0.264785984058394,0.910956107361824,0.084216201421596,0.302354789711236,0.270638721679127,14823.6371319163
"76",-0.263513630506363,0.911146002743833,0.0837656891693828,0.301921028360979,0.270885425742987,14823.4157899128
"77",-0.270146796997982,0.911418932450725,0.0840990467515791,0.30702473266781,0.272502101640917,14821.1486243171
"78",-0.261967770381146,0.911341330250416,0.0835758321574565,0.299947253961796,0.272451628170477,14823.1810884884
"79",-0.26235114161408,0.909573880096112,0.085791631225373,0.299354623951032,0.27073987471193,14823.3355911155
"80",-0.254276559315943,0.906086886208811,0.0874402621600085,0.296881933300739,0.267908059439032,14821.2038673539
"81",-0.256029440321722,0.906287027171983,0.0876036410043748,0.29742485774242,0.268143295889716,14821.8320344259
"82",-0.260732270422868,0.90565726736071,0.0883589688427297,0.302981708746206,0.267634571422146,14821.2791407271
"83",-0.268144453217065,0.915824489939368,0.0803369326722154,0.301071237801712,0.272674126992022,14819.3939436201
"84",-0.261827352292102,0.915126018593482,0.0796692132889479,0.300121576960038,0.272438040203058,14818.2251911304
"85",-0.268051816347191,0.91321557977947,0.0825724114352237,0.302323767691725,0.270418695039142,14821.3949013089
"86",-0.257322942083071,0.909717854213571,0.0852200041952787,0.295317171235936,0.266409019238879,14821.6672614122
"87",-0.259509908839763,0.910027354806529,0.0856364539374757,0.294769999015364,0.266542522687398,14821.0400243727
"88",-0.255654130025129,0.908652945929917,0.0850405779133154,0.297491580581513,0.266621166976574,14821.8470945356
"89",-0.257827145003662,0.908779455094431,0.0840485088264828,0.30278698118377,0.266653073802065,14819.0821462938
"90",-0.263781215344106,0.909271426384195,0.0852958471514194,0.303619987443305,0.268612418088969,14823.5021194346
"91",-0.26444134957063,0.90957156562149,0.0851837284469118,0.303653489962243,0.268438804676345,14823.4948510071
"92",-0.261342753949582,0.913475248611609,0.0818132426996003,0.297019556771918,0.269673623375598,14822.5362311116
"93",-0.26396320233581,0.910037819388582,0.0848657081011861,0.302676777344453,0.268822525310159,14823.4968552848
"94",-0.264225086412536,0.909997988523159,0.0848611996879245,0.302566712741337,0.268788631341092,14824.0096096151
"95",-0.259418443222046,0.912699478253454,0.0821893362397364,0.297329346563557,0.267574689631554,14821.8616366643
"96",-0.259418443222046,0.912699478253454,0.0821893362397364,0.297329346563557,0.267574689631554,14821.8616366643
"97",-0.257782543158874,0.907802303118475,0.0858247511383172,0.300015880586927,0.272347308524158,14822.1553552886
"98",-0.26708895228048,0.907848819234115,0.0877596045401408,0.303322528347777,0.269572878789621,14821.8636522383
"99",-0.260462140798688,0.907764463584423,0.0858625782746803,0.303561313580841,0.267989735699292,14821.8437642116
