draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,sigma
2863,1889.7483063549203,0.9998630448759672,0.02347331351994421,4.0,23.0,0.0,-1889.391862684924,0.023896419295894828,0.2923476357468748,0.6751208580593979,0.0915276259625168
2864,1889.8123312923985,0.9888935035117118,0.021264886404270496,7.0,127.0,0.0,-1885.6627509372775,0.019076400241212692,0.3123111865037558,0.6553443988734913,0.09028556926058959
2865,1887.224852611013,0.8212236655969495,0.021765770852745368,8.0,255.0,0.0,-1884.0864687887429,0.03042798238278729,0.2740785662783341,0.6903893219980808,0.08949464385274587
2866,1890.0044801980143,0.996968851266678,0.022577872639330785,7.0,255.0,0.0,-1888.8629738835343,0.021829823313310733,0.3260031461703324,0.6420457269705705,0.09034848282201899
2867,1889.1388966469901,0.9956042617152359,0.02347331351994421,7.0,255.0,0.0,-1886.9708224570622,0.018635901422985785,0.33980716140121187,0.6283664760882516,0.09452674362481409
2868,1886.3465037008057,0.9917060808766616,0.021264886404270496,7.0,127.0,0.0,-1883.481043511605,0.014610154939927816,0.3779400895384263,0.5901924491017125,0.09528185711180402
2869,1889.2752401048638,0.9999996701097642,0.021765770852745368,7.0,199.0,0.0,-1884.779806442453,0.005334283369624278,0.31538407852805683,0.6567738901107966,0.0903612923282815
2870,1889.502642963895,0.8875360922332396,0.022577872639330785,6.0,103.0,0.0,-1888.3553693018637,0.017640598079345014,0.3171834955354762,0.6525384339796843,0.090432979271905
2871,1889.939135695055,0.9587896821783396,0.02347331351994421,7.0,127.0,0.0,-1888.3463320148664,0.038330332209502105,0.3182753218490851,0.6435290055337252,0.0906398924234274
2872,1889.782016793889,0.9998940254663735,0.021264886404270496,7.0,127.0,0.0,-1885.213580086008,0.02770096383863577,0.3358701063730728,0.6298083984860644,0.08948101575214736
2873,1883.8477078639041,0.8813618999286014,0.021765770852745368,7.0,127.0,0.0,-1882.595386060834,0.048071834729555146,0.37925355219836576,0.5801771094193822,0.0932959152749523
2874,1889.898776224066,0.999177444544553,0.022577872639330785,7.0,151.0,0.0,-1889.2256166120933,0.023028705405358695,0.30812331365114193,0.6599893415399429,0.09114915438483492
2875,1888.9324790112794,0.8376451496166168,0.02347331351994421,6.0,79.0,0.0,-1887.5630019295581,0.03267174320867669,0.3089716688497225,0.6541400960693022,0.08959121749160442
2876,1888.6285650325644,0.8719922069314384,0.021264886404270496,5.0,55.0,0.0,-1887.5210190265022,0.024573561054641303,0.3370436185087384,0.6303642560097292,0.08888869286954844
2877,1890.3716253329476,0.9842613292580438,0.021765770852745368,7.0,127.0,0.0,-1881.846036781031,0.020802363922382352,0.3231521316085374,0.644436585036279,0.09034525840655337
2878,1889.8524207228118,0.9999960536100225,0.022577872639330785,8.0,255.0,0.0,-1889.168284890515,0.04905387044138534,0.2954717624178733,0.6649476881219785,0.09073371824221325
2879,1888.6372186346139,0.9495806748494802,0.02347331351994421,7.0,127.0,0.0,-1887.2591897710279,0.056917606279803364,0.30849383276908615,0.6477205889448304,0.09197095431124727
2880,1889.1123638832764,0.9091066010991027,0.021264886404270496,7.0,183.0,0.0,-1886.7194837763943,0.01013014365077628,0.31125382962645265,0.6590717053445103,0.08997350460341948
2881,1888.0122393132917,0.9854548027955382,0.021765770852745368,7.0,127.0,0.0,-1887.3611976753773,0.016463586078811456,0.37584776425130234,0.5921131329399706,0.0913705785089912
2882,1889.9131037338482,0.9344338411249039,0.022577872639330785,6.0,99.0,0.0,-1888.7903331011555,0.020254389766524397,0.30227090984029314,0.6662731427862716,0.09081111670368003
