,id,dist,curr_pace,total_pace,finish,age,gender,year,prop,propleft,male,propxcurr,malexage
3721,241840,5K,4.081632653061225,4.081632653061225,3.735393059490085,44,F,2019,0.11849745230477544,0.8815025476952245,0,0.4836630706317365,0
3733,241852,5K,4.098360655737705,4.098360655737705,3.7334100159263848,52,M,2019,0.11849745230477544,0.8815025476952245,1,0.48564529633104686,52
3800,241919,5K,3.8138825324180017,3.8138825324180017,3.7261568350406216,43,M,2019,0.11849745230477544,0.8815025476952245,1,0.4519353634812183,43
3826,241945,5K,3.7678975131876413,3.7678975131876413,3.724183583406884,28,F,2019,0.11849745230477544,0.8815025476952245,0,0.44648625585823454,0
3868,241987,5K,3.9968025579536373,3.9968025579536373,3.718931782125859,30,M,2019,0.11849745230477544,0.8815025476952245,1,0.47361092048271564,30
3934,242053,5K,3.7341299477221805,3.7341299477221805,3.7120612298759568,55,M,2019,0.11849745230477544,0.8815025476952245,1,0.4424848853800427,55
3949,242068,5K,3.808073115003808,3.808073115003808,3.7107554304810484,27,F,2019,0.11849745230477544,0.8815025476952245,0,0.4512469623182614,0
3950,242069,5K,3.7678975131876413,3.7678975131876413,3.710429124164615,45,M,2019,0.11849745230477544,0.8815025476952245,1,0.44648625585823454,45
4091,242210,5K,3.9032006245121,3.9032006245121,3.6945101129498292,50,F,2019,0.11849745230477544,0.8815025476952245,0,0.4625193298390923,0
4102,242221,5K,3.949447077409163,3.949447077409163,3.6935399159663866,28,M,2019,0.11849745230477544,0.8815025476952245,1,0.467999416685527,28
4137,242256,5K,3.8051750380517504,3.8051750380517504,3.6890190592760974,41,M,2019,0.11849745230477544,0.8815025476952245,1,0.4509035475828594,41
4145,242264,5K,3.912363067292645,3.912363067292645,3.6880517437286953,36,M,2019,0.11849745230477544,0.8815025476952245,1,0.46360505596547513,36
4237,242356,5K,3.790750568612585,3.790750568612585,3.6780857740585775,41,M,2019,0.11849745230477544,0.8815025476952245,1,0.44919428470347017,41
4293,242412,5K,3.9215686274509802,3.9215686274509802,3.672643398032901,43,M,2019,0.11849745230477544,0.8815025476952245,1,0.4646958913912762,43
4317,242436,5K,3.930817610062893,3.930817610062893,3.671045763006786,41,F,2019,0.11849745230477544,0.8815025476952245,0,0.46579187226719904,0
4388,242507,5K,3.949447077409163,3.949447077409163,3.662124631140427,25,F,2019,0.11849745230477544,0.8815025476952245,0,0.467999416685527,0
4423,242542,5K,3.869969040247678,3.869969040247678,3.6592663255571938,45,M,2019,0.11849745230477544,0.8815025476952245,1,0.4585814717677068,45
4520,242639,5K,4.230118443316413,4.230118443316413,3.647877582778594,34,M,2019,0.11849745230477544,0.8815025476952245,1,0.5012582584804376,34
4545,242664,5K,3.663003663003663,3.663003663003663,3.645671332296527,28,F,2019,0.11849745230477544,0.8815025476952245,0,0.4340566018489943,0
4588,242707,5K,3.8284839203675345,3.8284839203675345,3.6415810822473462,41,M,2019,0.11849745230477544,0.8815025476952245,1,0.4536655907533516,41
4609,242728,5K,3.8255547054322876,3.8255547054322876,3.6393824391926857,52,M,2019,0.11849745230477544,0.8815025476952245,1,0.45331848624627175,52
4657,242776,5K,3.6845983787767134,3.6845983787767134,3.6359327875915555,47,M,2019,0.11849745230477544,0.8815025476952245,1,0.4366155206513465,47
4660,242779,5K,3.7792894935752077,3.7792894935752077,3.6356195071514734,36,M,2019,0.11849745230477544,0.8815025476952245,1,0.4478361765108671,36
4662,242781,5K,3.9619651347068148,3.9619651347068148,3.6356195071514734,28,F,2019,0.11849745230477544,0.8815025476952245,0,0.469482774583104,0
4674,242793,5K,3.787878787878788,3.787878787878788,3.6343669250645996,43,M,2019,0.11849745230477544,0.8815025476952245,1,0.4488539860029373,43
4682,242801,5K,3.690036900369004,3.690036900369004,3.6340539143915254,28,F,2019,0.11849745230477544,0.8815025476952245,0,0.43725997160433744,0
4691,242810,5K,4.022526146419952,4.022526146419952,3.633740957630038,34,M,2019,0.11849745230477544,0.8815025476952245,1,0.4766591001801104,34
4717,242836,5K,3.9682539682539684,3.9682539682539684,3.630926770501678,49,M,2019,0.11849745230477544,0.8815025476952245,1,0.4702279853364105,49
4736,242855,5K,3.6443148688046647,3.6443148688046647,3.629677419354839,49,M,2019,0.11849745230477544,0.8815025476952245,1,0.43184202734976473,49
4752,242871,5K,3.943217665615142,3.943217665615142,3.628428927680798,39,M,2019,0.11849745230477544,0.8815025476952245,1,0.46726124725857826,39
4775,242894,5K,3.924646781789639,3.924646781789639,3.6262461326916466,36,M,2019,0.11849745230477544,0.8815025476952245,1,0.4650606448382082,36
4825,242944,5K,3.692762186115214,3.692762186115214,3.6218884120171673,52,M,2019,0.11849745230477544,0.8815025476952245,1,0.43758291102206587,52
4873,242992,5K,3.6443148688046647,3.6443148688046647,3.6175411522633745,47,M,2019,0.11849745230477544,0.8815025476952245,1,0.43184202734976473,47
4885,243004,5K,3.790750568612585,3.790750568612585,3.616920966912395,41,M,2019,0.11849745230477544,0.8815025476952245,1,0.44919428470347017,41
