"","alpha","beta[1]","beta[2]","sigma","lp__"
"69",-0.27677080388087,0.998357128458175,0.286873220296523,0.294680270720141,14035.4013694457
"70",-0.279855639280493,0.999022183370087,0.287636630212121,0.29550267874927,14035.1187294971
"71",-0.279509328346236,0.99848717409429,0.287957177551468,0.295537697549899,14035.6682129901
"72",-0.278391174902693,0.998403443160029,0.287032099802879,0.301058244364452,14035.2918825769
"73",-0.280377210463769,0.998376833086451,0.290579689637212,0.299874937198924,14035.4303107191
"74",-0.283332973295133,0.997729933411594,0.295536378287494,0.299235701862292,14034.573338509
"75",-0.283973602560962,0.998549693677826,0.29337515819544,0.298674372932134,14035.1609980559
"76",-0.277421225043303,0.998375068215811,0.286197620576872,0.294883126945155,14036.0655229856
"77",-0.282067171910129,0.99814463029641,0.293294322290476,0.294132624979986,14033.7927186679
"78",-0.277755669042242,0.997943262453054,0.289363942412496,0.296869566965609,14036.2805393995
"79",-0.280015360113761,0.998202167451161,0.290472916578419,0.299888126723502,14036.2122157237
"80",-0.272212482187513,0.997015545788799,0.285288137715694,0.298539484446662,14036.9206910066
"81",-0.271537646282642,0.996633681336081,0.286299798819392,0.297862728824411,14037.1973933726
"82",-0.271763960355696,0.997717739667622,0.282727127981171,0.29694772623938,14037.7726193355
"83",-0.266010589199562,0.996419615322758,0.281137349179127,0.299754426765821,14036.3892382961
"84",-0.270840252987523,0.997629042873006,0.281669156175786,0.30084882740628,14036.201456889
"85",-0.269627129683481,0.997307674933308,0.282771881081322,0.299902418116615,14036.3931356844
"86",-0.276477982518227,0.998008016121693,0.286337303030209,0.298223775835722,14036.7269742934
"87",-0.279187868188493,0.998170899669742,0.290087387857466,0.295586514710886,14035.6584788001
"88",-0.276923388608239,0.997430313786784,0.28940566982289,0.296258010063218,14037.1550796082
"89",-0.265597657448234,0.996309512368334,0.281556676857115,0.299364025472744,14036.1982688393
"90",-0.28030278666497,0.998922376262336,0.287610399576677,0.295796995139818,14035.7595499232
"91",-0.268796426197583,0.996516041952437,0.283983953652219,0.297821826771762,14037.252255486
"92",-0.267601147519594,0.995800120483463,0.285106422775495,0.298476261878077,14035.6565681882
"93",-0.265492770934145,0.994760781058971,0.286776542812128,0.298703845277967,14031.8506478911
"94",-0.26680125980443,0.994853295301946,0.287404440305103,0.297566460943657,14032.0263305237
"95",-0.266659089472354,0.994756302245264,0.287433123010085,0.297514428110767,14031.3406876501
"96",-0.266693030685216,0.995041647650268,0.287479240020191,0.297511372432242,14032.3808510964
"97",-0.270865851010519,0.996505433759794,0.286092086823792,0.29594704992754,14036.8391842599
"98",-0.282011014270866,0.998866130220799,0.289532699392682,0.298312581944276,14035.5297146734
"99",-0.276115308808609,0.996650520032989,0.291125717318513,0.301252151173361,14034.7940411789
"100",-0.275974716881851,0.997940134650157,0.287164396105046,0.299564239254057,14037.0160668332
"101",-0.276146654031245,0.997671084973961,0.287045605090275,0.299438072531801,14036.1350278322
"102",-0.278060332428717,0.997590286010354,0.290735975021491,0.300227007105085,14035.9694850166
"103",-0.272436546279607,0.997580143246202,0.284715867049893,0.298556055693794,14037.2976968393
"104",-0.274901541709427,0.996958240068006,0.289503328904014,0.297364463512598,14036.7095208211
"105",-0.27741603692489,0.99795447772326,0.287701884030707,0.303749624502994,14033.7298050772
"106",-0.275716418747145,0.997234356447414,0.289015347483916,0.303738401079341,14034.13837698
