"","alpha","beta.1","beta.2","sigma","lp__"
"26",-0.323715190170944,0.992729208822344,0.352476428263989,0.291632130069427,14212.2290827862
"27",-0.324387096923392,0.994524638386767,0.348573355668319,0.290941673586223,14211.5877138645
"28",-0.31787904565529,0.993585383961634,0.343902247753472,0.286887118352662,14211.1242816627
"29",-0.319047815745847,0.993265333371619,0.346180664761809,0.290597871154785,14213.1598704151
"30",-0.316177147980318,0.992011504265801,0.346051431259062,0.292459493838211,14211.4561303789
"31",-0.319575639744416,0.993542924011551,0.345720561712703,0.298124302197498,14208.8336362599
"32",-0.318612372396569,0.992876384793994,0.346729489786106,0.291330899004541,14213.1598393705
"33",-0.326298722084183,0.994555369150979,0.350099328789108,0.291049960143235,14211.9907520038
"34",-0.314871067769749,0.993455675512091,0.340648420956906,0.289166977390192,14211.6624058797
"35",-0.32227661908926,0.991988832456935,0.351926708422264,0.290708024712176,14207.7555893818
"36",-0.31735764083689,0.992815918662876,0.344661818103956,0.290250054288058,14211.8224034501
"37",-0.322482640830699,0.993113503261491,0.35064536127869,0.292732541238257,14212.1792784124
"38",-0.318773129614346,0.992917704485714,0.347122027407065,0.298190904406748,14208.2411060622
"39",-0.325388205553775,0.993080756154099,0.353229149974988,0.290293602703855,14212.1916187648
"40",-0.317710857674763,0.993994528953432,0.3429054354574,0.288004961152455,14210.6445043521
"41",-0.325743075404586,0.993371905851041,0.353643056188111,0.289117346476456,14210.7040838688
"42",-0.318254111163405,0.99303656706166,0.345792748749723,0.290725597712332,14213.2294144244
"43",-0.325025986785489,0.993736854346059,0.350422845321402,0.288913558478633,14211.6616853947
"44",-0.325543444300234,0.993696913313769,0.351490602711253,0.292294361997392,14212.5600749154
"45",-0.326094896280127,0.993586560770568,0.352379436520376,0.292608888049397,14212.2604445797
"46",-0.3285625191784,0.99396129770137,0.353904852359383,0.290042430018184,14211.5079231363
"47",-0.315275495994115,0.993150159777791,0.342394520473205,0.289828847655021,14212.3534494258
"48",-0.322925712699169,0.994316657450184,0.346257900232373,0.290792525620228,14211.1698349322
"49",-0.318495527731264,0.992772160501781,0.346826330231614,0.289064304290236,14212.7083329941
"50",-0.32634209466978,0.993480180380193,0.353350813812411,0.291152630590122,14212.3307310996
"51",-0.324026930208137,0.993585458531266,0.350454888090235,0.294005527017338,14212.3060303529
"52",-0.31586907858766,0.994410802658353,0.339007246924687,0.290009114997502,14210.1190097236
