"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","beta.1.5","beta.2.5","beta.3.5","beta.4.5","beta.5.5","beta.6.5","beta.7.5","beta.8.5","beta.1.6","beta.2.6","beta.3.6","beta.4.6","beta.5.6","beta.6.6","beta.7.6","beta.8.6","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"11",-0.197066735170237,-0.186476842446359,-0.164128491675749,-0.104207140077577,-0.116615663333953,-0.0848413145717759,-0.0096005948880965,0.00624431158521596,1.02013836126007,1.01292790839479,1.01100174103141,0.994862487119185,0.997039632557261,0.999237131313504,0.994367652890513,0.997609729099903,-0.0396150572184415,-0.0510518638099447,-0.0557616252642278,-0.060810112263461,-0.0600812921192854,-0.0349224056820973,-0.0287644135389052,-0.00650786413081346,-0.0788225560097502,-0.0353759935091265,-0.031848394662294,0.0176803135506559,0.0687136532832502,0.0373061118364926,0.0125622873152407,-0.00942665939489879,-0.0859872982530393,-0.0901258653004433,-0.0883345510522962,-0.0763292470760065,-0.0277496835891008,-0.0193043941853357,-0.0228842847942273,-0.00126962743202686,0.0045635074432094,0.0250815752955514,6.83860463778801e-05,-0.0158011081866335,0.00337547773320963,-0.00183736437929599,-0.0186231165979792,0.000549746008540036,0.212856030850699,0.188922108647215,0.17240934789923,0.150605667201157,0.129206348844062,0.0894059605239131,0.053702282692356,0.0150930431185774,54499.4646624371
"12",-0.177674119062949,-0.164155860615953,-0.198370076317107,-0.122299955107108,-0.129969793888209,-0.066630904391221,-0.00217055823971403,0.0105448569797964,1.0097821856488,1.0111170261684,1.01495438536623,0.997717800374693,1.00375249864282,0.998836229316094,0.991988007972448,0.996520175885636,-0.0549755446542346,-0.0505244634710018,-0.0620605188141494,-0.0521834390962022,-0.0567771688843661,-0.039577750891786,-0.0275430350050266,-0.00587774541135229,-0.0289637553059641,-0.0437729971195357,-0.0136211630510171,0.00859196231485415,0.0356726780533849,0.0249424393536869,0.00570108240792852,-0.0107445076339975,-0.0843310891881634,-0.108567864236399,-0.0684001205869903,-0.0607671704092849,-0.0157071549366486,-0.027344382279632,-0.0219610315587279,-0.00280658662640894,-0.00491052252632493,0.00892790930656601,0.0133447900937628,-0.00544233157139339,-0.000771800006376803,-0.0142659788028301,-0.019638807071137,-0.000286998804505671,0.215582436469914,0.187095999111075,0.169941387388212,0.152711996711885,0.125731007238205,0.0892204832522677,0.0544895557637036,0.0152911093786285,54503.3444899133
"13",-0.150834111773493,-0.165004311134173,-0.199817336770483,-0.179894369147847,-0.132213668889814,-0.0527294133794623,0.00173524813061941,0.00342530015519086,1.0024295510777,1.01224808499034,1.018844303049,1.00964685354378,1.00112450680215,0.994952448271217,0.992178018975506,0.998115636641843,-0.0321854038182633,-0.0458275289163312,-0.0511821109946433,-0.058954148290418,-0.0509246146697825,-0.0378937734418979,-0.0307909020582889,-0.00675490710475644,-0.0705101049959075,-0.0579080758321966,-0.0390828689457128,0.055080862500673,0.0699578799673144,0.00478974860793514,0.000990308522036711,-0.00631176276002316,-0.0901283535154899,-0.114204256502306,-0.0734611544338946,-0.0548911226600943,-0.032319815817494,-0.024732358606414,-0.0214505380773389,-0.000903738562553594,0.00296504983659356,0.00648875865335746,0.0136969695278548,-0.00303367859827614,-0.00635137434810888,-0.00639350471017011,-0.0204859883390638,0.00108058145562738,0.218745315773841,0.184239397347536,0.16925508948863,0.152964272848041,0.127803759273324,0.0883527535648487,0.0534602563001603,0.0152475359714551,54497.4332776057
"14",-0.105263604393015,-0.124921131430352,-0.17596870607079,-0.151780724842943,-0.17930719944674,-0.0751289540813604,-0.01090013849378,0.00797087577052526,0.999801155352093,1.00585704403868,1.00925977465618,1.0039949199694,1.01137855021073,0.998412320476983,0.994382835183114,0.996715297972469,-0.0627789916251675,-0.0458687605382375,-0.0568460247357675,-0.0594213017316674,-0.0594610383242451,-0.0407371744090155,-0.0276394199126486,-0.00659727343101511,-0.0916432756332643,-0.10266545314784,-0.00803143401929276,0.0445757784387649,0.0704596595573539,0.0226372216945136,0.00927876470490734,-0.00673037064156743,-0.101495249662668,-0.107577038877416,-0.0780200158253285,-0.0624313644100627,0.000954661687510346,-0.0160931499767905,-0.0222600430551861,-0.00197166281439429,-0.0145407259210114,-0.00401350984477892,0.00855003493938874,-0.00846015340146553,0.0101166504317594,-0.00477074266901995,-0.0186404194952502,0.000215841476367342,0.219589184894536,0.189482210733039,0.172361755478085,0.15144203195601,0.128674993170902,0.0887835186582427,0.0533582771621111,0.0152427816665934,54500.8940161031
"15",-0.171686036332337,-0.133228273725624,-0.205632205939958,-0.171225980484149,-0.153270668752656,-0.0819994521634097,-0.00237918586825269,0.00353413958131943,1.01179324362178,1.00507557638617,1.0165683017911,1.00951888441122,1.00965080166825,0.998804279101616,0.991951349942453,0.998190535446514,-0.0563459106544339,-0.0434332142374871,-0.0514786589521803,-0.0678507955295192,-0.0638556952644659,-0.0377469180094786,-0.025619259575077,-0.00682040762270151,-0.0727938737900359,-0.101649238986185,-0.00944747092764525,0.0568223252781415,0.0423232900816164,0.0418321718439893,0.0108684922768026,-0.0056636391290712,-0.0874354273491493,-0.0969277899041629,-0.0723260238298496,-0.0552803015532182,-0.0153968719368371,-0.0208266758490829,-0.0238932098565608,-0.00208722235889127,0.00780094527968275,0.0132153453179246,0.000402799709043965,-0.000470766344294695,0.0103021556207585,-0.00874959104707845,-0.0203506405659692,0.00182411879274531,0.217813587166293,0.186614894274455,0.171144699466286,0.151215514184636,0.126080962252406,0.0882659309040574,0.0549465860917888,0.0150579750320491,54494.803760636
"16",-0.114186346780994,-0.169313102299979,-0.210363076731025,-0.135488964163729,-0.11521345241781,-0.0811490393899658,-0.011825394963426,0.00603069016601078,0.998002896112137,1.01748781159242,1.01889881731471,1.00232248176082,1.00186584886703,1.00147033738914,0.994932721494933,0.997598938777317,-0.0664131765981094,-0.0546468811485802,-0.0701289146238546,-0.0689690330455735,-0.0580782737982504,-0.0392966288188284,-0.0265747059660281,-0.00678232285917712,-0.0725464968432965,-0.0846741662456336,0.0199669698086171,0.0338354116091938,0.0156191204387993,0.0250370027390733,0.00387127534752308,-0.00853619279110912,-0.100719318331719,-0.0957811224344894,-0.0772227768582613,-0.0639487606696008,-0.0201802769348362,-0.019611891644815,-0.0208211851767848,-0.00179630817537986,-0.00473403396245556,0.0165521128057003,0.000216580143796222,-0.00427536018953934,0.0037508605546767,-0.00692406628367374,-0.0161708115245668,0.00145945705464459,0.215848714048902,0.185490865225445,0.169267734941575,0.150623842509936,0.126266763107262,0.087801048153612,0.0529969157790243,0.0152161000269166,54505.7937813127
"17",-0.168161710114509,-0.119105396242429,-0.191061774333787,-0.133338568203223,-0.149997787494843,-0.0528414791666246,-0.00830218962679541,0.00415824549461204,1.0100442601042,1.00276904529407,1.01134047543951,1.00215321362971,1.00789431590506,0.995323938951537,0.993433271978483,0.99773336690952,-0.0360725271515708,-0.0505921377602081,-0.0514706240598911,-0.0604483638201319,-0.053442381816148,-0.0427960121137753,-0.0259975541935659,-0.00691587844939324,-0.0781480230976514,-0.0897611610068984,0.0138390875735736,0.0133743201185014,0.0371441997601804,0.00718167235245159,0.0013515333912318,-0.00361034972790662,-0.0907669659215088,-0.109957100338107,-0.0856553405884055,-0.0639197984650887,-0.0138674998448741,-0.0255663731880385,-0.0196296414780301,-0.000794917765740334,-0.00150975377018803,-0.0064830176780688,0.00622995816750422,0.00121879150370185,0.0072165572382504,-0.00257075684547025,-0.0148240636708592,0.000533368397028506,0.213696142837897,0.184589798118617,0.168552935014818,0.153249184404607,0.126784185158132,0.0883191947906332,0.053887482432123,0.0152654539434745,54503.6048304333
"18",-0.162046455168525,-0.147045756219722,-0.201145291361979,-0.150070274035483,-0.111818469037706,-0.0723650087124433,-0.00574590516432417,0.00851134755094729,1.00256128056078,1.00767367327057,1.0163312278822,1.00446511396696,1.00024176510868,0.999211198713693,0.994173208593794,0.996512308916929,-0.0512797496198675,-0.0412335643074022,-0.0604437494514676,-0.0646463320853752,-0.0601374466392812,-0.0436647255586549,-0.0272791382776595,-0.0058052211682906,-0.0369046332419418,-0.101726561628067,0.00630657028900314,0.0218973177892297,0.0274153664209146,0.0216020007536483,-0.00499570059092566,-0.00543562309067137,-0.0914509497207143,-0.0989866415891462,-0.0803851776793117,-0.0432866107751471,-0.0231535404303744,-0.0181892170168168,-0.0194743174664513,-0.00260493039956738,0.0134128677623362,0.0212011842519525,0.00255222168447972,-0.00558930616798215,-0.00373358503096318,-0.0064483244229415,-0.015486961002871,0.000355295479502191,0.212336881431264,0.18718285682916,0.171204744672364,0.151750751255436,0.124188443912778,0.0894814473772091,0.0542335290131013,0.0156090642395942,54492.8992340575
"19",-0.148924607667913,-0.201860465775551,-0.203811985621763,-0.10712666296531,-0.12624017849863,-0.0750061297053639,-0.0056672498952765,0.0059172963550692,1.00579172109368,1.01614304369635,1.01646877762225,0.999119151682047,1.00161597963072,0.999439299735184,0.993813816260263,0.997463104875867,-0.0366111092763714,-0.0484983045644479,-0.0604962542190775,-0.0717326734272662,-0.0579811846221437,-0.0334880653882833,-0.0291218868910722,-0.00682498723865905,-0.114197816069842,-0.0255648191315145,0.0101074468783168,-0.007081975352807,0.0486255747282114,0.0175807824505594,0.0016266531039654,-0.00697397755504327,-0.0766761400279577,-0.0931098719255108,-0.0763062729026148,-0.0635682166906192,-0.0150772718758488,-0.0210062059997033,-0.0211864842822059,-0.00148109079945853,0.00959821933005372,0.0253832567093514,0.0054624286365599,-0.00759276052835295,-0.00418957005869123,-0.00461564695958305,-0.0158498252150108,-5.15113879862469e-05,0.215051409574143,0.188645398112083,0.173982306986696,0.147965298667499,0.127185880986033,0.0891408703589733,0.0542631197320991,0.0152968666643035,54506.7250707144
"20",-0.199787347986765,-0.150370283275153,-0.212668556254375,-0.152843725921459,-0.155441619140768,-0.104308365230595,-0.0077852536391281,0.0090373946846375,1.01958956981425,1.01147438170299,1.01633843270689,1.00988496923361,1.00836214378819,1.00521775538972,0.99490725391814,0.997191703279828,-0.0635442824608428,-0.0460079120839701,-0.0494924391009233,-0.0660885498592176,-0.061055829223294,-0.0394984629502001,-0.0252730720359441,-0.0069069278285465,-0.0310371639180708,-0.110879565829867,0.00280090006570654,-0.00293878992452498,0.059445958976208,0.0451974126246291,-0.00648217208022058,-0.010909924145885,-0.0976610662214191,-0.0928859186839874,-0.0726805287251574,-0.0559304176537384,-0.0116890527510514,-0.0180211053269594,-0.0197761697447098,-0.00218988197312183,-0.00754279255764677,0.0113783941672277,0.00996814644603101,-0.0108719503519576,0.00183476613129054,0.000476289484621022,-0.019538040708276,0.000262840080582072,0.219343821596484,0.19117846504423,0.170665495021092,0.151667867715344,0.12716204116123,0.0894079763817559,0.0535233465635313,0.0152670642650499,54500.1323362992
"21",-0.155797371490933,-0.109777759352948,-0.241282174167901,-0.115210303358352,-0.138036222872453,-0.07146659694326,-0.0101907678303815,0.00593905947396553,1.01566976046558,1.00740738413361,1.02655769532457,1.00233146137832,1.00240216862008,0.997613121567901,0.99455148964468,0.997584987429054,-0.0538203386860603,-0.0397625943867104,-0.0583753089288557,-0.057149889963786,-0.0602230598102369,-0.0400530121317545,-0.0289898960202834,-0.00723905673475258,-0.109932116838084,-0.1624460681975,0.037256197441185,-0.0239435496553929,0.0555860467827643,0.0212693267004397,0.00727072460437247,-0.00603854801427972,-0.0959846162874084,-0.121375984921335,-0.0818361521040071,-0.0722719885982826,-0.0169108147161189,-0.0130461601291906,-0.0229633444221701,-0.00212251855771135,-0.0104795045739524,0.00500067600753334,-0.00352937682583727,-0.00731268430515871,0.0143793016085981,-0.00415904573346287,-0.0198168632196736,-0.000324569350191576,0.214773768058226,0.188934288106877,0.171741123614135,0.151953047688483,0.12789437815373,0.0890457257333508,0.0528251144449776,0.0153686982935847,54494.0893111904
"22",-0.160664945161438,-0.156285976125088,-0.198873386122559,-0.134258474748188,-0.15711751969604,-0.073946987658754,-0.00273629837931133,0.00385571764641914,1.00443660673922,1.00735841668775,1.02254458349207,0.999396272852681,1.00882552857137,1.00026805505991,0.993173008772015,0.998022553112103,-0.0357520289528518,-0.0512990143697692,-0.0594013294670151,-0.0611621803598021,-0.0532624645217809,-0.043730465394372,-0.0292726035743283,-0.00654201853115974,-0.075747616909395,-0.0423383996631514,-0.0366147371562235,0.0294990805944763,0.0620370392547092,0.0238863246959524,0.00287394943164219,-0.00706961764017966,-0.0816149766831128,-0.097752361362317,-0.0841035337148274,-0.0550762622718653,-0.0201268392877524,-0.0209769177413799,-0.021757264166283,-0.000213192679571057,0.0078791164163757,0.0100396172598748,0.000875996647871495,0.000928631399307334,0.00328399223544577,-0.00502660427898767,-0.0181468736125276,0.000503850875006029,0.214279596566932,0.186364766788737,0.172001286083937,0.150038562775613,0.126683291393401,0.0885195036570429,0.0537514112961008,0.0152736851174427,54507.1159618356
"23",-0.157414782148186,-0.157142518285579,-0.215631722186988,-0.147330474827741,-0.137349027632114,-0.0580832283498129,3.13939972071632e-05,0.00347361173988635,1.00993528159118,1.01321557511092,1.02248702410174,1.00764695332386,1.0009240339786,0.995517044656194,0.992302082634126,0.998538675428784,-0.0282124735657713,-0.0558748021816223,-0.0597064946313188,-0.0619055544358597,-0.0536028623600831,-0.0385175704279978,-0.0271546407346174,-0.00802861033472184,-0.125340649025868,-0.0838819302070142,-0.00907863176955706,0.0267323029029781,0.0587317325756834,0.0105214767010066,-0.00206998064441202,-0.00861009452509097,-0.0817472670713179,-0.0973920927051994,-0.0714006024345675,-0.0682678285827419,-0.0140104652015103,-0.0181215713109968,-0.0212232511830256,-0.000142957369798323,-0.00638950981265468,0.00150668176033211,0.00577402496636141,-0.00698587943673794,0.00428695916293118,-0.0053404404689996,-0.0197343599665413,0.00225370671523227,0.224369819264174,0.190303776544929,0.171041775086276,0.150008462095319,0.129042396493939,0.0907736245425182,0.0524907694903626,0.015219807292064,54493.7799960891
"24",-0.225943852165038,-0.142222148005079,-0.227423792241554,-0.0759744930899657,-0.143287523760039,-0.0792227165588905,-0.00548081070554552,0.00450643167943529,1.01739934073201,1.01123745928566,1.01758180076673,0.996461044992883,1.00741415838277,0.998761966802045,0.993218361512767,0.997827840013576,-0.0399412769018768,-0.0478664471370776,-0.0540387288870656,-0.0606420564580889,-0.0595722198466111,-0.0320386545884051,-0.024188032765779,-0.00691986437693197,-0.00423783930205874,-0.106834516096045,0.0269321296047646,-0.0617904728515681,0.0429768143787807,0.0219889089162139,-0.00280928643055148,-0.00833953988851508,-0.0890810567338273,-0.100852454188452,-0.0648444641508213,-0.0698752193414027,-0.0136271856215957,-0.0203770190298242,-0.0189013486237857,5.76507052602337e-05,0.00619474247031878,0.00732273566117725,0.0114589540368409,-0.014261814512387,0.0012331622828703,-0.00743645319505919,-0.0142143297738449,0.00135508842967644,0.214188866271774,0.188485467213654,0.171232035162758,0.153312678834282,0.126132322398982,0.0889921841482495,0.0531314017436493,0.0154467598936398,54498.0980763219
