"","alpha","beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","sigma","lp__"
"49",-0.492177192632595,0.913114194150063,0.151700222249591,0.552645866495056,-0.0754908373454092,-0.00304617559346306,0.264702400774258,14883.6827164664
"50",-0.474382623087992,0.912427631684483,0.147045367225499,0.537082774556636,-0.0702895333771897,-0.00365208678565667,0.265510526566802,14883.9184968005
"51",-0.494738607012116,0.912033770522103,0.155220143622151,0.553608940182346,-0.0769458444659009,-0.00347671318034578,0.267795629540331,14883.4785504093
"52",-0.497262525540604,0.913143219370106,0.153212465089552,0.561589991313935,-0.0773281213394444,-0.00431784737333657,0.267339080373494,14883.5337978456
"53",-0.502921647506552,0.913599663783769,0.154624186991753,0.559969373440279,-0.0777476892250767,-0.00246188508145298,0.26834693592152,14880.7394561543
"54",-0.485912682267694,0.912156336307626,0.152042547642575,0.55070431687918,-0.0753863100159609,-0.00443298432896868,0.268930412517969,14883.9263956802
"55",-0.487432661048398,0.909487007826178,0.15549539609981,0.552864336408362,-0.0759496274405767,-0.00457943525538942,0.269507489283613,14881.7269297187
"56",-0.496126013816241,0.90632930835377,0.160194132723316,0.556696133716477,-0.0779821284749787,-0.0011566788178324,0.266950545293415,14877.8339729949
"57",-0.446836931153611,0.90988161680983,0.139478417905426,0.504593407923931,-0.0593866235199749,-0.00155258228118331,0.26672714351686,14879.7044192915
"58",-0.445612858369291,0.912023849801293,0.141184925553752,0.506167631215636,-0.0631684830785205,-0.00449941143045954,0.26584125148092,14883.2389182651
"59",-0.443172739330183,0.912108989983483,0.142539408995257,0.504331960446377,-0.0646736139070818,-0.00499240545653944,0.265588377842444,14878.8651072102
"60",-0.45905358948391,0.912442495018218,0.144658202317487,0.51754293431672,-0.067440694193636,-0.00256465298400447,0.26906417403398,14883.3348575915
"61",-0.464897821329464,0.912953129307163,0.144447131830198,0.520567675526572,-0.0668926577437275,-0.00238174958563,0.269118079742002,14884.2309163608
"62",-0.465157034966151,0.912936141818531,0.144480185902305,0.520323947389595,-0.0668276254755465,-0.00236534662143392,0.269098128730412,14883.8753262223
"63",-0.464780752127315,0.913779334102005,0.143524261625268,0.517050547540634,-0.065698530811019,-0.0026017367156039,0.269594118427529,14882.23619612
"64",-0.462984626479899,0.913440100351971,0.142671823991081,0.521666922876696,-0.0663191677985881,-0.00302762517921621,0.269505283182799,14884.0352441027
"65",-0.45854946223921,0.913100141585981,0.142848295297805,0.517713907230509,-0.0661991103513329,-0.00340143652403607,0.268284028196339,14884.4384638617
"66",-0.458164481353685,0.913280396759944,0.142453899817641,0.517326463449073,-0.0662115707337243,-0.00286379831110594,0.268149431074728,14884.233770726
"67",-0.463069200020295,0.911495054327271,0.146110319718467,0.525655112882862,-0.0678481621752038,-0.00505656167552941,0.268236037466764,14883.4323920558
"68",-0.464808529849697,0.91126661980467,0.146312896156839,0.527058187717114,-0.0678462773095955,-0.00438504954698234,0.268455505915799,14884.4039589385
"69",-0.483063911072954,0.911744063679456,0.149810878020532,0.54067873252933,-0.0710287641338275,-0.00319181320959806,0.268838005353325,14884.3549944786
"70",-0.48863427829341,0.909680858765643,0.154519011511322,0.553305214589365,-0.0754814693698148,-0.00387046064979169,0.268507340491046,14884.0378638061
"71",-0.486200605936245,0.912978913732494,0.150177931369674,0.544181752105235,-0.0720756590604554,-0.00444641791915422,0.265815450188221,14883.3933838339
"72",-0.480910855669702,0.91058254014327,0.150941400152026,0.539973144087753,-0.070487920343889,-0.00478315450392706,0.272192604331696,14880.0843643248
"73",-0.50250326342059,0.913400750136658,0.155988120659305,0.561542429641748,-0.0783098654129675,-0.00543221294125747,0.26697725667947,14881.2422023398
"74",-0.473740043163275,0.910550875447854,0.151383104987529,0.532687571859244,-0.070871139271923,-0.00495887025299326,0.26813565403862,14881.5296841413
"75",-0.463521119360997,0.909180894002577,0.147578871352007,0.518887911578531,-0.0662819867786047,-0.00164855579425382,0.268133370951136,14881.9535755999
"76",-0.468161704430141,0.91408725892017,0.143054505486891,0.52578764580565,-0.067317463636093,-0.00233987665147172,0.271043266917762,14882.4777996476
"77",-0.468203082921617,0.914234854492757,0.142817470195323,0.527231316632364,-0.0673081527870823,-0.00282739671311989,0.27100623303749,14882.8473967081
"78",-0.459486493590605,0.908830583409414,0.14863166821177,0.523518655689792,-0.0683305537566577,-0.00482086267422034,0.265468861441181,14880.0720728245
"79",-0.468325631822332,0.909292468756327,0.148852201213963,0.525719431949334,-0.0667282512968735,-0.00413650067709208,0.265544822490995,14880.4480483054
"80",-0.508727195900895,0.915203506722937,0.153611511240853,0.571158709314372,-0.0796217501430787,-0.00378908065386646,0.268932627096463,14882.1620233096
"81",-0.464250004951982,0.909375685535804,0.146365669026947,0.525997735954934,-0.0663433692733292,-0.00316038683204204,0.266414139032486,14883.5503113618
"82",-0.458951871711478,0.906401848212827,0.148514021528662,0.521768220063523,-0.0653723388910553,-0.00393010212246909,0.267216841720755,14880.8374159444
"83",-0.471881715731171,0.911488311275421,0.148616724777466,0.530279165032836,-0.0705890024731973,-0.00222638373436004,0.269975324805172,14883.3923776411
"84",-0.471212896582748,0.911756223352914,0.146806224400299,0.532076061603513,-0.0687664897610647,-0.00371596564066717,0.269361216573134,14885.0106046973
