"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","beta.1.5","beta.2.5","beta.3.5","beta.4.5","beta.5.5","beta.6.5","beta.7.5","beta.8.5","beta.1.6","beta.2.6","beta.3.6","beta.4.6","beta.5.6","beta.6.6","beta.7.6","beta.8.6","gamma.1","gamma.2","gamma.3","gamma.4","gamma.5","gamma.6","gamma.7","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"11",-0.138747773635649,-0.0683405282530278,-0.139317116624182,0.00139994293472709,0.00727850015970957,0.0694128619160095,0.0735119276655284,0.0178995356132737,0.999193689049512,0.0549934862126797,-0.0448037109799187,0.207479489145837,0.452061247139526,0.646903281651376,0.79089501750882,0.94634589686578,-0.0297035245679193,-0.0444797974054964,-0.0555645494959731,-0.0597905588887405,-0.0417446248198898,-0.0195740401617601,-0.00936071885951413,-0.00146485784463094,-0.0846398005257749,-0.121876049178428,0.00913011013061851,0.0382462710086965,0.0267068284284645,0.0118304581519882,-0.0257657919609323,-0.0145679807506896,-0.0909480896401351,-0.107552667796386,-0.0503427330736642,-0.0348101272126384,0.0365213034848838,-0.0455325174543602,-0.0203466844522432,0.00196323093344405,0.000871093102164138,0.0154820559287141,-0.034864404602052,-0.0308742446729652,-0.0073731033350913,-0.0286711562916378,-0.0282677035119938,0.00487931567969568,0.93453304297221,1.0493311865419,0.765979518463024,0.522456153615555,0.325176988198317,0.192408434183996,0.0501704460618955,0.216910749190036,0.180144805278144,0.157381358932854,0.129827685276647,0.107163885914649,0.0710735403490944,0.0387439526835962,0.0112942183268072,59477.0538724415
"12",-0.159582832402582,-0.130795775441642,-0.169991357576442,-0.0100629439700428,0.00514818888796859,0.0623708867409201,0.072459198408229,0.0151137156058194,1.01119982073347,0.0413002837427874,-0.0405071952519136,0.185581089591084,0.486513242277975,0.634552115582135,0.792508420459837,0.949536963984221,-0.0366658658392336,-0.0491875591909158,-0.0613854942532209,-0.0560937623804675,-0.0414326580261212,-0.0214712540045359,-0.00864826704078135,-0.0015339464078929,-0.100429987129552,-0.0530702460977878,0.0574500455664276,0.0604392441496569,0.00672954202351,0.023589073064341,-0.0125983511792735,-0.0140274254534429,-0.0987716409006727,-0.0921269463870829,-0.051567294308727,-0.0311177036785137,0.0293736604823135,-0.0531398441426716,-0.0224263839744247,0.00281264009330653,-0.000336915656880363,0.0286020941230195,-0.0237792529209348,-0.0344420621011167,-0.00498899785949536,-0.0348705257359361,-0.0301135191497236,0.00468519426577921,0.956261731102913,1.04758022374467,0.787253124616334,0.488564808050197,0.341512515234874,0.18990739865309,0.0475595834962408,0.218122618738713,0.177182417916308,0.152622414489632,0.12824103539815,0.104506438666188,0.0710731717674813,0.0389973010944888,0.0116696135619719,59491.4126573817
"13",-0.165455155029303,-0.135318976887681,-0.160735228678491,0.017282225971742,0.0307352729326211,0.0735154120959512,0.0800858571452926,0.0210836852320083,1.01077816021391,-0.101720066211795,0.00629140186308208,0.230198014579712,0.456661541096133,0.641360541329033,0.786320399535883,0.947455864436743,-0.0371307236166325,-0.0451845116194878,-0.059382665060564,-0.0520966152675468,-0.0367330460417918,-0.0207579651407424,-0.0096053497661583,-0.00107426706146224,-0.0802726800333976,-0.0152508719404905,0.0368250099631139,0.0103545409463655,-0.00116866120321594,-0.00507030240340512,-0.0137054000215319,-0.0192263156907903,-0.0942941678713821,-0.0974631029054412,-0.0535702444588717,-0.0348882752449047,0.033587913286962,-0.0480278860571669,-0.0213875614430622,0.0016924882080561,-0.000540434550937545,0.0300667406494831,-0.0279393056883696,-0.030423673036607,-0.0022368739654394,-0.0309155276203831,-0.0312446161859852,0.0036102408761927,1.09447370998561,1.00087117730898,0.739230776786879,0.510821455697205,0.33293532636362,0.194034276927003,0.0485443309507211,0.214545858302928,0.181806090268283,0.155119035529713,0.128619954104188,0.107034222797638,0.0706877771383731,0.039006949651897,0.0115898664549453,59496.6884920295
"14",-0.167935184973777,-0.0938292475229662,-0.128215889725479,-0.00983428394390602,0.0140109302591861,0.0767702512853718,0.0769683510456485,0.0180566165504667,1.00213444924946,0.00266977049941185,0.0254347552157144,0.212823803983102,0.442995159579076,0.642762855632131,0.786046260848082,0.946433191838204,-0.0411450016295795,-0.0371102125549068,-0.0605424860406363,-0.0526603470961011,-0.037172843711768,-0.023581849663261,-0.00683341509738538,-0.0017873066472314,-0.0230056848368777,-0.0899506457637853,0.0222815092109644,0.0544954606446805,0.0213255663507742,-0.0129775683211371,-0.0237216486865568,-0.0149471494638893,-0.0798960597469617,-0.101886589086046,-0.0619869572574171,-0.0336594226139739,0.0393871030167994,-0.051403288747296,-0.0225100263457289,0.00264490118363516,-0.0103136103853942,0.0230651372886198,-0.029240356149235,-0.0258201695077546,-0.00320565107788634,-0.0250066462442799,-0.0275946281528214,0.00330633609161172,0.988598039610316,0.972288147248632,0.760064405399057,0.52853002848702,0.331893584621925,0.195788807722291,0.0502818195824282,0.21585228290973,0.181780654824793,0.157089514281154,0.127545501945665,0.107610769496152,0.0722988532196981,0.0395812618543557,0.0112788626091507,59477.6999534304
"15",-0.147073871670482,-0.142440272018433,-0.171675622416817,0.00148746820264699,0.00513538083806038,0.0620686054738793,0.0763066099723082,0.0202736592399863,1.00516193208662,-0.0381588672911668,0.0548363741721209,0.205606429185404,0.468207854517578,0.649520490857747,0.78741415115053,0.945664840222339,-0.0453310548557127,-0.0525299966678194,-0.0587251707037233,-0.0578880289096907,-0.0406053292817352,-0.0216739989873602,-0.0104916890668393,-0.0015818400368318,-0.0601869720563541,-0.0434757059420094,0.0435305903926262,0.0529270496320992,0.0276968025452281,0.0114927228829619,-0.0197722936126501,-0.0172224650678813,-0.099923331656337,-0.0959512722756061,-0.0537046245048826,-0.0325174511459266,0.0368234941550015,-0.0500507028500842,-0.0228383574033925,0.00202933712178914,-0.00424451085041875,0.0253347522981826,-0.0221333492880098,-0.0260509013858287,-8.74584871551833e-05,-0.0273164111625875,-0.0311776806558282,0.00330924341598128,1.03745982545816,0.952365224521539,0.763344817787069,0.504069581071017,0.325179892723598,0.19514315304171,0.0507156177540154,0.212724710249283,0.179138443589571,0.158944632569629,0.128552552959802,0.107629393442003,0.0721871686110623,0.039125299625875,0.011288284573377,59488.8650548565
"16",-0.138239092395946,-0.132912012763188,-0.115269914762954,0.00173856808525539,0.00615815651025116,0.0537914793098935,0.0686755875359613,0.0159867215085548,1.0056300325316,-0.0461290861986231,-0.0268637010771173,0.207190052690544,0.457239277817606,0.655864073248622,0.789243889855662,0.947536221115129,-0.0474856428878146,-0.0519579837742751,-0.0529762710085145,-0.0626434619874357,-0.0445043354643116,-0.0226256646039888,-0.0108172619550638,-0.00138885267609028,-0.0828679213977463,-0.0735537589367974,-0.0169059723125791,0.014545727992872,0.0389721647368901,-0.0164676013028648,-0.011630905204672,-0.014492416535159,-0.106596390160026,-0.0929663116759496,-0.057093999574674,-0.0291589543712284,0.0398678783901284,-0.0427954897684458,-0.0203948897480697,0.00303630851850455,-0.0166965658045986,0.0261356630385719,-0.0285635507308356,-0.0334513009969015,-0.000360110779104804,-0.0225964523224617,-0.0280501048869344,0.00423047066008357,1.04657058769901,1.02597038693917,0.768960509741592,0.513291837786893,0.325722656770671,0.194520753888748,0.0495418786006936,0.215566562592714,0.178596411576827,0.155534575849456,0.129454694957612,0.106479097129656,0.0702767647981551,0.0393230411671216,0.0113632311297456,59493.5367441465
"17",-0.207077877244082,-0.133451791453409,-0.159609938478667,-0.0086100042477787,0.0199277522951041,0.0826642201628871,0.0683965283798752,0.0170397987884806,1.01490006332868,0.056587862466802,0.0803965995608257,0.191931111752096,0.45053919153371,0.629068442863592,0.78946121997392,0.949420316886737,-0.059258257174744,-0.0562859074908504,-0.0637954506583729,-0.058772008972817,-0.0392771464291473,-0.0202932322954578,-0.0121381170845583,-0.000934333092282323,0.0175669899465379,-0.0718758026471475,0.0682410654083,0.0548760660811908,0.0225587936270513,-0.0107308433577369,-0.0125247192457972,-0.0155029393438505,-0.0992136003682698,-0.10234495005634,-0.0519453139424456,-0.0380142340834387,0.034864282589247,-0.0528320500604579,-0.018453954120781,0.00204566852490174,-0.022991192502168,0.0206361114537011,-0.01810037311505,-0.0303901321409571,-0.00513641535682154,-0.0295713498548497,-0.0269011206896734,0.00346164244646592,0.946852562499188,0.920795151969333,0.781829508081832,0.518360251797708,0.344010475776197,0.194164993608531,0.0473858386513795,0.214507602819664,0.174663547781988,0.157037709451609,0.129032571173785,0.109235584478663,0.0703907321456793,0.0390967363031412,0.0114564296294197,59482.7345463912
"18",-0.164590234382443,-0.105164098339674,-0.134985920618778,-0.00532693681312615,0.00951100315303459,0.0565137771012073,0.0680533832642999,0.0164833954533951,1.00869359247088,-0.0171957777116072,-0.00748052030423322,0.249401675774921,0.476516737369708,0.644839847279153,0.787448794606449,0.946902392676308,-0.0487786158472896,-0.0509113842681023,-0.0580944482760493,-0.0598158006421965,-0.0438415416945039,-0.0209450053531067,-0.00887267998863891,-0.00049143944933018,-0.0717640410494371,-0.0505435559882833,-0.0364068135001904,0.0407160453341997,0.0227648599268164,-0.00147832704824289,-0.00577254284643806,-0.0145710059712487,-0.0931088683095953,-0.102042093075423,-0.0496593194796014,-0.0310149436571814,0.0335278546564689,-0.0437572588062847,-0.0228481559705406,0.0023678434796568,-0.003930713026831,0.0268440819291158,-0.0212479321254461,-0.0344613535529719,-0.00386748900884481,-0.0243163243705692,-0.0327613695238357,0.00429057139431211,1.00612265650025,1.0135857535539,0.724568722363548,0.495524484478996,0.333324692185637,0.196574460106975,0.0498778076459994,0.215329487991592,0.178657729099854,0.151330351862807,0.129751293943963,0.105536865444774,0.071561869320209,0.039277960967504,0.0114512350656531,59495.6155696654
"19",-0.154537660159471,-0.119194503877925,-0.139397816176481,-0.0369692782906224,0.0411714020602288,0.0678875173269744,0.077052665489076,0.0189372776129869,1.00410443151616,-0.115337470486455,-0.0259074109004558,0.227856219228422,0.453632100981525,0.640254345163906,0.783059538657129,0.948447054902471,-0.0496308656350258,-0.0461444096075446,-0.0693525667391215,-0.0594435985311086,-0.0418220783453264,-0.021001439845323,-0.00848631251643788,-0.00125447721651186,-0.0492557690068472,-0.0814040873203658,0.0649231962221573,0.0586868637000937,0.00838244700081579,0.000941040843259755,-0.0121581519653283,-0.0159740699674256,-0.0788092106843214,-0.101376717796547,-0.0545312273034472,-0.0290286022607214,0.0252125977637986,-0.0499692071881128,-0.0226906094613749,0.00252890638408265,-0.00527221302413154,0.034034707305108,-0.0303282740888087,-0.0258831062472035,-0.00955908209997257,-0.0315929763818144,-0.0310578873535586,0.00401265877395844,1.11103708028231,1.022875323525,0.753024916160716,0.513208531316029,0.335908644811727,0.198742778072563,0.0478597234538637,0.218718893161484,0.177705539961029,0.1540942082946,0.129856269568008,0.106721981560357,0.0713956644608342,0.0392982681070364,0.0115751048835943,59492.0456779751
"20",-0.158844740291476,-0.15913465624285,-0.0872398139465247,-0.023778529196879,0.0316910277990151,0.0795102507178399,0.0690764399861352,0.0196929747612359,1.00601363727514,0.0660925131738558,-0.0240250964991938,0.246399711190132,0.495893397767043,0.643467241970644,0.791520146629792,0.946401525650115,-0.0340563496406275,-0.0451078693568108,-0.0592949324108337,-0.0590959477155428,-0.0449507469537062,-0.020757133199952,-0.00698985905586071,-0.00152225269875729,-0.0831756598000831,-0.0476355317573591,-0.0310371520017203,0.0645741843156296,0.00634925924925358,-0.00246330061736695,-0.0102187777151123,-0.0179105221409115,-0.0926802088941913,-0.0926578842913883,-0.0523213547663504,-0.0365331981137649,0.0299402190721268,-0.0508303515503418,-0.022780836639494,0.00234121017216504,0.0122960775912601,0.0262529691501455,-0.0278770016155543,-0.0272523034109655,-0.00448550685527289,-0.0293132884521453,-0.0301359061345956,0.00370506925694299,0.939239403403661,1.01460008235183,0.729421633477672,0.471414691521587,0.328460159033364,0.191869728505588,0.0501546129503791,0.217212667815532,0.18241771004885,0.153350936391074,0.129664943663957,0.107710650665769,0.0700764250307302,0.0391805017087635,0.0114726017467491,59487.6449785452
