"","alpha","beta[1]","beta[2]","beta[3]","sigma","lp__"
"54",-0.259131924099324,0.908774676192202,0.0858537138549975,0.298128571801046,0.270476114360374,14823.8849375001
"55",-0.2599635741664,0.908481399091312,0.0855543929260703,0.301110174669838,0.270060224373344,14823.6955230712
"56",-0.259293104679425,0.907392410114295,0.0868670260998268,0.299976660728408,0.271299138934747,14823.24088299
"57",-0.265700932224362,0.909133630418506,0.0865031142256828,0.301902208727012,0.271741624789611,14822.6985461926
"58",-0.262860368512667,0.911287195519754,0.0836901313123492,0.300453561585839,0.26669582278258,14823.0860341729
"59",-0.257829802210543,0.910824912776796,0.0837033355401974,0.297164380233822,0.269575425903379,14823.0211669584
"60",-0.265851086153183,0.910434549898912,0.0853728882593558,0.301139428387588,0.269782094468204,14823.2281538835
"61",-0.265206681733034,0.911863742052855,0.0840975539044997,0.299436433852813,0.269002951522413,14822.7770198595
"62",-0.25761624575689,0.908196670491038,0.0847558938635046,0.30168033775822,0.268758277976065,14820.1739655063
"63",-0.257690581948016,0.908435772658867,0.0856980971719208,0.298618537291883,0.269751115467616,14823.4482580537
"64",-0.26012813867324,0.911405173274976,0.0835808500804673,0.297969475300595,0.270326534127777,14823.2562858254
"65",-0.26315490232735,0.91119825498731,0.0834996191175666,0.301169186218477,0.26970877766721,14823.1047065876
"66",-0.261410345731225,0.906196574068395,0.0888184610732815,0.300568109815772,0.271329297381643,14820.6900736297
"67",-0.256638245812828,0.907558764763824,0.0861424902830765,0.298862640934996,0.266985069784367,14822.0958441756
"68",-0.268323859587307,0.913861473488104,0.081078264679296,0.30649839316387,0.268574658583638,14820.4584850147
"69",-0.26477851151189,0.910171964886157,0.0844819598491838,0.303841650237317,0.265958683303475,14822.2146438814
"70",-0.265140180594561,0.910280898476452,0.0849674928817434,0.302929360280386,0.26631455692626,14821.5581972347
"71",-0.257992623527917,0.909249886876966,0.0847761096892723,0.298010320432981,0.273262623873471,14820.7455211272
"72",-0.260502886564597,0.913772222511019,0.0810427252404644,0.2981553776482,0.268048693112909,14822.0855962827
"73",-0.261261139925437,0.913292774799152,0.081182278085079,0.300128395180138,0.268433368859053,14822.3222003379
"74",-0.26290981633523,0.90773369970488,0.0862372176366811,0.304353839503105,0.268374626485539,14822.4791687186
"75",-0.26291794537174,0.906620867739401,0.0877593589355685,0.303660633607455,0.268385065217157,14822.619546588
"76",-0.263539499599411,0.912455007097792,0.0828798386898977,0.300077395565317,0.268764835045218,14823.3348197241
"77",-0.258948888735063,0.910297917493618,0.0835996760344485,0.299442941324282,0.267834503941926,14821.9382896489
"78",-0.258830449079748,0.910543550196614,0.0838155059623917,0.299406813595068,0.267750659425346,14820.6249804153
"79",-0.259729153274568,0.911067214169352,0.0835595469656006,0.29925115905106,0.266973595972254,14820.9354077411
"80",-0.269537468321932,0.905606047081212,0.0897539472404996,0.308588989982752,0.26922635597736,14817.15334301
"81",-0.268130639390815,0.907713598190909,0.0868364166336877,0.308508650237652,0.269236162068,14821.6847334977
"82",-0.270106002629521,0.908917397353656,0.0866199501072572,0.306333170857953,0.26952240694679,14821.0477788653
"83",-0.268384627340336,0.906694703441245,0.0880799075941529,0.308927353288348,0.269307432558487,14819.4967283843
"84",-0.264793882496453,0.909255560911191,0.0864003644289712,0.301301823522643,0.268731459446015,14822.327714079
"85",-0.261015244344229,0.908756904787732,0.085106419214123,0.302504653086248,0.268720932967441,14823.0388554382
"86",-0.263443623608188,0.911054883961124,0.0843294693713357,0.299926277396936,0.268001073104763,14823.5760852515
"87",-0.257774494803123,0.912661226354679,0.0819153854621854,0.295832558415805,0.267533929012282,14822.0730659581
"88",-0.261310465614195,0.906789437912157,0.0875431397006321,0.301687229896658,0.269340396738402,14823.0637376299
"89",-0.26218569366524,0.907650585545732,0.0872655970238184,0.3012454135609,0.269352179985045,14822.8284179938
"90",-0.258830120759929,0.90652023587311,0.086574662948611,0.302814210179325,0.271244064555345,14820.0626465611
"91",-0.263098739681383,0.910563608345414,0.0847061825062267,0.300079028140783,0.26836628820661,14823.8072400876
"92",-0.263205166412614,0.910083966661126,0.0851671164294817,0.300089028534313,0.269690371251408,14824.0130345431
"93",-0.263872510851322,0.910876388391454,0.083776474069553,0.302919693634395,0.268237060127801,14823.5955164195
"94",-0.257719825412447,0.909630669884378,0.0843229853811986,0.299116560589453,0.268141182914393,14822.784351518
"95",-0.254332499009531,0.909826279403332,0.0830762332428595,0.298912204728989,0.267195424040524,14819.1153949534
"96",-0.256795913680512,0.910974699041713,0.0841478918769364,0.294079001513259,0.269970552143737,14821.8567281616
"97",-0.258089727008866,0.910441225477904,0.0849004861900262,0.294904235295871,0.269713902204442,14821.8356944021
"98",-0.270408613227839,0.909387082787037,0.0854277363821712,0.308990458122016,0.26979513882933,14820.5881158096
"99",-0.27060482523077,0.909485321089531,0.0855086435099351,0.308892419402711,0.2698044734719,14821.4751934097
"100",-0.273485459909132,0.911903338025062,0.08397910229735,0.309052399440112,0.26797347369658,14820.3115015906
"101",-0.257945046793392,0.908210395493198,0.0868424717073828,0.295068400522746,0.268919582142741,14821.9709985202
"102",-0.2557699746017,0.913579432722267,0.0803416582916934,0.296022425457106,0.270363858836763,14820.4899738207
"103",-0.256596957649012,0.915035712778601,0.0803874230845907,0.29159521865091,0.26874597124432,14819.2795649956
"104",-0.257543812145766,0.915209448006393,0.0806469705433808,0.291416570879709,0.268093658525156,14818.0292621572
"105",-0.265925648624863,0.907823269940189,0.0883408832648741,0.301374728626842,0.264888528602703,14816.3071008704
