draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,beta.3,sigma
1560,12059.108718262829,0.9998752801320141,0.02320372495041992,6.0,127.0,0.0,-12056.992864283975,-0.24686388225992797,0.7110831502633994,0.28476406170889773,0.309100341957468,0.13401242402472618
1561,12057.315875028597,0.8463903476080049,0.027567250146182155,7.0,255.0,0.0,-12055.325417214828,-0.2544634099300101,0.696783916427219,0.29988150105818023,0.32431399324674565,0.13337498715891702
1562,12057.615055096601,0.9048372352424593,0.025731010478064465,6.0,75.0,0.0,-12054.426162477808,-0.26036807491897646,0.7104676591590391,0.2894540236561699,0.3118605985305044,0.13404933980559194
1563,12058.953152196187,1.0,0.027611744434291367,6.0,127.0,0.0,-12058.64794404777,-0.24150363236098626,0.6991431585826166,0.2941984306362871,0.314644977601947,0.13490345415153204
1564,12059.033569990332,0.9611904896329639,0.02320372495041992,7.0,127.0,0.0,-12058.228730072206,-0.25125095477798826,0.7148998272010877,0.28166898231332665,0.3115799778188277,0.13500915838893707
1565,12058.417760631677,0.9909767519156865,0.027567250146182155,7.0,127.0,0.0,-12054.799014963733,-0.23861033360426487,0.6892447746240308,0.30331197163731,0.31610689551603505,0.13430309005292945
1566,12054.871987899634,0.9362538267996527,0.025731010478064465,7.0,127.0,0.0,-12053.363254828693,-0.23988198118631618,0.7176447172591945,0.27457107982276974,0.3139065806485034,0.13646671112216868
1567,12058.990266380064,0.9250092782832117,0.027611744434291367,7.0,191.0,0.0,-12056.120890471198,-0.24037897684533255,0.7012199950747505,0.29212523127518086,0.31544956238066146,0.13490709550828495
1568,12058.999832188816,0.9888766884309834,0.02320372495041992,7.0,127.0,0.0,-12058.458525556345,-0.25530233160417654,0.7127715642969042,0.28419642559367275,0.3161370973196079,0.13489811411396435
1569,12058.852006414763,0.9664134235327069,0.027567250146182155,7.0,255.0,0.0,-12057.066681528711,-0.24849768330713343,0.7182938671442002,0.27750086462986434,0.3098344009922405,0.1341793205240475
1570,12054.986421708263,0.9798953541521426,0.025731010478064465,7.0,127.0,0.0,-12053.155039242043,-0.26618004719307525,0.7095378044962006,0.29018207120929435,0.31648637464882906,0.1323245140236066
