"","alpha","beta[1]","beta[2]","beta[3]","beta[4]","sigma","lp__"
"53",-0.487632282221505,0.908245647974968,0.154900809122709,0.548818485084502,-0.075111573100758,0.266665194091475,14876.5415401631
"54",-0.495367348885966,0.908416779197808,0.156202158701904,0.55533065028115,-0.0761707325001181,0.270347551772953,14876.4459810986
"55",-0.468976750394293,0.912524286265789,0.145075414562923,0.5253264978522,-0.0683123628599673,0.265267567345048,14875.4710480532
"56",-0.469827103120188,0.905977215036144,0.151221338119156,0.530167920170882,-0.0690677592380586,0.26779491321464,14876.0645880222
"57",-0.474268333855543,0.91120074987001,0.14677448376003,0.530000359006828,-0.0684705317198629,0.266786982931423,14877.5260483515
"58",-0.446234268380929,0.908594674465802,0.141710316197302,0.503273974514946,-0.0611181219730653,0.264716985721138,14875.9793668586
"59",-0.451218362950604,0.910523855509544,0.142327664339815,0.508378064740278,-0.0639772726192772,0.268591782174381,14876.7258524041
"60",-0.495129630294453,0.90850159407719,0.156039034185176,0.559423684915591,-0.0775250168833787,0.2673493673766,14875.5516763383
"61",-0.493544223635714,0.914526276560472,0.150443579579673,0.548334034201558,-0.0755287207660329,0.268819690600589,14874.745661836
"62",-0.499241104045389,0.911445425909217,0.155985718007509,0.559969438122964,-0.0795965509865032,0.270701796034946,14874.6586049473
"63",-0.448083182186789,0.907174201473873,0.142488678911268,0.504580834872562,-0.0603100474933358,0.266599481078571,14875.2589474551
"64",-0.48598564794595,0.913811407943177,0.14911163139027,0.539276097326694,-0.0730212103748887,0.270084008378225,14874.548008288
"65",-0.451945562723039,0.905088975282391,0.146371203761056,0.512411642223993,-0.0631229718746253,0.268468187618316,14875.2036904127
"66",-0.455015537419108,0.906467674826713,0.145278306406413,0.511736683665312,-0.062269578006903,0.268249657813273,14875.8953540596
"67",-0.470526190118925,0.909204291895939,0.147184515761756,0.525770589451204,-0.0664248607755722,0.269196012300135,14876.171363767
"68",-0.442939052363286,0.906926504535206,0.141342910044482,0.497620913079275,-0.0582053355875963,0.267421158509408,14875.2287950972
"69",-0.48425853166723,0.912589561193047,0.149080011392832,0.538382289631261,-0.0718348743445348,0.269054882601846,14876.4664691787
"70",-0.446712919086926,0.90757411657793,0.141808458278934,0.501892937559615,-0.0594257837809699,0.269471455772858,14875.6862397478
"71",-0.444216040543344,0.907079204062905,0.142449272023584,0.499701626443974,-0.0599695602333414,0.269745997292209,14875.2074281797
"72",-0.441922921169444,0.906734790803498,0.142660129842628,0.497693653215231,-0.0595332497831546,0.270377258093501,14874.140976426
"73",-0.453767020010102,0.913222310151322,0.138120325563047,0.506548070370418,-0.0610727695593461,0.270461886206376,14874.8153095945
"74",-0.489948631939658,0.908345536025145,0.155751488097769,0.55028264406967,-0.0759160776980115,0.262862461530639,14874.2767485868
"75",-0.49058038956123,0.908385057748356,0.15625603045756,0.552426402103276,-0.0771030744175306,0.262679663266541,14873.2727750085
"76",-0.466077646606094,0.906391168415987,0.15001411810841,0.526438584515822,-0.0681140554858891,0.273418065681485,14873.7290841021
"77",-0.474594196833807,0.908686122242956,0.14977641640637,0.531255496952857,-0.0690436121116393,0.269916553292173,14877.1462536998
"78",-0.484729811259741,0.909812976901286,0.152705972268624,0.547406130286945,-0.0751661505144517,0.269210432459054,14875.6726609788
"79",-0.442424982417215,0.907530029573489,0.140828074435855,0.50144806405022,-0.0599754405457626,0.269037832893092,14873.7026549501
"80",-0.474658297663742,0.911275871852722,0.146114412791223,0.536868488635419,-0.0702170736326178,0.266157392318301,14870.6184318967
"81",-0.485673310752805,0.911266097129112,0.150131555634618,0.547108382421032,-0.0734836526104449,0.269078728072884,14874.8064669227
"82",-0.511548142034098,0.909215969854507,0.160641950078452,0.569604357467119,-0.0810419406134029,0.267961959349898,14875.6756154039
"83",-0.50369105180108,0.908646236250859,0.158994301342706,0.562130795601947,-0.0789619664551121,0.269040998509514,14876.2711253574
