draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,sigma
2306,3657.508044733425,0.985469590678458,0.028045589359150386,7.0,127.0,0.0,-3657.268249451009,0.017159679905277916,0.9291781787346151,0.06615981416264942,0.01549673696177802
2307,3656.5202350687514,0.8682474610886883,0.028430910559222894,5.0,63.0,0.0,-3653.6912791873838,0.016586418758013723,0.9278009776444038,0.06805450815931278,0.015550824909799393
2308,3657.3320491890477,0.9953877743800709,0.029096422941445634,5.0,63.0,0.0,-3653.434904907204,0.01674253415684589,0.9288117389449945,0.06683809613690425,0.01568624113695084
2309,3655.7591560560572,0.9935161163228422,0.02741885258666978,5.0,31.0,0.0,-3655.5121889501374,0.01649436144122911,0.9306950078637505,0.06493066042268289,0.016194417277183067
2310,3656.0202559898257,0.9087905459777594,0.028045589359150386,6.0,63.0,0.0,-3655.584163890422,0.013534292094858184,0.9300600303432006,0.06657431051534828,0.015624292622133868
2311,3654.36443900783,0.8229169951471995,0.028430910559222894,6.0,83.0,0.0,-3653.224248794119,0.01630819228536018,0.9284689131657601,0.067573134962933,0.015192488660608884
2312,3656.9186846837565,0.9263649617191095,0.029096422941445634,5.0,51.0,0.0,-3656.043666404386,0.018124023072878498,0.9306652509927944,0.06447737643429331,0.015599027240343271
2313,3654.255473059169,0.905700731494145,0.02741885258666978,7.0,127.0,0.0,-3652.369960562006,0.015352209951926455,0.9345428690673675,0.06119388336956712,0.01603690126657801
2314,3656.65674496232,0.9921073906455906,0.028045589359150386,6.0,63.0,0.0,-3655.684389561165,0.019766154803286553,0.9300330554079118,0.06456526479341261,0.01586697625951394
2315,3654.6710205582863,0.9999552347950215,0.028430910559222894,6.0,63.0,0.0,-3653.8013624730943,0.015493317171933245,0.9282081618181253,0.06744502712114801,0.01539817234201876
2316,3654.7838247788663,0.3705744543617775,0.029096422941445634,2.0,3.0,0.0,-3650.3460480078043,0.018333313389110352,0.9308537417458971,0.06442781280101158,0.015601215513771294
2317,3655.0134056862903,0.9374723378394646,0.02741885258666978,7.0,127.0,0.0,-3651.1365017740677,0.021439817974448674,0.926704779257655,0.0673033263301336,0.016197848768207925
2318,3656.6383022317823,0.9219207825189215,0.028045589359150386,6.0,63.0,0.0,-3655.7094498532347,0.016054554710234165,0.9302214652121235,0.06528571077608941,0.015728032634271017
2319,3655.1911898268245,0.9998458510870488,0.028430910559222894,7.0,127.0,0.0,-3652.502736228101,0.014675704018198985,0.927436517011185,0.06894682717308644,0.016064280192794746
2320,3655.545299407371,0.9992095892762095,0.029096422941445634,6.0,63.0,0.0,-3653.8125055703645,0.019350704417143177,0.9315215439170684,0.06321001129528817,0.01590875695866197
2321,3655.517379803401,0.7501840305581216,0.02741885258666978,7.0,127.0,0.0,-3651.9214443176984,0.016655488598026992,0.9278949014362854,0.06770369679123404,0.014948436221530735
2322,3657.2160139761827,0.9883032107266607,0.028045589359150386,7.0,127.0,0.0,-3655.720416246077,0.020608802878051412,0.9264328068025856,0.06801606433759114,0.015524903010610361
2323,3652.632834806982,0.7918373754221469,0.028430910559222894,5.0,31.0,0.0,-3650.9057235759947,0.010995783865232702,0.9280758224470635,0.06932828746781343,0.01605549764423432
2324,3656.409097172042,0.9522896914957414,0.029096422941445634,6.0,63.0,0.0,-3654.685108327141,0.018681947239388628,0.9305276666824362,0.06450761679760683,0.0157323218397242
2325,3654.9874187249475,0.9286315482104348,0.02741885258666978,7.0,127.0,0.0,-3653.0687558331633,0.01862100999735803,0.9302310528866893,0.06470943866330743,0.01636437613636562
2326,3657.096658801042,0.8704309787465521,0.028045589359150386,7.0,127.0,0.0,-3655.6773584583498,0.016661986697754917,0.9308482611918666,0.06454011634920812,0.015459351132926494
2327,3653.287157974962,0.9494887950231095,0.028430910559222894,6.0,63.0,0.0,-3648.6450165496985,0.015533401250951205,0.9273243083153566,0.0688188911284848,0.016510798600783087
2328,3656.088840123069,0.563842634407732,0.029096422941445634,2.0,3.0,0.0,-3652.7018112829883,0.018754289637366906,0.9305092543233319,0.06454351240530332,0.01572509740925273
2329,3657.1599984778536,0.9998839447769791,0.02741885258666978,6.0,95.0,0.0,-3654.7085978945265,0.01593016399219417,0.928939724408036,0.06690877302950278,0.015788260886108123
2330,3657.0885301991934,0.9434389549316147,0.028045589359150386,6.0,87.0,0.0,-3656.6090477656758,0.019179494860816822,0.9266285653136914,0.06815913683294346,0.015672992458849618
2331,3649.3725742245624,0.8507195339899896,0.028430910559222894,5.0,31.0,0.0,-3647.8400296603445,0.014120084446891142,0.9241549992126893,0.07224919424907388,0.016456810286516084
2332,3656.3219221492623,0.9993844547209516,0.029096422941445634,7.0,127.0,0.0,-3655.9309603859438,0.017391381037339518,0.9265223034528542,0.06876292701021178,0.01564836384260268
2333,3657.283360603543,0.9980030016132597,0.02741885258666978,5.0,63.0,0.0,-3654.6428413704607,0.01827031857911158,0.9300403854362268,0.0650171955173815,0.0157508962881265
2334,3656.720881170112,0.9916765211749692,0.028045589359150386,6.0,127.0,0.0,-3655.746545197945,0.01901008183806972,0.9302856003195172,0.06458893029656755,0.015817498815329584
2335,3656.1994072790967,0.9971323234452781,0.028430910559222894,7.0,127.0,0.0,-3648.210110148294,0.01877170787199481,0.9308697595286916,0.06387818412973759,0.016020226502350632
2336,3653.7801328672977,0.9999911368088321,0.029096422941445634,6.0,63.0,0.0,-3652.748493360368,0.012226398879194095,0.9277285250942049,0.0691435401697037,0.015773821386514647
2337,3657.396501863431,0.9728632308735929,0.02741885258666978,5.0,43.0,0.0,-3656.5628617602233,0.017178065745597694,0.9294941184820709,0.06597785986556477,0.015687981887573883
2338,3654.9304253189025,0.9498578287986447,0.028045589359150386,6.0,63.0,0.0,-3654.6527358047574,0.013960620519202167,0.9275930809016655,0.06909937529327258,0.01576150201271906
2339,3657.398418309366,0.9969945406637405,0.028430910559222894,6.0,63.0,0.0,-3655.926024954371,0.016855731200126955,0.9282863302120248,0.06720305406738147,0.015487238503789927
2340,3654.291445233399,0.8257278544854549,0.029096422941445634,6.0,63.0,0.0,-3651.89679453875,0.022432246737796122,0.9301486030949931,0.06342086438915154,0.01522504891696971
2341,3656.348522434078,0.9994326815861774,0.02741885258666978,5.0,55.0,0.0,-3654.9676741798658,0.015073045774359235,0.9325291981972221,0.06333198082753752,0.01578835484884822
2342,3655.1873342854747,0.9728257041481821,0.028045589359150386,6.0,127.0,0.0,-3652.572604406932,0.013122920769724558,0.9300528460962704,0.06675199197625861,0.01589937679050195
2343,3654.8127143928054,0.9720948022663284,0.028430910559222894,6.0,63.0,0.0,-3654.084521817217,0.023238131380395204,0.9225470201146688,0.07131615052038302,0.015519461222453752
2344,3654.5823235843723,0.6126248357666244,0.029096422941445634,2.0,7.0,0.0,-3651.7663751223226,0.022170561204260735,0.9301269770986121,0.06354858995665419,0.015208427425357511
2345,3655.945571323661,0.9956846793679982,0.02741885258666978,7.0,127.0,0.0,-3654.382108234765,0.023014114150611963,0.9246797643602643,0.06910984545302012,0.015789523713267157
2346,3657.5435534512208,0.9489248183505289,0.028045589359150386,6.0,63.0,0.0,-3654.7568986542337,0.01761675071511167,0.9284493573239792,0.06679551535016684,0.01570172517397002
2347,3656.7204628649415,0.8769198913452123,0.028430910559222894,6.0,63.0,0.0,-3653.264031915261,0.020073793237100058,0.925179032101579,0.0695907073379187,0.015703340238040663
2348,3656.4100687530026,0.9663230046406833,0.029096422941445634,6.0,63.0,0.0,-3653.960925146451,0.01741532318639349,0.9258304069743605,0.06956822810794693,0.015520582397678761
2349,3654.91627935451,0.9986995961557974,0.02741885258666978,7.0,127.0,0.0,-3653.4845353615656,0.022315261139127844,0.9234692005861044,0.0706667728389558,0.015201725885343732
2350,3657.024030692463,0.9248471597965736,0.028045589359150386,6.0,71.0,0.0,-3656.6325967578955,0.01812070187622663,0.9277806821452523,0.0675386218387074,0.015813466352994333
2351,3656.932629085434,0.9683459149601342,0.028430910559222894,7.0,127.0,0.0,-3656.0103298771473,0.021393200939118763,0.9271153185731591,0.06699930367441592,0.015487967277072929
2352,3656.150893121045,0.9157925157292798,0.029096422941445634,6.0,63.0,0.0,-3654.889006769092,0.016240863816027892,0.9281045001831733,0.06787129729227154,0.015444667347870795
2353,3654.551643062737,0.9993212556713303,0.02741885258666978,5.0,31.0,0.0,-3654.372168817644,0.02184157855927173,0.9233382650251122,0.07096071117516597,0.015122734148555268
2354,3657.095296115116,0.9818652333298901,0.028045589359150386,6.0,127.0,0.0,-3656.393076461382,0.019805470577558285,0.929809778202988,0.06472214388481538,0.01563556346764521
2355,3654.6402104905656,0.7801682706966723,0.028430910559222894,6.0,107.0,0.0,-3653.452537976406,0.02311104412610811,0.9243213751646715,0.0692352688661336,0.015765138987959938
2356,3656.727789207504,0.9986515973712271,0.029096422941445634,3.0,15.0,0.0,-3655.7734155186085,0.01601207871358456,0.9278673046404069,0.06784772651152436,0.015436643563408632
2357,3654.2824479827373,0.9712019401453514,0.02741885258666978,5.0,31.0,0.0,-3653.990626786941,0.0223878754424049,0.9230171521078483,0.07104368995095019,0.015130312852009617
2358,3655.9174997148375,0.9851812478973286,0.028045589359150386,6.0,63.0,0.0,-3655.4406731709964,0.022184943088306517,0.9294223877319988,0.06439970432915981,0.015728595479083694
2359,3655.542259145295,0.999606627962542,0.028430910559222894,6.0,63.0,0.0,-3653.7367865118767,0.0232898040358619,0.9239850693209354,0.06984174310829275,0.015766801959936474
2360,3657.15314931151,0.9990422665171659,0.029096422941445634,5.0,63.0,0.0,-3655.8322422576302,0.01880990909401485,0.9298032995787477,0.06511319309807356,0.015391761876779037
2361,3656.9499452438986,0.9901991836643861,0.02741885258666978,5.0,47.0,0.0,-3651.6278056818683,0.020182932962122303,0.9267376282846266,0.06792590346238372,0.015322640578412827
2362,3656.406583661514,0.9999968859517762,0.028045589359150386,6.0,127.0,0.0,-3655.6685276701974,0.021150805232138373,0.929827354079709,0.06426412877264819,0.015662918251156007
2363,3656.989905497999,0.7090643979215496,0.028430910559222894,5.0,43.0,0.0,-3652.4264766156907,0.019476925196268566,0.9263878472452477,0.0683421819812568,0.01578880552228587
2364,3657.007865252063,0.8972679952715069,0.029096422941445634,6.0,63.0,0.0,-3656.214445985464,0.016295614659319235,0.9296182495255456,0.06612705206139043,0.015329063094315983
2365,3653.644893719401,0.9827909585598235,0.02741885258666978,5.0,39.0,0.0,-3653.0966921992695,0.025646639740096604,0.9261526505930768,0.0667606969651239,0.015223681889853334
2366,3656.660295902866,0.9980440107488893,0.028045589359150386,5.0,31.0,0.0,-3656.307783704659,0.020625783253934892,0.9299079761377278,0.06438866378559197,0.015658234799353705
2367,3656.5104342050067,0.6206850816725605,0.028430910559222894,5.0,39.0,0.0,-3652.2067507092697,0.01944883174990764,0.9260790176761057,0.0689231191440622,0.0158651866837071
2368,3657.259862285629,0.9234504551971577,0.029096422941445634,6.0,127.0,0.0,-3655.0126165459524,0.019269737292006834,0.9293481837369792,0.06530621133957637,0.015475731374602746
2369,3656.2736671454045,0.978908788679557,0.02741885258666978,6.0,127.0,0.0,-3653.1679631320308,0.014694115926916817,0.9278275401493783,0.06845962937052177,0.01578582335421773
2370,3656.9411520637395,0.9937137655805807,0.028045589359150386,6.0,111.0,0.0,-3656.1555415473854,0.019284572387369574,0.9302798774844248,0.06433282875859883,0.015723557725235603
2371,3656.5638175153745,0.9937108379209489,0.028430910559222894,6.0,127.0,0.0,-3655.6708183771334,0.01666545086768325,0.9319430612514912,0.06353585546676374,0.015419867477673177
2372,3656.5787577776114,0.9094513918096423,0.029096422941445634,5.0,59.0,0.0,-3655.304945791651,0.01691898927521436,0.930512588815289,0.06469119839881,0.015661379335959385
2373,3655.6990328394004,0.8764946145764462,0.02741885258666978,2.0,3.0,0.0,-3655.314677548721,0.014647390323729416,0.9278980250272779,0.068538489102255,0.015788312352665868
2374,3656.7655928691524,0.9881654312764481,0.028045589359150386,6.0,127.0,0.0,-3655.6258331974095,0.015601830004859367,0.9311546414739349,0.06470645358454251,0.015366645136031365
2375,3657.0244356192184,0.9999962126525564,0.028430910559222894,6.0,63.0,0.0,-3655.648864266153,0.020008889818906247,0.9297543851372063,0.06469120760157691,0.015582613435536186
2376,3656.5168283884927,0.9995596880171146,0.029096422941445634,7.0,127.0,0.0,-3654.6822834868512,0.016922483890049734,0.926043784071075,0.0695480290051592,0.01567965601700791
2377,3655.49607312165,0.9854252617916636,0.02741885258666978,6.0,127.0,0.0,-3653.5056649858866,0.02186869660137151,0.9250399917861541,0.06891678254322345,0.01589670969576001
2378,3656.465954744457,0.995844874141418,0.028045589359150386,7.0,127.0,0.0,-3655.543631351647,0.01870999001170686,0.9282787085914213,0.06677727524470317,0.01610547846721152
2379,3656.354256788479,0.9977971789999079,0.028430910559222894,6.0,127.0,0.0,-3655.4716469790174,0.018255764420144857,0.9316044199392534,0.06332377195852003,0.015320628929510891
2380,3656.078863549232,0.9999720119628599,0.029096422941445634,7.0,127.0,0.0,-3655.6393087990077,0.020747207971710143,0.9299763309514335,0.06427527050951397,0.0159576778603194
2381,3654.2290238281635,0.9989045856987796,0.02741885258666978,6.0,63.0,0.0,-3653.4393326440572,0.024242489703379205,0.9231090960366438,0.0705855016793438,0.015584844105941421
2382,3653.0971791210777,0.6814459809911455,0.028045589359150386,4.0,23.0,0.0,-3652.5820417931404,0.01949501254765288,0.9295928676525737,0.06544900495037698,0.016169053135697612
2383,3653.246366548565,0.5772384486646124,0.028430910559222894,7.0,127.0,0.0,-3651.047612836775,0.020618344128351406,0.926299118860855,0.06850221521999766,0.016322980753884726
2384,3656.42817746766,0.9286882491194931,0.029096422941445634,6.0,127.0,0.0,-3654.464450700911,0.021421320261696332,0.9285170479093695,0.06572754688158879,0.015654500086050127
2385,3653.2733136616257,0.9983243338175904,0.02741885258666978,5.0,31.0,0.0,-3652.5540471018553,0.026225425838617263,0.9227440854051701,0.0700574279328713,0.015527739482093687
2386,3656.8635112604225,0.9990092621133934,0.028045589359150386,5.0,47.0,0.0,-3653.359015995623,0.018306989471717484,0.9266426910685666,0.06847266146653544,0.015901964436427673
2387,3656.949708725617,0.9855847858797467,0.028430910559222894,7.0,127.0,0.0,-3652.925211304608,0.015599607873121415,0.9298015170194255,0.06593761658296361,0.015739975188902224
2388,3656.9312327483976,0.9419084493128932,0.029096422941445634,6.0,63.0,0.0,-3655.6581351072005,0.01867952443327335,0.9276646043543841,0.06749957933696404,0.015371392878707552
