"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","beta.1.5","beta.2.5","beta.3.5","beta.4.5","beta.5.5","beta.6.5","beta.7.5","beta.8.5","beta.1.6","beta.2.6","beta.3.6","beta.4.6","beta.5.6","beta.6.6","beta.7.6","beta.8.6","beta.1.7","beta.2.7","beta.3.7","beta.4.7","beta.5.7","beta.6.7","beta.7.7","beta.8.7","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"11",-0.0972617879733951,-0.147444012797873,-0.195340406067149,-0.0211739517894854,0.0518923756068616,0.068102610324453,0.0352512389016569,0.0153508377473344,-0.153959412182883,0.00922557562358598,0.0941335517120154,0.22025465281421,0.492979773520015,0.681784983814063,0.809072987081953,0.950690193925247,1.13887571250386,0.994261328321176,0.928057870951355,0.76203275690372,0.471623745078055,0.298132032045622,0.179748528450454,0.0463668690942239,-0.0441670408481426,-0.0558961766009236,-0.0748630489015051,-0.0571270332757521,-0.0395010087146817,-0.0299661976000863,-0.0110714312572323,-0.00184743790667113,-0.0576940932640812,-0.0727068950362732,0.00981028773474429,0.0120311383904597,-0.00478557780764625,-0.0196646081649732,0.00871052781736727,-0.0141362010069994,-0.0871490377240103,-0.0800544964457099,-0.0396697602486796,-0.0343372298628448,0.0204212067025965,-0.0526016314909664,-0.011277700581108,0.0027014974283844,0.00208825564075627,0.0403405232874817,-0.00281216107442543,-0.0288044723492584,-0.0167339639401612,-0.03768708040752,-0.0183832538293341,0.004121033847248,0.222341213800691,0.168812703974043,0.158283599077588,0.127312307750391,0.100152379381298,0.0756372848000962,0.0381312006755852,0.0113785463180745,29957.8696020195
"12",-0.0921517911570862,-0.156210348590718,-0.180722849857734,0.00424060433083136,-0.00757695973182758,0.0494171006111011,0.0460240478407796,0.0149564737001328,0.949580393526299,0.0813208857973064,0.0620264457631177,0.237055610908633,0.482519056450858,0.67769638564026,0.811190885914593,0.949647444750627,0.0385426316384206,0.924801736353582,0.948168112244192,0.735684330472625,0.494473400753483,0.30104859504216,0.176857500228954,0.0473867212158346,-0.0333461363411594,-0.0439273227161849,-0.0563212593922447,-0.0587903891191846,-0.0443113800601635,-0.0228824092135143,-0.00948641263866489,-0.00109271115623069,-0.123495015835733,-0.0744204119381044,0.0375587737983918,0.0218645776322145,0.0330573468501645,-0.00112879285126519,-0.00240338753756401,-0.0141830361221617,-0.079123699893614,-0.0874682577778686,-0.0504944155770812,-0.033372008040889,0.0338721788369584,-0.0436715294830477,-0.0169819662430632,0.00312020973538066,-0.00347006744358865,0.0422806488789394,-0.0200168973674112,-0.0264324207043029,0.00317808967120106,-0.0190968117899016,-0.0232617008611623,0.00468888020261136,0.214285096615225,0.174092302105978,0.150981756759762,0.124373578937659,0.100632957655404,0.076535161001328,0.0393451695221675,0.0117108396342349,29972.5192930138
"13",-0.173991758996737,-0.15870470770613,-0.151063186456768,0.0126762786008164,0.0311637387883633,0.0524988433774959,0.0631692796088771,0.0159964413358766,1.86470126681593,0.0718739084794758,0.0517163221227864,0.242537269668351,0.498325432581172,0.68857043233162,0.791122261091167,0.952910971827104,-0.868989019389869,0.929665813695311,0.956123660797362,0.735669251654305,0.472210502282738,0.291504590766652,0.194022585614867,0.0440763797066221,-0.0554455642286724,-0.0498683084941153,-0.0634287323098643,-0.0646367226047029,-0.044683532283376,-0.0268054269195072,-0.0147436737402226,-0.00298894551841018,0.0119430544708144,-0.00590195165831289,-0.00112682712112325,-0.0158176374950537,-0.00229119439959453,-0.00817420235370257,0.00404558853693586,-0.0148100175128369,-0.0684662485915925,-0.103760874038435,-0.0379366579617277,-0.0371840253521398,0.0268474466148472,-0.0444507166183642,-0.0224643624534508,0.00263867548633598,0.00281723074767191,0.0351937861276613,-0.0147004385832665,-0.0267671053630452,-0.0115728108778525,-0.027451851921844,-0.0307551859602692,0.00410726691649076,0.22628049583672,0.1717992025046,0.151763661349118,0.127853853830932,0.101339874481558,0.0754911094321383,0.0381016661645834,0.0114368581642241,29962.4751306822
"14",-0.105067276825736,-0.0579106844272252,-0.128409277984529,-0.0229346956653404,0.0323755580243279,0.0402998888062746,0.0623859403252569,0.0156708771542,0.228679092360599,-0.0157293425084008,-0.0363344886050029,0.258736902040654,0.492898508806965,0.676282983355474,0.805424631037079,0.950733054116005,0.773388764453212,0.999479610233332,1.03863598066964,0.726273937780872,0.477886036136454,0.306510127694353,0.178158654831463,0.0466132622334879,-0.0534391489541628,-0.0429620572156927,-0.0543321023511613,-0.0602301882775415,-0.046311544202218,-0.0248646255167623,-0.0115067168365151,-0.00232359221764997,-0.182988174094306,-0.124720471295192,0.000126220926846735,-0.00445147269519138,-0.00531327319093945,-0.00419014111040649,-0.0011137581962667,-0.0159811565751414,-0.0695621015371987,-0.0910729696580929,-0.0575848464341251,-0.0332830327018276,0.0270001934039917,-0.0423644137954396,-0.0182328196690983,0.00299345332311926,0.0060302415288141,0.0296857889173885,-0.0251151185632888,-0.025173448192465,-0.010719252577825,-0.0284480770775732,-0.0302833592609114,0.00442827680754094,0.223297734057468,0.178372739125413,0.148272046131106,0.125033787071195,0.0998326364319207,0.0744073493053194,0.0389116736515753,0.0113563429752416,29972.3441491462
"15",-0.117689730505506,-0.122261647316489,-0.203231227781007,0.00798308056778039,0.0503900316781947,0.0357583477941259,0.0425368505035744,0.0136734721280127,0.153255420148149,0.0811557615874761,0.0770217785799402,0.245255881992642,0.495955081437538,0.686607163317097,0.80771881094744,0.951738685414951,0.842813637883562,0.917464559123622,0.943049605127895,0.735074310039529,0.468284232469807,0.296918084784574,0.18230149543494,0.0458621477840045,-0.0604873546193207,-0.0446574089684275,-0.0497538463943177,-0.0656411560981688,-0.0413811217897589,-0.022533853039013,-0.0126536865974854,-0.00233128777004749,-0.0920060168987433,-0.0571663499207197,0.0343162987565787,-0.0247265531477756,-0.0156534729489701,0.0096921839376073,0.00283362937750953,-0.0143253024789531,-0.0875797954448632,-0.100771153081474,-0.0686745940879332,-0.0387590268986585,0.0242507406246448,-0.0467996219319161,-0.016469289663578,0.00343706310608581,0.00494236509215456,0.0201436171799698,-0.0258572338689406,-0.0295478240773183,-0.00746411434076256,-0.0339632771551913,-0.0274974443403272,0.00415481044890853,0.223494758499563,0.176228157498582,0.155080284718174,0.129214516978208,0.101378159580059,0.0741994750561377,0.0388278914678371,0.0113646829254538,29971.4821210734
"16",-0.172290447223505,-0.106244548366726,-0.205439305764318,0.00706237743770889,-0.00811024713117171,0.0412182848159127,0.0647138272393541,0.0160711508236741,0.468249778427959,0.0995957803346798,0.10330675486933,0.218203382177717,0.491446853997208,0.696951330221872,0.800774756968137,0.949975762764211,0.526892961956733,0.892114754189036,0.912485716002272,0.754183017698831,0.484837891621549,0.283289382321239,0.182651319622143,0.0471030113933695,-0.0409095663634052,-0.0262376464419449,-0.0589374922013406,-0.0551288633008027,-0.0485193645053887,-0.0204616333069762,-0.0106963595141994,-0.00213831283403461,0.012392409561574,-0.0763596079921588,0.0468234306814132,0.0241426263957323,0.0432860572849477,-0.00210242528293229,0.000547788053595176,-0.0147355794226393,-0.0693052900303014,-0.110864342235235,-0.053207059147923,-0.0349477015176059,0.0396934063043015,-0.0445601967950282,-0.0230049892045109,0.00259303413459713,0.0146020890091502,0.0297825401941613,-0.0142249832117538,-0.0253647431097964,-0.00868100986254717,-0.0212163315451244,-0.0269786013853676,0.00333338552233749,0.221968408225208,0.171914839076025,0.161484012963072,0.126058092837736,0.102320137215288,0.0740994002052014,0.0383068346317673,0.0114038226460295,29967.2663453291
"17",-0.113978925241028,-0.0383193460367148,-0.158582175443884,-0.019637989058818,0.0305688101288354,0.0350091230596631,0.0652278842579576,0.0133611656342576,-0.339692310742943,0.128478294147863,-0.0203574644242575,0.218215495070059,0.494789578076215,0.67987809467884,0.798134025854946,0.951094951389759,1.33323206719202,0.861914398274295,1.02904561306334,0.768573817617895,0.473648257408004,0.300644085241047,0.18783897606983,0.0464566425137744,-0.0344805226538314,-0.0311657589409255,-0.0675331297249384,-0.0693743884054213,-0.0399576205559116,-0.0229230901001609,-0.0114398069929309,-0.00228574719423487,-0.0993276097203515,-0.212760774212483,0.0358203695842462,0.0010706242690843,0.0158754579158471,0.0350237517000396,-0.0239293130570049,-0.0122937080880733,-0.0891311417727946,-0.117054253930558,-0.063484954642601,-0.0444011801236273,0.0181174846106427,-0.0528699441433312,-0.0151296288260722,0.00294449849343545,-0.00371830254427299,0.0151603621068062,-0.0363105486823958,-0.0317414319855734,-0.0162999247208366,-0.0298073430550132,-0.0266806538634574,0.00424239661062837,0.221993986960021,0.174907590253841,0.150233994730658,0.128608503994476,0.101348140743531,0.0742582458988882,0.038521501220192,0.0111868761899082,29960.6940285291
"18",-0.128238975704542,-0.114138090137968,-0.175099383583757,-0.0115600498849222,-0.00708990378713633,0.0463137629089154,0.0592156368167417,0.0143399156747199,0.66436324812942,0.184222868149691,-0.0417684476914198,0.265343638920243,0.472254883166676,0.662964893921603,0.79587762516006,0.952526446782889,0.335986180525558,0.810698781812222,1.05452337776854,0.714628328716338,0.506716065871176,0.316703149789942,0.18882297411706,0.0449532253984068,-0.072366452315506,-0.0319965999387898,-0.0627401603569903,-0.0629745921685199,-0.0444347293798162,-0.0194310238361257,-0.0116474251492758,-0.0030570578653346,-0.108698478222855,-0.066390291271378,0.0252666796892084,0.00273754228845975,0.00785168582421122,0.00744100406419702,0.00396507974747854,-0.0136838969330177,-0.0636673460615972,-0.104893574921166,-0.0526576191001878,-0.0307070343007168,0.0325796481773896,-0.0481945742087284,-0.0203066184237549,0.00307628606373077,0.0129689509035967,0.0145272234484276,-0.0174478437433076,-0.0142715591790342,0.00583206167122896,-0.0212942051552004,-0.0293184284847509,0.00370202784345924,0.218355985908801,0.177524147456515,0.153713095967427,0.12735917171447,0.100913324935387,0.0759726346915485,0.0388685468700077,0.0116610559489729,29967.7294549648
"19",-0.182028683928376,-0.0147950012840202,-0.133759410514242,-0.00783217384248249,0.00819402955586646,0.0232906555713991,0.0544537023015903,0.0154432791115198,0.495753553100299,-0.0441982117885566,0.0830716844994596,0.223263465060103,0.49782798844127,0.707343669474101,0.812720486725192,0.950370497039337,0.503844379678217,1.02308085841083,0.921796441099665,0.75265056130103,0.477847218535578,0.277730063134444,0.173132305188419,0.047054237141803,-0.033730311499184,-0.0364062729719285,-0.0546269512731498,-0.0537267082516482,-0.0409633914262525,-0.024064106851531,-0.0104064252708117,-0.00292009142803162,0.00337068884659318,-0.183233825395917,-0.0230680559666122,0.0409073144503442,0.0218190151436385,0.0152166935356076,-0.00685124229737882,-0.0145119052751868,-0.0782853815105113,-0.110777682997643,-0.0533147275781795,-0.0407911815954856,0.011290904872593,-0.0479565975631285,-0.0195488216195643,0.00300511968277864,0.00851345928370996,0.0228271747390896,-0.0242649323963068,-0.0349967617013561,-0.00928820197082979,-0.0210191391894422,-0.0265329062894281,0.00340405582486238,0.21967166511876,0.172590523159956,0.156603117474621,0.126698146534594,0.103002481814947,0.0742504478651883,0.0389045166299256,0.0111670331176222,29967.0787052482
"20",-0.0924986206023973,-0.160323510146612,-0.178455771359695,-0.0296305434711392,0.0229900202258288,0.046247135780922,0.0575203544566419,0.0129028301382761,-0.356880064462761,0.0740603195545206,0.0293023609238605,0.205114641532556,0.497021110002915,0.677525226832848,0.80646464397433,0.948637013265131,1.34776349628975,0.928579733509794,0.984111396974687,0.769027803226752,0.477950390424292,0.304320983851659,0.179671792734862,0.0490393232601208,-0.0587455348563857,-0.0364128029915549,-0.0396956759497813,-0.0458291777586158,-0.0478379559518279,-0.0200678196554473,-0.0130285115465022,-0.00212029732835302,-0.105801919168999,-0.0643415695595952,-0.0203186113120547,0.0656082815652635,-0.00694967970836203,-0.0174542316007692,-0.00213576084792409,-0.0116699897648442,-0.0900409930214633,-0.0877532682673469,-0.0469519534858492,-0.0192656421088996,0.023229409990109,-0.0405787748094091,-0.0214880353061531,0.00367017201728127,0.00799090954446691,0.0621754661885256,-0.017156354111263,-0.0147683109453319,-0.0153348769421713,-0.0254004532928508,-0.0289628782674199,0.00489168981053223,0.217912927339988,0.174755470294903,0.150764916193363,0.127547101407773,0.10014805357945,0.0746531827650098,0.0392854787497541,0.0115125814719141,29963.1697405216
