"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","beta.1.5","beta.2.5","beta.3.5","beta.4.5","beta.5.5","beta.6.5","beta.7.5","beta.8.5","beta.1.6","beta.2.6","beta.3.6","beta.4.6","beta.5.6","beta.6.6","beta.7.6","beta.8.6","chi.1","chi.2","chi.3","chi.4","chi.5","chi.6","chi.7","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"11",-0.115755774904246,-0.0604514519813715,-0.179530512975316,-0.0589763811672389,0.0412793244359853,0.0383555675999561,0.0408334063051473,0.0138124750746366,0.992235088095887,0.0514491822234752,0.131292185403789,0.232249502393916,0.498940657863162,0.684631234454931,0.81576157988116,0.949303561639342,-0.0664769486927111,-0.0451216273525277,-0.0688393855626959,-0.0609143050633658,-0.044072784659217,-0.0225691528520317,-0.0131899088143909,-0.00176427215773285,-0.0345397435661272,-0.156957449699173,0.0708462534182385,0.0499664745729392,-0.01952841022659,0.0119719285373629,0.00879447901100614,-0.0101603399645508,-0.0941292467602927,-0.0985101979906384,-0.0608743225102732,-0.0165046521328246,0.0127882788204181,-0.0404942296538997,-0.0165987276743978,0.003298089708021,-0.0244005445401082,0.0331837914135115,-0.0165833779613562,-0.0181072119697062,-0.016095610578495,-0.0233519027586319,-0.0273044687697288,0.00399995464379149,0.937919446496012,0.877283435019881,0.756720686136374,0.471974704274294,0.295560400772315,0.173588555556646,0.0476897292118152,0.222894763590856,0.172404019620645,0.158599039481091,0.12603815417648,0.0997071708551134,0.0741029837723791,0.0388355982895281,0.0113014474273711,29959.2629296588
"12",-0.196561153223507,-0.111885678832855,-0.210192429734464,-0.0278060000456657,0.053779158804245,0.04139123878373,0.0475009281938926,0.0150792803580088,1.0095348800779,0.0870692316310314,0.131362786871704,0.261809933090411,0.499635107851257,0.694671648074211,0.80305484256633,0.951069357878449,-0.0704279758111107,-0.0390584832636854,-0.0674559793855925,-0.0542896159508157,-0.0427426159015184,-0.0223156625019976,-0.0147624491893198,-0.00149454237504909,-0.000852256347639179,-0.133619531513652,0.0806349219902472,0.0290352803587321,-0.00192626342183423,-0.00471049998547464,0.013299472296804,-0.0153483010118567,-0.075195427855593,-0.101882464580798,-0.0504974039959936,-0.0402172623169553,0.00715901030043512,-0.0416194837978545,-0.0140748797164174,0.00402335263133793,0.0145307913532843,0.0214326635699577,-0.0198821553740794,-0.0224430323450095,-0.0146663258735939,-0.0238418703918044,-0.0242928457192984,0.00403732739418706,0.916819041242468,0.885560149067624,0.719500203099997,0.463937409200242,0.28607396863292,0.183812050411297,0.0459107654525504,0.219195319287653,0.171308691982918,0.153752893121415,0.124712181930753,0.098832197020623,0.0750610891533696,0.0386408052278865,0.0116835879818274,29958.5697238997
"13",-0.164113326810622,-0.0996431810475998,-0.204610534738259,-0.0104192462824058,0.00730971500310044,0.0596016645971961,0.0404403729644666,0.0157194434477961,0.996840472161448,-0.0651745128177766,0.0213803933101974,0.18350391287369,0.497926928018231,0.685963414732508,0.811446993536671,0.94877039001309,-0.0552528241612274,-0.034157146209609,-0.0746506745084478,-0.0566532712068544,-0.0405496127405043,-0.0259475791471506,-0.0149741450521572,-0.00169044180111476,-0.0160929584989624,-0.0497617273762578,0.0760846165852567,0.0266059452890818,-0.00343916405844884,0.0063286665707789,0.00897916121158923,-0.0145051440935046,-0.0869106842089061,-0.114520300572752,-0.0481532649178702,-0.0271884434866306,0.0294713838889606,-0.0520558697561968,-0.0175747308059083,0.00237910420635476,0.0055268602500828,0.0283209046999162,-0.0136976925181037,-0.0249137430904072,-0.00619907768218854,-0.0282781636545636,-0.0244413783764357,0.00346980821931322,1.05200710895926,0.995537247465913,0.793980670824908,0.477903778136335,0.290595179946256,0.177492510957033,0.0484169964582301,0.221829406373994,0.173348097107017,0.149667045748964,0.125712512993065,0.102370173537234,0.0738694241383129,0.0397323050997536,0.011528136701159,29960.8436687279
"14",-0.202478401969696,-0.121895976100977,-0.180635594222804,-0.0355763961796224,0.0341800751418229,0.041859613882073,0.052136188777118,0.0162479829571918,1.00811704619564,0.167347319831772,0.013376801637273,0.246673501442487,0.473117879143693,0.672779626312978,0.80833252912341,0.949795828402788,-0.0578093995188599,-0.0420888707745615,-0.0679441746942288,-0.0677690491041245,-0.0386617038752863,-0.0286611251697589,-0.00759378680486423,-0.00164939291360977,-0.0297436525968205,-0.0878722168758142,0.0364458504916902,0.0338292024043674,-0.0071320996088745,0.038828493054811,0.0081443571621328,-0.0134006772611697,-0.068949700935611,-0.100380591610098,-0.0629931430870746,-0.0301477490059365,0.022659277108311,-0.0520303911297844,-0.0229945427921822,0.00301761240724649,0.0385960412762977,0.0117598975681077,-0.0159039968942234,-0.0290623998443609,-0.0153317238321316,-0.0326939880591554,-0.0308104294825684,0.00371980247927243,0.835137554531836,1.00151783585836,0.738785882283998,0.497254299169683,0.306226131732762,0.176922687578192,0.0470706754477896,0.22219481686349,0.171141947168678,0.157995428105698,0.131023590846299,0.104279383330584,0.0749520869587473,0.0388226602745261,0.0113246686347116,29956.6910233442
"15",-0.179996127959012,-0.0716107322167147,-0.15117787791504,-0.0108845657898733,0.0325531295861348,0.0418582365138427,0.0439634586397041,0.0145434514533428,1.00165345766475,0.107171556172973,-0.0838969629020822,0.235057908660714,0.490641594896381,0.688675914130488,0.814751043320653,0.951223076425715,-0.0551909958029747,-0.0259195716011501,-0.059605986467338,-0.0563122953645182,-0.0465567181441347,-0.0196212013744459,-0.00914435701387921,-0.00266820265915155,-0.0344745011107175,-0.113284663132218,0.032178444467735,-0.0136667563950291,-0.00144773148383,0.00040310946768493,0.00830779690195363,-0.0125176189054043,-0.0651159656209871,-0.121316657594692,-0.0450965470186889,-0.0169513975336648,0.0276885232151461,-0.0438762601084205,-0.0188812745886842,0.00315677154285538,0.030290263499421,0.00719793889875486,-0.0207247683561733,-0.0157459356271966,-0.00492970947568855,-0.0252171743229755,-0.0248754614391568,0.00434823583817368,0.881031781777307,1.08948981942646,0.745268540044325,0.479070644219517,0.291842107846025,0.17220923418734,0.0460621500540208,0.215795867539239,0.171439512429969,0.153914511709999,0.127178645750491,0.101975878740064,0.0772182004058482,0.0386180606376784,0.0111650417849938,29963.1981484608
"16",-0.186868454620749,-0.0965604880526899,-0.136753027705501,-0.0125466139768,0.0208738652664584,0.017506622304044,0.0572576751413477,0.0138038890129689,1.01208523112698,-0.0780908925416363,0.00199998661168727,0.208283369923044,0.507272225569588,0.72395599074701,0.811888952988899,0.951215912256205,-0.0504250975814747,-0.0507616203627049,-0.0585646494375841,-0.0543776874359576,-0.0442409861424731,-0.0297416662491362,-0.011831291209787,-0.00212993510776065,-0.0691214445560271,-0.0906945746682238,0.005635795412714,0.0268516690025926,0.00219259566153448,-0.00358899851284882,-0.00593776759937831,-0.0121175662486889,-0.0637816295859345,-0.103069729381162,-0.0534310119235148,-0.0304937205064419,0.0237596068323094,-0.0372055254111873,-0.0193907480009369,0.00292061025088155,0.0259672628535189,0.0286620691964669,-0.00601515293573056,-0.0357837259569466,-0.0031411757967244,-0.0160241416626526,-0.0290361739240969,0.00408218877036497,1.07313850026409,0.999469620562726,0.770795503956795,0.465707905591451,0.264141476345432,0.173571885254252,0.0462986349776257,0.220460188035968,0.180397238648823,0.155655255265883,0.126777813648527,0.100628041942125,0.0738179395974856,0.0394765143219071,0.0113252035738567,29959.4374801409
"17",-0.078523211179411,-0.134151554447438,-0.128481043304724,-0.0580206171902156,0.0343967369877988,0.0687422970820304,0.0477348012605642,0.015202015436196,0.982673318263557,0.0919762599537328,0.0991430636696106,0.195023672819509,0.52461212634882,0.665510643204282,0.805318847610511,0.951778872548133,-0.0641470656044375,-0.0345005498692892,-0.0619745820122453,-0.059744492934293,-0.0350372974236734,-0.0203294162865607,-0.0115413912686784,-0.00218838544482076,-0.0714734651343356,-0.0729256916420547,-0.00806366583640765,0.067048340046383,-0.0456757730204845,-0.00697141230917737,0.00714987062995008,-0.0155676714165242,-0.0843021392584242,-0.0906801543809118,-0.0655423772471775,-0.0228615765826324,0.0135767898983042,-0.0521380009778493,-0.0181756642214361,0.00301555640149516,0.0167528302398246,0.0261030680178146,-0.0281574920274392,-0.015301638314174,-0.00695107715714026,-0.0321690340381979,-0.0248258827460466,0.00405887001341234,0.90808430611949,0.906862447155283,0.790245465385357,0.446412272164541,0.30845474228511,0.181793612836943,0.0457511597810027,0.219167016400867,0.176144430581647,0.154898086124258,0.126301459682934,0.101526917795535,0.075758938542017,0.0382040757273518,0.0113536859562643,29955.9896054959
"18",-0.121488458007852,-0.077877212250859,-0.186405348235922,-0.0330215950197394,0.0259623640237155,0.04137081514486,0.0575405807735233,0.015088955943848,1.0031013292933,-0.106634318749935,0.0323698527625227,0.23943712805468,0.481953701712909,0.688179359915272,0.800598453700019,0.949226467446952,-0.0640329505520472,-0.0349320985759798,-0.0784768473388396,-0.0665153410419401,-0.0386620575051933,-0.0240557588018431,-0.0134800596543645,-0.000949951524656528,-0.124837052944245,-0.11899977868539,0.0511069035457481,0.0194506524457924,0.018485437760666,-0.00953861050361677,-0.00301200160255342,-0.0126130621577544,-0.0854551974077608,-0.095953631841117,-0.0394336460385261,-0.0297598249990694,0.0408572267494765,-0.042736552617996,-0.018152939654857,0.00282981890918391,0.017586164493878,0.0352942607249947,-0.0342072290321595,-0.017553375815014,-0.00271268040168043,-0.0241143450765864,-0.0283785844685355,0.00440466395499467,1.09329550412044,0.982332436717197,0.747613208797271,0.484424841361938,0.294591565501406,0.185396213152644,0.0476306617690037,0.217077955672042,0.174225705854225,0.156813303211421,0.126213593310965,0.102298170948572,0.0743310331162531,0.0393188420827067,0.0111863375502257,29957.8256547402
"19",-0.178775182932118,-0.130833327583176,-0.184546163503688,-0.0378771005491649,0.0167221645274661,0.0282458424231241,0.0631920340333301,0.016306155341744,1.00100128330805,0.0524478510815544,0.0597812841687237,0.210346227444431,0.463340686395936,0.688970228155181,0.807005445208443,0.94998498016716,-0.0606794799526552,-0.0439125260318462,-0.0642589211433275,-0.0562695127142217,-0.0450371164334493,-0.0237530784246118,-0.0122893650327416,-0.00182868924834346,-0.0155404648774132,-0.0121259828787742,0.0493963614931045,-0.00022998023562814,-0.00469677646058556,0.0106171855172195,-0.0193933457503869,-0.0135582983231761,-0.0717344876585179,-0.105558408478833,-0.0572881237296601,-0.02881408816233,0.024647386478737,-0.0425652261340717,-0.0193633789527128,0.00188104573932846,0.034141302472538,0.0223615816639245,-0.0153878624405387,-0.00933602060486736,-0.0110157941209474,-0.0208593470205305,-0.0231803305310285,0.0040262687216707,0.942890976339319,0.952286421535154,0.77691743881434,0.512856471615492,0.295640673774504,0.178805694546018,0.0469827634790263,0.221892054317839,0.172336234473603,0.155951996111538,0.127386988586195,0.101366755209444,0.0764555377080616,0.0390938810443887,0.0111053004103514,29957.7509940711
"20",-0.0740059273893427,-0.0804398797013954,-0.158123350143579,-0.0540313291453549,0.0559680261168918,0.0633116705272892,0.0669697635844979,0.0147737131952983,0.995967889909528,0.0943848339119516,-0.0541495593905854,0.294875133892631,0.484827371428641,0.673911869256367,0.793412397842378,0.95026583612315,-0.0599804401290237,-0.0366948573785242,-0.0563341627035252,-0.0597554143714524,-0.0344428283789539,-0.0207007612377014,-0.0116223134323963,-0.00231103287945386,-0.147722756414056,-0.0942837724055185,0.0559335158196266,0.0530579228391981,-0.0138533421039944,-0.00850734535712949,-0.00154708229445656,-0.0128255532420217,-0.0953608770502627,-0.110409412207374,-0.0506253426524412,-0.0406043192975419,0.0272583290387424,-0.0551569748707239,-0.0248948944616325,0.00318794961458095,-0.00806442430591444,0.010188498492023,-0.0361621727046878,-0.0262852806922492,-0.0124383572747201,-0.025808811576488,-0.0287054419470495,0.00347467347545268,0.894006257761277,1.05811923441174,0.690613772376922,0.475231444028378,0.301398379054014,0.190170234720888,0.046924269179913,0.221705311598982,0.172653048481982,0.156521137907915,0.127590175269778,0.0999946742755436,0.0747747835713207,0.0389061777628585,0.0114383852004481,29950.8429829831
