"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.6.1","beta.7.1","beta.8.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.6.2","beta.7.2","beta.8.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.6.3","beta.7.3","beta.8.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta.6.4","beta.7.4","beta.8.4","gamma.1","gamma.2","gamma.3","gamma.4","gamma.5","gamma.6","gamma.7","sigma.1","sigma.2","sigma.3","sigma.4","sigma.5","sigma.6","sigma.7","sigma.8","lp__"
"11",-0.188889238506286,-0.107338277315422,-0.122607786167279,0.0177034356702462,0.0448909925292762,0.0754948361101868,0.0714733040689804,0.00968023294229814,1.00173528021078,0.0308992160945946,-0.0893007570029131,0.217360672365092,0.435317628754237,0.644141560782102,0.777546924107519,0.948217724988305,-0.103553470827986,-0.114938191136093,-0.0487986148671891,-0.0390573518817547,0.0247621019796817,-0.0518354304065166,-0.0213138589148447,0.00225687416839239,-0.011245561845116,0.0160861325757946,-0.0249130004643367,-0.0277697841370531,-0.009496331784469,-0.0323892150333922,-0.0325210296166757,0.00433683074223823,0.945485364600443,1.07733095090407,0.744545845397603,0.524147283587964,0.324347791280675,0.202880480914168,0.0487533550224553,0.217116194226817,0.179931988545582,0.154516114905148,0.131348330511937,0.107547725657604,0.0716222604292819,0.0391571789306938,0.011552930310322,59132.6323632405
"12",-0.177362122977774,-0.133200721241304,-0.081403968774145,0.0410924074489229,0.0296790455286094,0.0736772463313274,0.0673599622493327,0.00951875755745974,0.997370211731953,-0.0180201192386918,0.00873072349772587,0.169997289795283,0.458152124859322,0.628456076879124,0.784418982647083,0.947347303042106,-0.0945939977475581,-0.10196153549492,-0.0712217929707618,-0.0472644670149961,0.0315665409041963,-0.0509762919586487,-0.0217329932307233,0.0025772520079093,-0.0073036834140746,0.0160515440602106,-0.024691376613736,-0.0371833460955138,-0.00847256447322044,-0.0297992708493326,-0.0312598558129498,0.00324469312732134,1.00198440804687,0.967751306878944,0.78693663577382,0.504408423638697,0.341517092110611,0.196927266614489,0.0496505745978774,0.217059947270176,0.182251357713152,0.158282849413676,0.129379128536608,0.108096923459474,0.0708511549372161,0.0394836694783986,0.0118730717325059,59139.5737901738
"13",-0.20558888242793,-0.116660706904171,-0.0704603770215464,0.0350227523257564,0.0299004576402122,0.0802057272434811,0.0717873594794034,0.0096798423440386,1.00566395747971,-0.0108738847604112,0.00392850770318961,0.211331304152222,0.456154783788335,0.625876278153256,0.781467936530905,0.947984579956475,-0.0872236252301919,-0.108969287312814,-0.0747580817382315,-0.0491305512868727,0.02759743553698,-0.0489936710933749,-0.0255502602989942,0.0025377272716131,-0.00190730432966883,0.0209113181288002,-0.0419774764041703,-0.0356907189660862,-0.00257119195432627,-0.0285304760152128,-0.029899795927105,0.00446504438385718,0.98869037910665,0.971934082565964,0.746482088233076,0.506118070150877,0.342247805419596,0.19877139040972,0.0489028882596199,0.21253417391257,0.180753245806046,0.152576199015137,0.133623385791069,0.109165958416272,0.0717669317642231,0.0393110595213865,0.0116766088979953,59135.4452232492
"14",-0.197462392055828,-0.112185443898309,-0.0996548371009237,0.0299903649935808,0.0346632158487864,0.0696516162300802,0.0741507531847638,0.00919716391695472,1.00495089574391,-0.0969996624269983,0.0209288099073414,0.157550810237456,0.456255130706252,0.620606748829701,0.780916107757167,0.948436593589264,-0.105857756347695,-0.116540023405173,-0.0675182308399472,-0.0359583587182824,0.0294280504544083,-0.0482472169156048,-0.0223925450337818,0.00226771666126047,-0.0021048676758502,0.0246445022796385,-0.03489970666314,-0.0356613858912867,-0.00626303335790251,-0.0265728362984863,-0.0343778407990955,0.00350409857094638,1.07475243231088,0.961850943915777,0.802251016641852,0.504092073933699,0.350813286355927,0.198736271957303,0.0487253909004032,0.216544964715791,0.179913856699975,0.156923258493439,0.131786695788724,0.109614267009245,0.070924644982724,0.039467979048142,0.011622635179442,59137.693707305
"15",-0.123439649497982,-0.149769387219345,-0.0960504078130605,0.0323562620407445,0.0415891367323777,0.0764024238215346,0.0648402651905576,0.0112315724206918,0.985353874874414,-0.0275266815988681,-0.0730299120654974,0.195790140702789,0.464218396353813,0.637942793578603,0.783493478763209,0.947169299282468,-0.107807634228572,-0.0944478079461958,-0.0733013463841679,-0.0395726071461833,0.0354309520924482,-0.0539440352784332,-0.0222874499132396,0.0030500985547438,-0.0300852036006336,0.0304324788367178,-0.0438326022808925,-0.0404985701432217,-0.0126979297446258,-0.028492340663748,-0.0313869888989006,0.00473599442710683,1.01512264157841,1.05655065110193,0.762906157282707,0.494056784872544,0.330866734987336,0.199084461282868,0.0491552604741825,0.216727928122121,0.180993021258435,0.155731615902919,0.130705671261124,0.107388603993997,0.0686340905997935,0.0392270716212934,0.0119149510600056,59122.3040943797
"16",-0.189295977948051,-0.15332418684749,-0.116848396434244,0.0383708292805478,0.0374676374022223,0.074402541861714,0.0730941534848893,0.00866989156069703,1.00307372142464,0.0329404559378627,-0.0353224201820309,0.190361918762062,0.433471474247119,0.621446570380794,0.784474822007506,0.947160299265547,-0.106326917418901,-0.0900448811796526,-0.0575464747242381,-0.0441862418439707,0.0377825085754306,-0.0509204009769944,-0.0266746651700359,0.00333224997588583,-0.0102978923493619,0.0344590284011529,-0.0274615773480102,-0.0394550823830176,-0.00248025612753808,-0.0295817960585546,-0.0320807153842307,0.00417840626407357,0.954411890750241,1.02199580959127,0.766989425735858,0.524932337864949,0.348334194494888,0.19553508007886,0.0500938335277126,0.215195302059464,0.180370533451271,0.156469223342074,0.134812553787701,0.106993184310457,0.0724564063990474,0.0391392700116123,0.0118419230689515,59134.5971779355
"17",-0.135039845254518,-0.0941493523647434,-0.111694843392554,0.0517533330301423,0.0266714567803945,0.0757146062699151,0.0705286511996622,0.0107870383680828,0.982882587107385,-0.0157675853681852,0.00556702934338348,0.174734658424289,0.458088024271765,0.624012913034074,0.784525303322235,0.947063635552048,-0.0845100575528535,-0.122524284047428,-0.0742728029524792,-0.0512004799537733,0.0313716352774637,-0.0486576992296179,-0.0232914283983838,0.00194949304404323,-0.00774463387024368,0.0232385664771472,-0.0311447289014405,-0.046566260082187,0.000225325984625456,-0.0288776135358615,-0.0310227816389471,0.00459471299487236,0.988327530392093,0.981822258888295,0.778688929262068,0.503815089937583,0.345963179795172,0.195973161769876,0.0495158385315218,0.212249017544308,0.179417776549845,0.155964541600246,0.130436168200506,0.109021980057555,0.0709396823989674,0.0395737737107607,0.0118339383334145,59130.3517823794
"18",-0.168447455707608,-0.118559485308322,-0.089698857117298,0.0561590556721681,0.0394432911268963,0.0711403084989627,0.0702698244439211,0.00945028316231031,0.992249183932521,0.0235743540402142,0.0592801367841298,0.161977012488396,0.453530144834604,0.623534749834481,0.781535613019956,0.947889712878781,-0.0845782483052943,-0.106577466566437,-0.0717748954939834,-0.0524870272790796,0.02544489326464,-0.0502755592555308,-0.0208932123552095,0.00334898441015338,-0.00646404418523409,0.0244123303489487,-0.0366456030303025,-0.0424543586790949,-0.00636601101002604,-0.02639942807323,-0.032803190319348,0.0046922414951379,0.954388912365818,0.919461818468776,0.79019632875367,0.506637312335214,0.347209117937221,0.199157309964454,0.0490050091095008,0.217670114839656,0.179761433001089,0.158729551501013,0.131371068548929,0.109359284873564,0.0708127474194162,0.0397827554439237,0.0118151703736369,59136.6104794693
"19",-0.191059632949101,-0.137001949702624,-0.116811672769152,0.0638485225536715,0.0492888310464641,0.0797964071489918,0.0697308392887194,0.0104279161495342,1.0013453761484,-0.118712568827441,-0.024292351166141,0.171116486145048,0.421435511383592,0.622936033671391,0.78521620713463,0.947016003854226,-0.0980592516506477,-0.104163659158404,-0.0621544808820999,-0.0556258550614862,0.0211338906045678,-0.0564855482940659,-0.0197678180579726,0.00260549302134858,0.00774185987875695,0.0291498591568159,-0.0296409647518538,-0.0423664160371976,-0.00648991675230678,-0.0320315242841821,-0.0302969406520433,0.00410755346794916,1.10204662673853,1.01169755054487,0.781789719822873,0.535927080896221,0.346396047719023,0.194849754805355,0.049646943142011,0.217752293777238,0.182316893414368,0.156402616042388,0.131208420205201,0.109823950141728,0.0710279881760274,0.0394860739093285,0.0118571678230946,59130.5451230406
"20",-0.201339602858558,-0.129689285928809,-0.0973506401495182,0.041140975844359,0.0413684015956589,0.0903754587290103,0.0699507077758063,0.00915799991886042,1.00166242515569,-0.0181852394698269,-0.00910244292509762,0.163085625097327,0.456307651663606,0.61398707301322,0.781155788498381,0.948013753973657,-0.0909147411071725,-0.107774020473461,-0.0659289184700707,-0.0359845974977249,0.0319225561058871,-0.0536022873052484,-0.023185301964504,0.00316754685965786,-0.00147758565237487,0.0232722734976888,-0.0290465121901817,-0.0309731534246009,-0.00501875045133849,-0.0318400374228754,-0.0303268932499844,0.00487698591762999,1.0019319942375,0.990111272982556,0.792867381624028,0.500539710727832,0.351333317494048,0.199733178613142,0.0488735493323954,0.215525362209515,0.179006950695561,0.155882013387872,0.134860192017936,0.110516205477269,0.0696904672728294,0.0390298970521911,0.0117088534191197,59136.4626936436
