"","alpha","beta[1]","beta[2]","sigma","lp__"
"23",0.0185864702944671,0.921121658256209,0.0708646610351142,0.35098688494902,12603.6080042951
"24",0.0184561469096019,0.92273753107404,0.0691476969290477,0.351544662356537,12603.6661578601
"25",0.0193712604884792,0.919847702650014,0.0725944921130201,0.356702151306372,12602.4632651922
"26",0.0169173519689543,0.920854689132692,0.0716473913581104,0.357432832793961,12604.551098913
"27",0.0225772217522235,0.920639248852401,0.0705522303030124,0.356555052826571,12604.2447689042
"28",0.0151463558303342,0.922532195601923,0.0705819211254939,0.359664663245501,12604.5001196891
"29",0.0235078059121393,0.919809123192266,0.0709768799178075,0.355139140060485,12604.564664694
"30",0.0128309445142562,0.924644051350941,0.0691894983936589,0.356809016193423,12604.6747985466
"31",0.0163662530688843,0.924391785628857,0.0682726914275945,0.355394281251217,12605.7873812451
"32",0.0200633668137022,0.919969892545749,0.0718835056786549,0.352736573195661,12604.8861709196
"33",0.0137228141204873,0.927977859514304,0.0653410865119495,0.358068429260239,12604.0269805922
"34",0.0151095009287915,0.92482435517932,0.0682247827243033,0.357335237628845,12605.4535512503
"35",0.0150836865827259,0.923794294947632,0.0692893396027788,0.358996800602868,12604.9863427314
"36",0.0153713587168871,0.923914981682671,0.0695060455157059,0.358700149110093,12602.8533680247
"37",0.0207596678574469,0.922141902777685,0.0689652917531112,0.359393831903107,12602.9495774989
"38",0.0204221431762776,0.922502670104084,0.0691080925652855,0.359117226274885,12604.9921459814
"39",0.0149101204187438,0.924850022731348,0.0683085780945051,0.354030536141836,12605.2934020371
"40",0.0142256222178329,0.923220212912157,0.0699547106866026,0.354921656451634,12603.9819309936
"41",0.0214030037177476,0.919436477395404,0.0717512443995954,0.352041474972243,12603.56513853
"42",0.0208503169853009,0.92117894647989,0.0699171545945521,0.350005609283347,12600.8818935277
"43",0.020967315109715,0.921578129416976,0.0701680096423432,0.349920110872087,12601.4421730947
"44",0.0196002256286902,0.924336882615758,0.0675986022966782,0.362449917913509,12601.9299548888
