"","alpha","beta.1","beta.2","beta.3","sigma","lp__"
"30",-0.333911581662954,0.919689099029544,0.0763497681809156,0.374681012874222,0.268360876855544,14842.7385101851
"31",-0.336233351634062,0.923296803368822,0.0730534156447548,0.374853039556451,0.2682015574276,14841.8904201956
"32",-0.332859775581318,0.918883730571396,0.0771254155954771,0.372569371778007,0.266862920433252,14840.6455955759
"33",-0.333861077180357,0.91923584412257,0.0784117537818232,0.369905346821187,0.268915636063875,14840.1081000585
"34",-0.331777544874673,0.920861935230545,0.0747840042840659,0.371966045391813,0.269720087703836,14841.6653561114
"35",-0.335440514775402,0.918420636834382,0.0776750592527127,0.375976576096793,0.273620499064566,14840.3687592651
"36",-0.335770633291945,0.922424728503672,0.0751811398030836,0.371123195362127,0.267828632638496,14840.767952173
"37",-0.336268298662906,0.915406205606888,0.0805872798236547,0.3778824875147,0.269623561561295,14839.7936147329
"38",-0.327967984689531,0.924121809144789,0.0714100763268989,0.367412733675165,0.271923433978326,14838.9470510023
"39",-0.331074817577531,0.92330943563043,0.0724051334412153,0.370938966920299,0.267955519465774,14841.7218792703
"40",-0.32742468322332,0.922778465628662,0.0733156861389101,0.365557734320897,0.268379416414294,14840.2267318186
"41",-0.330370386149221,0.919565225230652,0.0762842191808511,0.37101966456776,0.266870531294108,14842.6094182568
"42",-0.332387501172279,0.919347459809244,0.0757813470812474,0.37529661028775,0.268557458667237,14841.9321815322
"43",-0.341989997748605,0.921732703964731,0.0745718013758455,0.381645926902226,0.266902894030671,14839.4107059016
"44",-0.334636219995884,0.9183366951571,0.0777197134631891,0.375424840502896,0.268541344887552,14842.6616282404
"45",-0.33735745046823,0.917736710484964,0.0791764768852284,0.375402455039541,0.26537586745661,14838.1035169013
"46",-0.337148637209136,0.916469273554575,0.0794850751131691,0.379717215864786,0.270189198437099,14838.6578179164
"47",-0.329980575839359,0.922223149180156,0.0746172616397935,0.367972693201871,0.266409016971517,14839.6544751343
"48",-0.333550089069281,0.918445593599194,0.0775664567391162,0.374263513717377,0.267953023805713,14842.738745152
"49",-0.333210496807274,0.917224703342959,0.0781472573265044,0.375515423153916,0.269177856003961,14841.2336387717
"50",-0.332141277045583,0.919019817584305,0.0770913440349372,0.372770808253446,0.268920835984467,14842.7000271182
"51",-0.332648096454023,0.921864617579261,0.0740744444060298,0.37263241688846,0.268629105279105,14842.9669938364
"52",-0.32860685876266,0.922980614917736,0.0731367848313292,0.367396852226926,0.26736170441052,14841.6183913745
"53",-0.332618688233958,0.919153934763068,0.0776525639308408,0.370120613176831,0.269173050251802,14840.5019995237
"54",-0.329484851215747,0.918220865459194,0.0769249192953906,0.372336384460357,0.271565629710876,14841.4770208545
"55",-0.331746635678036,0.921630228136889,0.0741244029207887,0.371944798686315,0.270216021613506,14842.6804254588
"56",-0.333330469120236,0.921607457210777,0.0747198214053938,0.372421717118041,0.272752681056121,14841.7473212917
"57",-0.33498224158538,0.915563127241383,0.0801830836201579,0.37712422705797,0.266886867558215,14839.6276438252
"58",-0.32639477148307,0.919794475132799,0.0765007017015083,0.365729912548408,0.268103018567304,14841.2064986219
"59",-0.333150616026038,0.920761999282821,0.0769549712628601,0.368433604541968,0.269350518013234,14840.025716895
"60",-0.326623665854816,0.921487545665205,0.0740126498075655,0.366818310935655,0.266336675908454,14840.4595241464
"61",-0.327761914436512,0.921297456806954,0.0752555725192417,0.365884911894252,0.267555217115715,14841.4414967228
"62",-0.328860215973684,0.923793100208071,0.0717577049678994,0.369390966461092,0.270906579183632,14840.4553454754
"63",-0.331601262182834,0.92022945957126,0.0763683336314221,0.369474381391492,0.268966775595975,14841.7247534326
"64",-0.335073943915305,0.918455251156924,0.0769398583786745,0.3772658314092,0.271571544326114,14840.8968843136
"65",-0.334117204688605,0.920633649970124,0.075126477872018,0.374808177322103,0.270625653008314,14842.5879023042
"66",-0.330826410853873,0.920592172428079,0.0748079196843145,0.37288431350367,0.26920116113706,14842.1300412877
"67",-0.326645890673662,0.916271740859895,0.0783906326942439,0.371760018346331,0.271590311801813,14837.8310768116
"68",-0.333557867036907,0.922815073052813,0.0728503463532693,0.37386072673367,0.269911781329431,14841.8332097577
"69",-0.3385519381878,0.918640633497138,0.0774366232026851,0.379029678469158,0.266847333475119,14840.5207706453
"70",-0.328869515142865,0.925118879762552,0.0713389615794898,0.365429078036492,0.269652986128568,14838.1948779439
"71",-0.332312158165759,0.919095101137931,0.0772697658558803,0.371930302268945,0.268530329899574,14842.9859984196
"72",-0.327040645805912,0.918452700850633,0.0765294960066077,0.369620300753048,0.270037636153838,14841.3498897747
"73",-0.331604357310851,0.919806469560955,0.0765593242243348,0.371679029987596,0.269791703816366,14841.5412376013
"74",-0.331222089333203,0.914517035652677,0.0807203736228438,0.374632932318223,0.269737141032993,14839.0850347167
"75",-0.332168532738694,0.924953195287879,0.0706502991547622,0.372458916992469,0.268793457562168,14839.7860044866
"76",-0.331401646185304,0.919253976497919,0.0766805890218247,0.372308247065288,0.269704183029675,14842.8412212919
"77",-0.333032819513363,0.920301276218912,0.0767891032426551,0.369939529422992,0.266977974151603,14841.1888622922
"78",-0.33035206520631,0.921403076272306,0.0746433532399094,0.369973146024264,0.270193481247163,14842.9420101885
"79",-0.3375029589681,0.922834693543134,0.0734374462308485,0.376471837679978,0.269889886781742,14841.671326754
