"","alpha","beta.1","beta.2","beta.3","sigma","lp__"
"62",-0.261399270514482,0.908292353117756,0.0855524067219402,0.303299254100031,0.268369370236407,14822.908060964
"63",-0.262981070095752,0.912241282411747,0.0822327259406225,0.302186479077956,0.269389062651669,14823.1509314064
"64",-0.258369703711893,0.913556673197528,0.0820041044763665,0.292825573458767,0.269457120888648,14820.8987084025
"65",-0.262563040860721,0.907437649695674,0.0863256728554416,0.304820753459208,0.270686325780069,14822.2271188577
"66",-0.257553954635155,0.908377471091383,0.0872082485431858,0.293355398652539,0.269255179533437,14820.8141774413
"67",-0.249382751869307,0.907561856638241,0.0857777891686133,0.291338456300339,0.267684651760093,14817.9074775727
"68",-0.259385472431885,0.911714753883207,0.0829896883513945,0.297672713465249,0.270263787218093,14823.6293314586
"69",-0.259885857837216,0.908377256969598,0.0862793275208917,0.298914301533244,0.265398455765882,14821.7868083794
"70",-0.259437586534798,0.90761825339236,0.0871553740244255,0.298135267219438,0.269306967176975,14823.3241369748
"71",-0.265682321386111,0.9084401906859,0.0870223837792562,0.302746775050726,0.271246992154095,14822.7262822144
"72",-0.257758607403782,0.905520611255682,0.0878018317443549,0.301132999062847,0.26808474266301,14820.301807128
"73",-0.26015867865457,0.909203595077887,0.0847150987213917,0.302065721685605,0.27037949838255,14822.7491426063
"74",-0.259781587534268,0.909867394024619,0.0847612166217624,0.298749164796251,0.270510590516885,14824.0696108667
"75",-0.265220571976029,0.910681911295397,0.0838619751913369,0.304453266702195,0.268257369797644,14823.1354268463
"76",-0.266582308797237,0.913371238017825,0.0826326094360485,0.30102523010105,0.272254595843234,14821.5439617837
"77",-0.26951069039548,0.911079441958203,0.0844933948984071,0.306325994640737,0.270061868289016,14821.9573802575
"78",-0.255064294544346,0.9077162915436,0.0851100815931395,0.300482101725166,0.269145344764265,14819.9815823583
"79",-0.260546330425791,0.909106772904968,0.0854067155480179,0.299764808605826,0.270375775550131,14824.0008649353
"80",-0.269608693142054,0.908763021569388,0.0868537152617188,0.306085471862322,0.26896950466579,14822.0059024914
"81",-0.263309164975414,0.908754852590769,0.0858787668163297,0.302597355127349,0.270771469482337,14823.8582253022
"82",-0.255563053725213,0.910000430222452,0.0839448168053121,0.296026482647835,0.268490986892198,14822.6681831292
"83",-0.263845123543578,0.909246437203649,0.0859636396722837,0.300956064245587,0.26716893074766,14822.9982953646
"84",-0.265334968903657,0.915323835027276,0.0808474150935849,0.29837999193127,0.27237621533908,14820.1574259176
"85",-0.257029712323126,0.906688226651073,0.087151119279193,0.298174667597511,0.269158313030377,14821.3024979011
"86",-0.265546575665802,0.907911922708818,0.0867348642094233,0.305247215649704,0.270819715809395,14823.0180823041
"87",-0.262077930811372,0.909106170783902,0.0858476867506075,0.301395998591346,0.271188759835722,14820.2651319205
"88",-0.265488553279547,0.910598031096087,0.0848430716382204,0.301466028350433,0.270098714322307,14823.2348854477
"89",-0.262968330648174,0.912812113085951,0.0823168382171457,0.299616184057978,0.268772697227883,14823.3066262149
"90",-0.26307231441244,0.906936755059042,0.0880085540734466,0.301989962610653,0.266479622478085,14821.5785647183
"91",-0.253391621637358,0.908342298089542,0.085204240761739,0.295254851210669,0.272855935313739,14820.8289527487
"92",-0.268666898446553,0.911042507905972,0.0837245848738633,0.307282227581375,0.270668908380175,14822.1174592945
"93",-0.259621722712402,0.907535090362154,0.0865388476058082,0.301612611150985,0.272481015331166,14821.0107985794
"94",-0.266048139180038,0.90821749991147,0.0871385638533968,0.302931568503821,0.271696535052508,14822.2486077294
"95",-0.263380381978232,0.908769677170708,0.0860968668706413,0.301076218277205,0.271088114161071,14821.8918959788
"96",-0.266707020985168,0.913188832365963,0.0828338737942828,0.300798595581589,0.27034727898409,14822.5024992436
"97",-0.259797311843941,0.909780259518531,0.0840736396359553,0.301031167668138,0.268003301227059,14822.8860914054
"98",-0.268034330494051,0.913041214132843,0.0826535912901127,0.303519152215353,0.269621179075435,14822.6739508838
"99",-0.261983682667092,0.906700143319519,0.0877260511961181,0.302372263666821,0.272832771974351,14822.0826420177
"100",-0.265664291376026,0.907807894470576,0.0876482654361761,0.30264018811469,0.26857215559727,14822.5055762865
"101",-0.264787040296228,0.91224382171136,0.0833212296324225,0.300835151950955,0.268273749749732,14822.8802529007
"102",-0.267798510900795,0.912468179915529,0.083287120910179,0.302748494432644,0.264617898259975,14819.807647308
"103",-0.260391574581991,0.90937637951906,0.0856947177553409,0.297668335342127,0.269877522788255,14823.6819278069
"104",-0.271686711474199,0.910852882013038,0.084104838686806,0.310198403855995,0.271684836298768,14820.5498374807
"105",-0.259767124703671,0.912267698355354,0.0834212665179159,0.294963015340102,0.265776770761795,14820.0986825394
"106",-0.259976557691248,0.910348324714808,0.0842449145608883,0.298771557375533,0.26762961882419,14823.6454327361
"107",-0.262108877371925,0.910772246982534,0.0837204650063654,0.301283276417117,0.26882602066539,14823.8726967473
"108",-0.253124734853244,0.907992017323695,0.0862754893234712,0.293121593524943,0.272180167409192,14821.2971458475
"109",-0.266141177717765,0.913053612645997,0.0818974017808512,0.302920065668578,0.27321532629204,14819.7826110486
"110",-0.257257285681428,0.91259522755832,0.0823133776141277,0.294384867023257,0.270923562307015,14822.3866406213
"111",-0.260530850157744,0.91132273554831,0.0828714914918987,0.300271315622861,0.266236291400725,14821.8146362829
"112",-0.266241430853485,0.912626290989051,0.0838037625523691,0.298309246996303,0.271013937225826,14820.1047591632
"113",-0.258949219577339,0.912090115933697,0.082638136247019,0.296988164690195,0.269192679963486,14823.3788607121
"114",-0.257841974113713,0.909282446529212,0.0851317893311369,0.297654221004189,0.269972212961612,14823.6489757509
"115",-0.256920511889145,0.90659131546889,0.0874044070571487,0.297408634033593,0.270025845447112,14820.7079977533
"116",-0.260930653900554,0.910625661992106,0.0843287062499782,0.29827973276536,0.27154114139781,14823.4835392338
"117",-0.262803520074363,0.908394435391702,0.0863299351069839,0.301180835501527,0.268738070842377,14822.5977678365
"118",-0.265962212535919,0.908848517059098,0.0867761593678572,0.302653608653754,0.269030847570523,14822.4471095528
"119",-0.262738697166996,0.909400462580243,0.0864456665859558,0.297959831886031,0.267739087898489,14821.9849941434
"120",-0.254639314482139,0.911279706234089,0.0833561236099909,0.292411000675501,0.271242528525952,14821.6881246101
"121",-0.264641626899752,0.910230684001585,0.0841358502146234,0.304853242243218,0.267779980535371,14822.8446938527
"122",-0.25212865763269,0.907817663118655,0.0859115484557165,0.293694770011755,0.272265070946244,14821.0658901364
"123",-0.263553511894013,0.913248043048972,0.0822905063550036,0.29898986777428,0.272364721795064,14822.347241551
"124",-0.264208584017413,0.908035877039722,0.0870495105331069,0.302504152318562,0.267862911392939,14822.9451549403
"125",-0.262206169200211,0.908273823495596,0.0861337849151929,0.302648487481751,0.266647198541916,14822.4945493384
"126",-0.261608549048383,0.911333369173002,0.0839100980394924,0.298224134848964,0.269876514801194,14823.877371611
"127",-0.256492750352136,0.9112542717073,0.0824439969140971,0.297446821555462,0.26954470358757,14821.8122488549
"128",-0.271711227996818,0.911427152594763,0.084834321204826,0.305189392934674,0.26817675496511,14820.2605981659
"129",-0.265747264927121,0.907516535634877,0.0881328896891192,0.302637715893096,0.270040757959797,14821.4847640321
"130",-0.265373448491341,0.915359671895537,0.0800535322394415,0.300510959722705,0.270383144969929,14820.883780427
"131",-0.265513136114622,0.908233157810937,0.086698256979058,0.303660085886439,0.273378845718202,14821.4153767044
"132",-0.267012387088084,0.914930677177289,0.0802804878701385,0.30348804669038,0.268646192789694,14821.123186323
"133",-0.258038034073845,0.90799991922745,0.0860693289675584,0.299198238571561,0.271750645546599,14823.0548250096
"134",-0.268100506844129,0.91528138690551,0.0795229148310464,0.305526515373482,0.266400588043561,14817.7890887979
"135",-0.261564664038886,0.909448802068529,0.0857610224264106,0.298640256701881,0.268955271194549,14823.7661850811
"136",-0.263695216071375,0.910868091020361,0.0833031132811146,0.30445226849045,0.272408317492288,14822.0464702932
"137",-0.26296046588411,0.907614356586723,0.0874280731287287,0.301031547246026,0.275400651549859,14819.9085658241
"138",-0.265984463007237,0.90890189293857,0.0864690801477267,0.302503902017192,0.269479565893084,14822.5932657603
"139",-0.258187552769728,0.909871553081712,0.083720306000871,0.299841293048825,0.272575130194533,14821.2801748974
"140",-0.260001529612768,0.914591062619539,0.0814258249404987,0.293273552791397,0.268845204660883,14820.0852923279
"141",-0.26849542324603,0.908958889639595,0.0868619939770613,0.30455773940723,0.26817722923663,14821.7902871316
"142",-0.257784613819084,0.908053171962243,0.0863810681894503,0.298111492536116,0.26919536786413,14822.5927868101
"143",-0.254245576865834,0.908389882387815,0.0854839225330526,0.295656978802066,0.272011294292597,14822.0885798532
"144",-0.256228379127311,0.909031847283313,0.085273920583867,0.29576997095373,0.269088240794857,14823.2086467227
"145",-0.260990045212024,0.909831614659,0.0854286301734708,0.297606346142399,0.269992290676046,14823.5934475367
"146",-0.267742127684915,0.910574394940176,0.0848469828899341,0.305147383662032,0.268187076450427,14821.8847118589
"147",-0.263565488555633,0.907224522149185,0.0878223578469521,0.302125820094572,0.269374717341276,14822.8575349476
"148",-0.26413918331999,0.910512992108492,0.084493908442094,0.302484427112578,0.273630300488093,14821.8129186749
"149",-0.261519885456139,0.908066786092134,0.0865218473387855,0.300563887929062,0.271651658898999,14823.0011007684
