"","alpha","beta[1]","sigma","lp__"
"75",-0.106970474973253,0.994705206064193,0.15237241328364,11054.840281138
"76",-0.105435129923545,0.994068677148021,0.153933348685088,11053.6252972845
"77",-0.103713231927381,0.994576505254935,0.153091017087789,11054.1828342507
"78",-0.104760347213664,0.993973034935657,0.153439395430485,11054.250325419
"79",-0.101257743753876,0.994666079723853,0.153492126488615,11050.8795512257
"80",-0.101345725191066,0.994232138529774,0.153527734212807,11052.8541621444
"81",-0.101843456607229,0.993868174596817,0.153530388817047,11054.1120996227
"82",-0.115234399366187,0.997577088842173,0.151761526977052,11054.5058727995
"83",-0.125136392908403,1.00020152959761,0.151919129630993,11053.4482341116
"84",-0.120851780944991,0.99797313757179,0.15211322712796,11051.9676735806
"85",-0.116259482561432,0.998309619357033,0.152096716168866,11053.775694399
"86",-0.100152305542607,0.993279759170257,0.153244304782071,11054.3668593776
"87",-0.0996551417751881,0.992902038022444,0.153530310656844,11054.2599012427
"88",-0.0957728700212867,0.990872583380449,0.153837399558431,11052.161428688
"89",-0.0816601893232749,0.988312593269889,0.154156363135216,11050.3309953436
"90",-0.105884862103143,0.995537254053887,0.154176247930767,11052.325046217
"91",-0.106807312603418,0.99421510780478,0.154126455799606,11052.8150803598
"92",-0.0951220751995341,0.991252898468849,0.151912345224033,11054.1847757558
"93",-0.108583492404266,0.99516832958129,0.152975769725287,11054.6576894815
"94",-0.11760437722642,0.997740766580925,0.151686448696807,11054.138920988
"95",-0.119902504981587,0.999264758458618,0.152265476395818,11053.6558208017
"96",-0.120275060461067,0.998218807968512,0.152222651493089,11053.4183384091
"97",-0.120534183471744,0.998771033159299,0.15225910730759,11054.1168183493
"98",-0.110309456311015,0.99590743679929,0.151387796721459,11054.6643062402
"99",-0.114354616194662,0.997207730535699,0.151629042411111,11054.5804764837
"100",-0.112470212826168,0.997553352832302,0.152033499007746,11052.9215583526
"101",-0.103136947881373,0.99308139232125,0.152551175631671,11053.650965955
"102",-0.0988523657761612,0.992231566554127,0.152931699581255,11054.2636546803
"103",-0.103541749311917,0.993968169659099,0.151754333674772,11054.8663192841
"104",-0.11049269290892,0.995816591541681,0.152039804782052,11054.8461803678
"105",-0.11754682243985,0.997790684022282,0.151223459772831,11053.952258348
"106",-0.0982997207213506,0.992432008665932,0.153512447926676,11054.1826955545
"107",-0.111494734759643,0.996307555436684,0.150292630062239,11053.5085906553
"108",-0.111611264070673,0.996543435728205,0.150121094892512,11053.1563377416
"109",-0.129698439368062,1.00161125439896,0.152799425976234,11052.5900561793
"110",-0.130281097918813,1.0017843078559,0.153515407412777,11052.0653528119
"111",-0.0963836844266186,0.991901724035553,0.152393443132405,11054.5404766725
"112",-0.104977059598553,0.994330541236573,0.152531880692779,11054.9575566498
"113",-0.0948145220634029,0.991836014426844,0.151337097383356,11053.8086184343
"114",-0.0917564400948018,0.990307582754675,0.149802154000211,11051.6693926178
"115",-0.102932959974802,0.993570393805563,0.152539628379255,11054.796573981
"116",-0.110158699266885,0.995808909341927,0.152427453818279,11054.9216756879
"117",-0.101636412948927,0.992830148104122,0.151504666597518,11053.9186043737
