"","alpha","beta.1","beta.2","sigma","lp__"
"28",-0.27232897515228,0.997742358830051,0.283754360965721,0.295770140103518,14037.4781196936
"29",-0.271848513644747,0.996787361903717,0.286199433620971,0.298312780007554,14037.4487944672
"30",-0.269588598080934,0.997117719821384,0.282198403987698,0.301563557833239,14035.8889440086
"31",-0.267443075745935,0.996821953578236,0.281753746869773,0.296764432529278,14037.1399079113
"32",-0.270179083775595,0.998176548672601,0.279179136142622,0.294382784027073,14035.5598968624
"33",-0.275974289182805,0.997428893616982,0.287834218102145,0.295249639290045,14036.1410327773
"34",-0.275800690792749,0.997674085057333,0.28683550145881,0.297826302092669,14036.9902480323
"35",-0.275186127687132,0.996019544579487,0.292844822282541,0.291444593947025,14030.558404452
"36",-0.281887302219141,0.998399824353601,0.291871282837732,0.293771163865435,14034.4997329785
"37",-0.27028542526015,0.996665662648266,0.284912585687055,0.296159195614723,14037.2265966703
"38",-0.274615103626099,0.997670688733328,0.286746787853098,0.294826997814635,14036.5985387735
"39",-0.278724115818348,0.998566107768114,0.287787199788111,0.301860872719511,14035.2188225454
"40",-0.278222969394959,0.998378888532987,0.287327391961419,0.298328775937494,14037.062244091
"41",-0.281893981680348,0.998501131178574,0.291561529942291,0.29645642749995,14035.6846537924
"42",-0.271416302545294,0.996665784495699,0.286343531481817,0.298040468867878,14037.3488791648
"43",-0.274614481942714,0.99737613737119,0.28678507991067,0.301599689899238,14036.0093288615
"44",-0.278181583851008,0.997652042933639,0.289805214130827,0.300855139142338,14036.0836125412
"45",-0.271076626729573,0.998088356715683,0.279985177712104,0.2968567628559,14035.5603405364
"46",-0.276464884896526,0.997588484773282,0.287497566117474,0.293990290223988,14034.3929078048
"47",-0.273666607714742,0.998099153986407,0.283483738586376,0.298823209377683,14037.531108164
"48",-0.267260745854725,0.99664463472617,0.281033722553605,0.297771797110253,14035.8364642737
"49",-0.277415018673902,0.997435607273354,0.289469882431606,0.295801013273793,14036.2278259896
"50",-0.268200750381629,0.997516548539593,0.280391744490856,0.294698720788509,14035.8986793004
"51",-0.269320883659898,0.996033052456363,0.285552220128023,0.291566385817313,14031.738840513
"52",-0.274574773882889,0.997811413542975,0.284920242152652,0.296298319449362,14036.6703387428
"53",-0.277690179893421,0.99842463135661,0.286422247229587,0.299836256569395,14036.4634576937
"54",-0.278089326032171,0.997697893557097,0.28930294000254,0.299084690400818,14036.4726691765
"55",-0.265514314713735,0.997940042341063,0.274932400563297,0.301471136640759,14033.7234251213
"56",-0.26641219957182,0.996870207326684,0.28000723044155,0.297999960038637,14037.1371227213
"57",-0.270041302804376,0.998373744975705,0.278130740327549,0.299232432337202,14035.3441812782
"58",-0.26803510239699,0.997417810516881,0.280308064150712,0.296274885661277,14037.0427668309
