"","alpha","beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","sigma","lp__"
"16",-0.550005104442206,0.924679619079169,0.174237905276107,0.589527932283987,-0.105172636564365,-0.00183847252150995,0.209534757351083,1002.62949341717
"17",-0.592057511068159,0.912147673151822,0.200117110512657,0.639842464769633,-0.122089064808204,0.00292962109311342,0.216053432718858,1000.47671635809
"18",-0.652640344814786,0.928137050186019,0.201505280312604,0.718155774200973,-0.142759897345019,-0.00235794298311882,0.209151945265026,999.606163566683
"19",-0.60017505271854,0.92273089882867,0.2062305179739,0.655698832265141,-0.136752799547704,-0.00945204590326141,0.211594120391852,1000.59949480893
"20",-0.478785617743232,0.926970716639599,0.15525094731043,0.528178627403795,-0.0938049392228002,0.000476641545282415,0.219893892705678,1000.76087976347
"21",-0.575206222794516,0.926953627769978,0.183074513150036,0.631885789772942,-0.118707764923474,-0.00681516022481713,0.212583323341295,1004.17342481403
"22",-0.568624979401762,0.932228036029692,0.180632469093474,0.617960067320841,-0.122834726172185,-0.00291782330684495,0.198115940619616,1000.01535385114
"23",-0.533773536819655,0.913140054818345,0.191154904453368,0.594034566743644,-0.115516833131753,-0.00447339162479595,0.203583442541435,1004.34809205929
"24",-0.538470618540628,0.915121899504014,0.190253279572165,0.598161537531614,-0.116162181308972,-0.00504042991811596,0.204303770394497,1004.68301946847
"25",-0.551968430031844,0.917300879751581,0.187836455080293,0.603328974063094,-0.113887575086747,-0.00414621993089227,0.211331437703878,1005.21503110212
"26",-0.298376206668465,0.918859951485079,0.109073590838415,0.334677762065439,-0.0338159678362509,-0.000484161905803372,0.219312423883577,1001.7888706786
"27",-0.25128798214742,0.920700935211336,0.0943737025963306,0.278513832816832,-0.0174606990186941,-0.00212207770595079,0.214978120048485,1000.81502441008
"28",-0.388888644825631,0.911405681533333,0.147937857232234,0.432113689666859,-0.0654112773036584,-0.00371667847179529,0.214904824482852,1004.78104981205
"29",-0.610265679144753,0.930164400324298,0.190279094941407,0.661747035626534,-0.12838773602687,-0.00565834047816649,0.209516731086436,1003.32622631024
"30",-0.626973517617288,0.922909136115234,0.206091283279487,0.698109365229071,-0.142319627379523,-0.00660200205685861,0.212354420369409,1002.66614010685
"31",-0.549225179893924,0.903443514169827,0.198386807606426,0.602861608733627,-0.113649358068702,0.00122897428165413,0.211900816436559,1002.07783686609
"32",-0.546772690403253,0.903362818839029,0.19868640406011,0.604396035483831,-0.114578803875458,0.00131919146284522,0.211951065183463,1003.29114198792
"33",-0.557543827176705,0.90176642340472,0.199670074534299,0.607848834065212,-0.111578915382262,0.00209671897621104,0.211828331016751,1001.00704666469
"34",-0.58859214801627,0.9317887857633,0.191037004302609,0.642496741496035,-0.131136557694052,-0.00734135759532319,0.211571987060717,1002.75708437933
"35",-0.605249642264804,0.931279966424568,0.187624527900977,0.659319843571364,-0.125692875946772,-0.00836722534685885,0.209634023092554,1001.43798972128
